SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	71660	20028
1	1101	148292	121221
2	1101	157569	129654
3	1101	216648	177386
4	1101	156528	129616
5	1101	181814	150376
6	1101	152081	124636
0	1102	64092	20010
1	1102	149481	124452
2	1102	158375	131731
3	1102	216785	180522
4	1102	156788	131911
5	1102	183674	154129
6	1102	152088	126554
0	1103	68966	23411
1	1103	148891	125839
2	1103	157340	133087
3	1103	216455	183445
4	1103	156821	133940
5	1103	184447	157433
6	1103	151078	127889
0	1104	64955	21118
1	1104	150044	125150
2	1104	158748	132261
3	1104	219470	183570
4	1104	157721	132918
5	1104	185238	155635
6	1104	152569	127312
0	1105	66131	21737
1	1105	149326	124414
2	1105	158397	132050
3	1105	219333	183018
4	1105	157355	132338
5	1105	185921	156313
6	1105	152284	127170
0	1106	62674	20751
1	1106	149906	125240
2	1106	158383	132495
3	1106	219153	183750
4	1106	158813	134269
5	1106	186952	157280
6	1106	153266	128527
0	1107	63329	20988
1	1107	150050	125833
2	1107	159771	133786
3	1107	219601	184546
4	1107	157735	133421
5	1107	186656	157052
6	1107	152945	128025
0	1108	297451	203152
1	1108	136826	113196
2	1108	126638	104108
3	1108	156712	131922
4	1108	141902	118498
5	1108	112120	93420
6	1108	119108	98176
0	1109	495099	370388
1	1109	139765	114735
2	1109	99440	79040
3	1109	94199	80056
4	1109	129612	105280
5	1109	53125	43358
6	1109	90463	72078
0	1110	205879	132756
1	1110	144497	119191
2	1110	142407	116031
3	1110	187009	155531
4	1110	150612	125236
5	1110	139021	114230
6	1110	133199	109074
0	1111	150439	90249
1	1111	145721	120551
2	1111	145211	119823
3	1111	197786	164450
4	1111	152616	127596
5	1111	156856	129302
6	1111	134612	110724
0	1112	69269	24845
1	1112	149263	126629
2	1112	159081	134278
3	1112	220333	186697
4	1112	157408	134589
5	1112	185472	157791
6	1112	150569	127331
0	1113	65776	20994
1	1113	149449	124546
2	1113	157174	130512
3	1113	219913	183103
4	1113	156386	131532
5	1113	186131	155555
6	1113	149912	124221
0	1114	66006	25267
1	1114	153168	127917
2	1114	161113	134181
3	1114	225215	188768
4	1114	161299	135990
5	1114	187535	157409
6	1114	153340	127540
0	1115	60455	19752
1	1115	151921	126374
2	1115	160499	133236
3	1115	224847	187681
4	1115	160279	134428
5	1115	188027	157459
6	1115	152434	126315
0	1116	57221	18381
1	1116	155036	127136
2	1116	161378	131935
3	1116	227043	186351
4	1116	161056	132862
5	1116	190442	156670
6	1116	152174	123622
0	1117	64621	20263
1	1117	156334	130227
2	1117	162632	135102
3	1117	229533	191700
4	1117	163303	137247
5	1117	191207	160098
6	1117	153562	126845
0	1118	62549	19703
1	1118	156366	131088
2	1118	162554	136108
3	1118	230451	194031
4	1118	163239	137989
5	1118	190680	160944
6	1118	151706	126644
0	1119	306986	0
0	2101	72180	20384
1	2101	145256	118999
2	2101	154048	126462
3	2101	213609	174964
4	2101	152985	126737
5	2101	178741	147867
6	2101	146092	120214
0	2102	64646	18729
1	2102	142689	116486
2	2102	151637	123497
3	2102	211449	172599
4	2102	151997	125345
5	2102	178016	146135
6	2102	144058	117486
0	2103	69971	20253
1	2103	143733	117353
2	2103	152781	124697
3	2103	212247	173363
4	2103	151590	125004
5	2103	178795	147308
6	2103	144255	118114
0	2104	69461	19407
1	2104	141765	114334
2	2104	152217	122781
3	2104	212047	171183
4	2104	150765	123199
5	2104	178826	145759
6	2104	144879	116628
0	2105	68016	19721
1	2105	144240	116702
2	2105	152329	123421
3	2105	212793	172743
4	2105	152389	124897
5	2105	180096	146975
6	2105	145171	117524
0	2106	72888	19843
1	2106	143816	115221
2	2106	153359	122901
3	2106	212972	170987
4	2106	152475	123515
5	2106	180136	145552
6	2106	144749	115622
0	2107	71054	19682
1	2107	142647	114848
2	2107	151953	121886
3	2107	212424	170864
4	2107	151265	122968
5	2107	179809	145982
6	2107	143995	115176
0	2108	261571	170777
1	2108	132450	103440
2	2108	124788	95422
3	2108	160279	125393
4	2108	140008	110471
5	2108	122778	93913
6	2108	113594	87153
0	2109	431051	306192
1	2109	129775	100288
2	2109	96206	70692
3	2109	105369	82473
4	2109	124290	95531
5	2109	70285	52843
6	2109	88492	65444
0	2110	161595	86624
1	2110	133975	105304
2	2110	142549	110820
3	2110	193340	153257
4	2110	144832	115342
5	2110	151064	117593
6	2110	129595	100730
0	2111	101697	38956
1	2111	139824	111119
2	2111	151635	119692
3	2111	213838	170928
4	2111	149606	120070
5	2111	175557	139366
6	2111	140768	110300
0	2112	68400	19932
1	2112	145282	117035
2	2112	153738	123294
3	2112	217098	175603
4	2112	153670	125129
5	2112	184073	149429
6	2112	143764	114944
0	2113	67690	19068
1	2113	143776	115830
2	2113	152959	122923
3	2113	215798	173846
4	2113	153755	124683
5	2113	182124	147455
6	2113	143251	114231
0	2114	63378	18406
1	2114	147127	118741
2	2114	154785	124136
3	2114	220469	178405
4	2114	155184	126255
5	2114	184484	149823
6	2114	145242	115923
0	2115	65767	19115
1	2115	148148	119613
2	2115	155158	124661
3	2115	222823	180362
4	2115	156019	126977
5	2115	185792	151242
6	2115	144576	115540
0	2116	62057	18233
1	2116	149314	121082
2	2116	156394	126240
3	2116	224479	182557
4	2116	157475	128449
5	2116	187323	152561
6	2116	144558	115776
0	2117	68333	19740
1	2117	149676	121089
2	2117	157444	126985
3	2117	227557	185540
4	2117	158916	130234
5	2117	188333	153829
6	2117	145657	116475
0	2118	66800	19226
1	2118	149530	122167
2	2118	156381	126931
3	2118	227669	187081
4	2118	157083	129608
5	2118	187185	154107
6	2118	142966	115563
0	2119	89434	6765
