Sample,Mapping_Tool,Assembler,Read_Type,File,Num_Contigs,Total_Length,Max_Length,Min_Length,Avg_Length,N50,GC_Percent
PM2469,STAR,rnaSPAdes,paired,transcripts,4947,1131447,228.7,111,13588,202,45.69
PM2469,STAR,rnaSPAdes,paired,soft_filtered_transcripts,8238,1539087,186.8,86,13588,169,45.99
PM2469,STAR,rnaSPAdes,paired,hard_filtered_transcripts,2105,689809,327.7,131,13588,307,44.73
PM2486,STAR,rnaSPAdes,paired,transcripts,341624,104008096,304.5,132,11218,300,40.26
PM2486,STAR,rnaSPAdes,paired,soft_filtered_transcripts,529762,129328446,244.1,107,11218,237,39.71
PM2486,STAR,rnaSPAdes,paired,hard_filtered_transcripts,183372,76356529,416.4,152,11218,437,41.42
PM2494,STAR,rnaSPAdes,paired,transcripts,141135,39897747,282.7,94,11107,270,43.42
PM2494,STAR,rnaSPAdes,paired,soft_filtered_transcripts,221538,50882144,229.7,94,11107,217,42.69
PM2494,STAR,rnaSPAdes,paired,hard_filtered_transcripts,72178,27843953,385.8,152,11107,389,44.83
PM2497,STAR,rnaSPAdes,paired,transcripts,272367,82428657,302.6,69,13908,295,41.21
PM2497,STAR,rnaSPAdes,paired,soft_filtered_transcripts,406129,100935660,248.5,69,13908,238,40.68
PM2497,STAR,rnaSPAdes,paired,hard_filtered_transcripts,145157,60114419,414.1,111,13908,434,42.34
PM2524,STAR,rnaSPAdes,paired,transcripts,269724,80247956,297.5,92,26144,289,40.79
PM2524,STAR,rnaSPAdes,paired,soft_filtered_transcripts,403477,98833520,245.0,92,26144,234,40.22
PM2524,STAR,rnaSPAdes,paired,hard_filtered_transcripts,142887,58034987,406.2,123,26144,420,41.98
PM2528,STAR,rnaSPAdes,paired,transcripts,707,168258,238.0,113,3318,207,43.00
PM2528,STAR,rnaSPAdes,paired,soft_filtered_transcripts,1156,223754,193.6,86,3318,174,43.04
PM2528,STAR,rnaSPAdes,paired,hard_filtered_transcripts,310,106273,342.8,134,3318,298,43.49
PM2539,STAR,rnaSPAdes,paired,transcripts,105739,28346502,268.1,132,10555,253,44.43
PM2539,STAR,rnaSPAdes,paired,soft_filtered_transcripts,175998,37781186,214.7,107,10555,203,43.62
PM2539,STAR,rnaSPAdes,paired,hard_filtered_transcripts,52316,19043848,364.0,152,10555,358,45.80
PM2577,STAR,rnaSPAdes,paired,transcripts,233774,70168992,300.2,126,14922,291,41.74
PM2577,STAR,rnaSPAdes,paired,soft_filtered_transcripts,350283,86461916,246.8,107,14922,234,41.12
PM2577,STAR,rnaSPAdes,paired,hard_filtered_transcripts,123435,50836178,411.8,126,14922,431,43.03
PM2601,STAR,rnaSPAdes,paired,transcripts,23149,5913095,255.4,86,5248,237,49.29
PM2601,STAR,rnaSPAdes,paired,soft_filtered_transcripts,31643,7133569,225.4,86,5248,212,49.09
PM2601,STAR,rnaSPAdes,paired,hard_filtered_transcripts,11597,3875322,334.2,137,5248,313,49.71
PM2616,STAR,rnaSPAdes,paired,transcripts,78015,20668704,264.9,83,7999,250,45.33
PM2616,STAR,rnaSPAdes,paired,soft_filtered_transcripts,125113,27095151,216.6,83,7999,204,44.42
PM2616,STAR,rnaSPAdes,paired,hard_filtered_transcripts,38441,13757512,357.9,83,7999,349,46.74
PM2622,STAR,rnaSPAdes,paired,transcripts,83856,21196653,252.8,88,13586,234,44.13
PM2622,STAR,rnaSPAdes,paired,soft_filtered_transcripts,138351,28763269,207.9,88,13586,193,43.33
PM2622,STAR,rnaSPAdes,paired,hard_filtered_transcripts,38752,13322486,343.8,127,13586,328,45.46
PM3050,STAR,rnaSPAdes,paired,transcripts,32397,7747730,239.1,43,7191,226,46.20
PM3050,STAR,rnaSPAdes,paired,soft_filtered_transcripts,49958,9929455,198.8,43,7191,187,45.83
PM3050,STAR,rnaSPAdes,paired,hard_filtered_transcripts,16406,5249271,320.0,108,7191,312,46.77
PM3051,STAR,rnaSPAdes,paired,transcripts,5547,1251575,225.6,66,5809,204,45.76
PM3051,STAR,rnaSPAdes,paired,soft_filtered_transcripts,8771,1657758,189.0,66,5809,173,45.81
PM3051,STAR,rnaSPAdes,paired,hard_filtered_transcripts,2455,769401,313.4,88,5809,291,45.50
PM3183,STAR,rnaSPAdes,paired,transcripts,514,141217,274.7,113,6196,234,44.29
PM3183,STAR,rnaSPAdes,paired,soft_filtered_transcripts,873,186229,213.3,86,6196,179,43.74
PM3183,STAR,rnaSPAdes,paired,hard_filtered_transcripts,201,92385,459.6,134,6196,651,45.75
PM2469,STAR,metaSPAdes,paired,contigs,2559,679777,265.6,56,13588,272,43.83
PM2469,STAR,metaSPAdes,paired,scaffolds,2557,679797,265.9,56,13588,272,43.83
PM2486,STAR,metaSPAdes,paired,contigs,274024,81239562,296.5,56,16453,332,41.50
PM2486,STAR,metaSPAdes,paired,scaffolds,273987,81243171,296.5,56,16453,332,41.50
PM2494,STAR,metaSPAdes,paired,contigs,106483,32554437,305.7,56,10736,332,44.37
PM2494,STAR,metaSPAdes,paired,scaffolds,106466,32555811,305.8,56,10736,332,44.37
PM2497,STAR,metaSPAdes,paired,contigs,203120,64139896,315.8,56,11429,341,42.31
PM2497,STAR,metaSPAdes,paired,scaffolds,203084,64142826,315.8,56,11429,341,42.31
PM2524,STAR,metaSPAdes,paired,contigs,209222,62768503,300.0,56,22878,332,41.96
PM2524,STAR,metaSPAdes,paired,scaffolds,209195,62770530,300.1,56,22878,332,41.96
PM2528,STAR,metaSPAdes,paired,contigs,330,95603,289.7,56,3092,274,42.30
PM2528,STAR,metaSPAdes,paired,scaffolds,328,95713,291.8,56,5647,274,42.18
PM2539,STAR,metaSPAdes,paired,contigs,77165,23243332,301.2,56,10490,321,45.25
PM2539,STAR,metaSPAdes,paired,scaffolds,77161,23243729,301.2,56,10490,321,45.25
PM2577,STAR,metaSPAdes,paired,contigs,173114,54875452,317.0,56,12899,343,42.88
PM2577,STAR,metaSPAdes,paired,scaffolds,173084,54877675,317.1,56,12899,343,42.88
PM2616,STAR,metaSPAdes,paired,contigs,62779,17204260,274.0,56,6861,306,45.43
PM2616,STAR,metaSPAdes,paired,scaffolds,62776,17204425,274.1,56,6861,306,45.43
PM2622,STAR,metaSPAdes,paired,contigs,59366,16345390,275.3,56,13586,292,44.77
PM2622,STAR,metaSPAdes,paired,scaffolds,59363,16345721,275.4,56,13586,292,44.77
PM3050,STAR,metaSPAdes,paired,contigs,17857,5046296,282.6,56,5953,286,46.37
PM3050,STAR,metaSPAdes,paired,scaffolds,17843,5046484,282.8,56,5953,286,46.37
PM3051,STAR,metaSPAdes,paired,contigs,2655,725631,273.3,56,4049,273,44.33
PM3051,STAR,metaSPAdes,paired,scaffolds,2654,725641,273.4,56,4049,273,44.32
PM3183,STAR,metaSPAdes,paired,contigs,264,82305,311.8,56,5725,290,43.18
PM3183,STAR,metaSPAdes,paired,scaffolds,264,82305,311.8,56,5725,290,43.18
PM2469,STAR,metaviralSPAdes,paired,contigs,2,15515,7757.5,1927,13588,13588,50.17
PM2469,STAR,metaviralSPAdes,paired,scaffolds,2,15515,7757.5,1927,13588,13588,50.17
PM2486,STAR,metaviralSPAdes,paired,contigs,6,16882,2813.7,1105,4558,4543,44.95
PM2486,STAR,metaviralSPAdes,paired,scaffolds,6,16882,2813.7,1105,4558,4543,44.95
PM2494,STAR,metaviralSPAdes,paired,contigs,4,8446,2111.5,1478,3299,2185,55.84
PM2494,STAR,metaviralSPAdes,paired,scaffolds,4,8446,2111.5,1478,3299,2185,55.84
PM2497,STAR,metaviralSPAdes,paired,contigs,5,23257,4651.4,1654,10522,4942,47.66
