tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
3112694,2,3112694,Cryoendolithus,"",eukaryota,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,63.6,33.0,10^-4.67572,,,,,[1507870],0
1507870,1,3112694,Cryoendolithus antarcticus,"",eukaryota,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,63.6,33.0,10^-4.67572,,,,,,0
3108216,2,3108216,Jeongeuplla,"",bacteria,false,,,,0.04021543137227673,1,,,96.04,101.0,10^-50.8906,,,,,,,,,,,,,,,,,[2998449],0
2998449,1,3108216,Jeongeuplla avenae,"",bacteria,false,,,,0.04021543137227673,1,,,96.04,101.0,10^-50.8906,,,,,,,,,,,,,,,,,,0
3068352,2,3068352,Rubroshorea,"",eukaryota,false,,,,,,,,,,,,,,,,0.40215431372276733,10,,,87.5222,31.6667,10^-9.265,,,,,[152421],0
152421,1,3068352,Rubroshorea leprosula,"",eukaryota,false,,,,,,,,,,,,,,,,0.40215431372276733,10,,,87.5222,31.6667,10^-9.265,,,,,,0
3058778,2,3058778,Brytella,"",bacteria,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,100.0,23.0,10^-5.4023,,,,,[2959299],0
2959299,1,3058778,Brytella acorum,"",bacteria,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,100.0,23.0,10^-5.4023,,,,,,0
3051138,2,3051138,Paenacidovorax,"",bacteria,false,,,,0.04021543137227673,1,,,100.0,101.0,10^-56.3801,,,,,,,,,,,,,,,,,[1926868],0
1926868,1,3051138,Paenacidovorax monticola,"",bacteria,false,,,,0.04021543137227673,1,,,100.0,101.0,10^-56.3801,,,,,,,,,,,,,,,,,,0
3045370,2,3045370,Ferranicluibacter,"",bacteria,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,67.5,40.0,10^-5.63264,,,,,[2715133],0
2715133,1,3045370,Ferranicluibacter rubi,"",bacteria,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,67.5,40.0,10^-5.63264,,,,,,0
3044827,2,3044827,Siatvirus,"",viruses,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,95.7,23.0,10^-4.19111,,,,,[3060704],0
3060704,1,3044827,Siatvirus Lz245,"",viruses,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,95.7,23.0,10^-4.19111,,,,,,0
3044782,2,3044782,Orthoflavivirus,"",viruses,false,,,,0.16086172548910693,4,,,95.778,75.0,10^-34.5718,,,,,,,,,,,,,,,,,[3052464],1
3052464,1,3044782,Orthoflavivirus denguei,"",viruses,false,,,,0.16086172548910693,4,,,95.778,75.0,10^-34.5718,,,,,,,,,,,,,,,,,,1
3044752,2,3044752,Maaswegvirus,"",viruses,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,95.7,23.0,10^-4.19111,,,,,[3060175],0
3060175,1,3044752,Maaswegvirus Kp24,"",viruses,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,95.7,23.0,10^-4.19111,,,,,,0
3036657,2,3036657,Insulibacter,"",bacteria,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,69.7,33.0,10^-5.05012,,,,,[2749268],0
2749268,1,3036657,Insulibacter thermoxylanivorax,"",bacteria,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,69.7,33.0,10^-5.05012,,,,,,0
3027666,2,3027666,Aristophania,"",bacteria,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,62.5,32.0,10^-3.33536,,,,,[2697033],0
2697033,1,3027666,Aristophania vespae,"",bacteria,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,62.5,32.0,10^-3.33536,,,,,,0
3025755,2,3025755,Thomasclavelia,"",bacteria,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,84.8,33.0,10^-13.3526,,,,,[29348],0
29348,1,3025755,Thomasclavelia spiroformis,"",bacteria,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,84.8,33.0,10^-13.3526,,,,,,0
3024237,2,3024237,Solicola,"",bacteria,false,,,,0.08043086274455347,2,,,94.444,36.0,10^-9.48129,,,,,,,,,,,,,,,,,[2908642],0
2908642,1,3024237,Solicola gregarius,"",bacteria,false,,,,0.08043086274455347,2,,,94.444,36.0,10^-9.48129,,,,,,,,,,,,,,,,,,0
3020833,2,3020833,Isoalcanivorax,"",bacteria,false,,,,0.04021543137227673,1,,,94.118,102.0,10^-48.8277,,,,,,,,,,,,,,,,,[1306787],0
1306787,1,3020833,Isoalcanivorax pacificus,"",bacteria,false,,,,0.04021543137227673,1,,,94.118,102.0,10^-48.8277,,,,,,,,,,,,,,,,,,0
3020832,2,3020832,Alloalcanivorax,"",bacteria,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,90.9,33.0,10^-10.9208,,,,,[1094342],0
1094342,1,3020832,Alloalcanivorax xenomutans,"",bacteria,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,90.9,33.0,10^-10.9208,,,,,,0
2998430,2,2998430,Hylemera,"",eukaryota,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,100.0,21.0,10^-4.03152,,,,,[2998431],0
2998431,1,2998430,Hylemera herbuloti,"",eukaryota,false,,,,,,,,,,,,,,,,0.04021543137227673,1,,,100.0,21.0,10^-4.03152,,,,,,0
2995702,2,2995702,Actinacidiphila,"",bacteria,false,,,,,,,,,,,,,,,,0.1206462941168302,3,,,100.0,32.6667,10^-14.516,,,,,[887465],0
887465,1,2995702,Actinacidiphila cocklensis,"",bacteria,false,,,,,,,,,,,,,,,,0.1206462941168302,3,,,100.0,32.6667,10^-14.516,,,,,,0
2995234,2,2995234,Mycoplasmoides,"",bacteria,false,,,,0.04021543137227673,1,,,91.463,82.0,10^-33.8265,,,,,,,,,,,,,,,,,[33924],0
33924,1,2995234,[Mycoplasma] testudinis,"",bacteria,false,,,,0.04021543137227673,1,,,91.463,82.0,10^-33.8265,,,,,,,,,,,,,,,,,,0
2994363,2,2994363,Pseudofrankia,"",bacteria,false,,,,0.04021543137227673,1,,,98.0,100.0,10^-52.9535,,,,,,,,,,,,,,,,,[298654],0
298654,1,2994363,Pseudofrankia inefficax,"",bacteria,false,,,,0.04021543137227673,1,,,98.0,100.0,10^-52.9535,,,,,,,,,,,,,,,,,,0
2974257,2,2974257,Hoylesella,"",bacteria,false,,,,,,,,,,,,,,,,0.08043086274455347,2,,,100.0,33.0,10^-12.3465,,,,,[425941],0
425941,1,2974257,Hoylesella nanceiensis,"",bacteria,false,,,,,,,,,,,,,,,,0.08043086274455347,2,,,100.0,33.0,10^-12.3465,,,,,,0
2974251,2,2974251,Segatella,"",bacteria,false,,,,,,,,,,,,,,,,0.08043086274455347,2,,,98.5,33.0,10^-14.5861,,,,,[165179],0
165179,1,2974251,Segatella copri,"",bacteria,false,,,,,,,,,,,,,,,,0.08043086274455347,2,,,98.5,33.0,10^-14.5861,,,,,,0
2964429,2,2964429,Candida/Metschnikowiaceae,"",eukaryota,false,,,,0.16086172548910693,4,,,91.854,99.0,10^-43.6945,,,,,,0.04021543137227673,1,,,93.9,33.0,10^-14.04,,,,,"[498019, 45354]",1
498019,1,2964429,[Candida] auris,"",eukaryota,false,,,,0.04021543137227673,1,,,91.0,100.0,10^-41.9745,,,,,,,,,,,,,,,,,,1
45354,1,2964429,[Candida] intermedia,"",eukaryota,false,,,,0.1206462941168302,3,,,92.1387,98.6667,10^-44.2678,,,,,,0.04021543137227673,1,,,93.9,33.0,10^-14.04,,,,,,0
2948734,2,2948734,Gylbovirus,"",viruses,false,,,,2.975941921548478,74,2,16,98.8457,141.889,10^-72.7385,,,,,,1.9705561372415599,49,,,98.94,27.3556,10^-8.54807,,,,,[2955967],0
2955967,1,2948734,Gylbovirus aagae,"",viruses,false,,,,2.975941921548478,74,2,16,98.8457,141.889,10^-72.7385,,,,,,1.9705561372415599,49,,,98.94,27.3556,10^-8.54807,,,,,,0
2946797,2,2946797,Anayavirus,"",viruses,false,,,,0.04021543137227673,1,,,100.0,36.0,10^-12.226,,,,,,,,,,,,,,,,,[2961974],0
2961974,1,2946797,Mycobacterium phage Kashi_RDG1,"",viruses,true,,,,0.04021543137227673,1,,,100.0,36.0,10^-12.226,,,,,,,,,,,,,,,,,,0
2944815,2,2944815,Wielerella,"",bacteria,false,,,,0.04021543137227673,1,,,100.0,101.0,10^-56.3801,,,,,,,,,,,,,,,,,[2917790],0
2917790,1,2944815,Wielerella bovis,"",bacteria,false,,,,0.04021543137227673,1,,,100.0,101.0,10^-56.3801,,,,,,,,,,,,,,,,,,0
2943286,2,2943286,Sideroxyarcus,"",bacteria,false,,,,0.20107715686138367,5,,,90.1886,53.0,10^-16.5869,,,,,,,,,,,,,,,,,[2764705],0
2764705,1,2943286,Sideroxyarcus emersonii,"",bacteria,false,,,,0.20107715686138367,5,,,90.1886,53.0,10^-16.5869,,,,,,,,,,,,,,,,,,0
2939270,2,2939270,Cubamyces,"",eukaryota,false,,,,,,,,,,,,,,,,0.20107715686138367,5,,,87.56,27.0,10^-7.13548,,,,,[1513325],0
1513325,1,2939270,Cubamyces sp. BRFM 1775,"",eukaryota,false,,,,,,,,,,,,,,,,0.20107715686138367,5,,,87.56,27.0,10^-7.13548,,,,,,0
2929125,2,2929125,Mariorajchenbergia,"",eukaryota,false,,,,0.04021543137227673,1,,,100.0,89.0,10^-48.2008,,,,,,,,,,,,,,,,,[1276193],0
1276193,1,2929125,Mariorajchenbergia pseudocavernulosa,"",eukaryota,false,,,,0.04021543137227673,1,,,100.0,89.0,10^-48.2008,,,,,,,,,,,,,,,,,,0
2919364,2,2919364,Novacetimonas,"",bacteria,false,,,,,,,,,,,,,,,,0.08043086274455347,2,,,93.7,32.0,10^-14.0569,,,,,[436],0
436,1,2919364,Novacetimonas hansenii,"",bacteria,false,,,,,,,,,,,,,,,,0.08043086274455347,2,,,93.7,32.0,10^-14.0569,,,,,,0
2918882,2,2918882,Aduncisulcus,"",eukaryota,false,,,,,,,,,,,,,,,,0.1206462941168302,3,,,72.7,33.0,10^-6.50353,,,,,[2918883],0
2918883,1,2918882,Aduncisulcus paluster,"",eukaryota,false,,,,,,,,,,,,,,,,0.1206462941168302,3,,,72.7,33.0,10^-6.50353,,,,,,0
2918469,2,2918469,Xanthoporia,"",eukaryota,false,,,,0.04021543137227673,1,,,92.079,101.0,10^-45.4011,,,,,,,,,,,,,,,,,[119080],0
119080,1,2918469,Xanthoporia radiata,"",eukaryota,false,,,,0.04021543137227673,1,,,92.079,101.0,10^-45.4011,,,,,,,,,,,,,,,,,,0
2912996,2,2912996,Changpingibacter,"",bacteria,false,,,,0.04021543137227673,1,,,88.679,53.0,10^-15.489,,,,,,,,,,,,,,,,,[2758440],0
