taxId,taxLevel,genus_tax_id,name,common_name,category,is_phage,species_tax_ids,agg_score,max_z_score,nt.z_score,nt.rpm,nt.count,nt.contigs,nt.contig_r,nt.percent_identity,nt.alignment_length,nt.e_value,nt.bg_mean,nt.bg_stdev,nt.bg_mean_mass_normalized,nt.bg_stdev_mass_normalized,nr.z_score,nr.rpm,nr.count,nr.contigs,nr.contig_r,nr.percent_identity,nr.alignment_length,nr.e_value,nr.bg_mean,nr.bg_stdev,nr.bg_mean_mass_normalized,nr.bg_stdev_mass_normalized,known_pathogen
2948734,"genus",2948734,"Gylbovirus","","viruses",false,[2955967],"-","-","-",1.1737154857002114,45,2,10,99.5174,111.356,56.7035,"-","-","-","-","-",0.9389723885601692,36,1,6,98.4396,34.4167,12.9059,"-","-","-","-",0
2955967,"species",2948734,"Gylbovirus aagae","","viruses",false,"-","-","-","-",1.2,45,2,10,99.5,111.4,56.7,"-","-","-","-","-",0.9,36,1,6,98.4,34.4,12.9,"-","-","-","-",0
1884455,"genus",1884455,"Anphevirus","","viruses",false,"[2980614,2783999,2059675]","-","-","-",0.28690822983782943,11,"-","-",99.2429,84.7273,44.4257,"-","-","-","-","-",0.4694861942800846,18,1,4,89.8444,39.2778,16.1676,"-","-","-","-",0
2059675,"species",1884455,"Aedes aegypti anphevirus","","viruses",false,"-","-","-","-",0.3,11,"-","-",99.2,84.7,44.4,"-","-","-","-","-",0.3,13,1,4,98.6,42.3,20.8,"-","-","-","-",0
694002,"genus",694002,"Betacoronavirus","","viruses",false,[694009],"-","-","-",0.05216513269778717,2,"-","-",92.5675,74,30.4401,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1
694009,"species",694002,"Severe acute respiratory syndrome-related coronavirus","","viruses",false,"-","-","-","-",0.1,2,"-","-",92.6,74,30.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1
232799,"genus",232799,"Iflavirus","","viruses",false,[2970551],"-","-","-",0.07824769904668076,3,"-","-",90.978,80,31.5621,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
2970551,"species",232799,"Hanko iflavirus 1","","viruses",false,"-","-","-","-",0.1,3,"-","-",91,80,31.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
11584,"genus",11584,"Phlebovirus","","viruses",false,[2661635],"-","-","-",0.026082566348893586,1,"-","-",88.235,85,31.7523,"-","-","-","-","-",0.3912384952334038,15,"-","-",72.3067,29.9333,6.22535,"-","-","-","-",0
2661635,"species",11584,"Furrundu phlebovirus","","viruses",false,"-","-","-","-",0,1,"-","-",88.2,85,31.8,"-","-","-","-","-",0.4,15,"-","-",72.3,29.9,6.2,"-","-","-","-",0
11271,"genus",11271,"Vesiculovirus","","viruses",false,[1972575],"-","-","-",0.026082566348893586,1,"-","-",96.97,66,29.8036,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
1972575,"species",11271,"Vesiculovirus piry","","viruses",false,"-","-","-","-",0,1,"-","-",97,66,29.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
11051,"genus",11051,"Flavivirus","arboviruses group B","viruses",false,"[2970553,31658]","-","-","-",0.3651559288845102,14,"-","-",98.8414,93.6429,49.803,"-","-","-","-","-",0.3912384952334038,15,"-","-",94.7,31.3333,9.91168,"-","-","-","-",0
31658,"species",11051,"Cell fusing agent virus","","viruses",false,"-","-","-","-",0.4,14,"-","-",98.8,93.6,49.8,"-","-","-","-","-",0.3,13,"-","-",97.2,31.5,10.5,"-","-","-","-",0
11007,"genus",11007,"Totivirus","","viruses",false,"[2970642,2970639,2970632,2970629,2970625,2970611,2905252]","-","-","-",1.1476329193513177,44,"-","-",96.2783,84.1842,40.743,"-","-","-","-","-",1626.9783237112842,62378,3,61857,83.4619,38.1933,13.3743,"-","-","-","-",0
2970625,"species",11007,"Hanko totivirus 4","","viruses",false,"-","-","-","-",1.1,44,"-","-",96.3,84.2,40.7,"-","-","-","-","-",1626,62340,2,61852,83.5,38.2,13.4,"-","-","-","-",0
200,"genus",200,"all taxa with neither family nor genus classification","-","-",false,"[2983309,2980386,2980378,2980377,2979986,2953619,2952053,2952043,2951410,2900548,2866690,2857034,2848911,2832643,2805747,2800948,2800932,2800930,2800924,2800909,2789886,2789885,2778222,2771455,2723963,2722918,2722917,2715253,2709783,2693935,2689360,2653183,2651933,2607735,2607732,2585031,2507131,2478477,2448054,2250274,2079148,2073117,2065442,2053615,2052180,2044939,2043162,2030927,2027351,2027350,2026788,2026786,2026780,2026762,2026742,2026735,2026724,2017164,2010267,1986133,1978231,1977087,1930275,1928008,1925501,1923726,1923458,1923278,1923275,1923274,1913989,1913988,1909295,1898104,1869227,1795439,1795437,1768115,1756098,1755443,1750767,1750758,1715222,1709941,1709940,1701325,1701324,1619057,1619040,1576480,1528098,1524952,1503470,1256574,1156560,1081309,1075826,980145,710993,710974,710824,710804,710785,710741,710736,697907,693772,658244,547482,532621,417305,411917,410823,342097,293405,241622,209472,203449,202726,198431,187299,175245,175243,171925,155900,152509,152507,100272,86473,86027,77133,38018,32644,2340,-100]","-","-","-",25.53483245556682,979,8,373,97.4688,229.626,117.082,"-","-","-","-","-",1571.6832830516298,60258,129,203302,64.7712,828.764,148.188,"-","-","-","-",0
2953619,"species",200,"Xanthomonas phage vB_XooS_NR08","","viruses",true,"-","-","-","-",0.1,2,"-","-",99.5,96,52.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
2800932,"species",200,"Netjeret virus","","viruses",false,"-","-","-","-",0.3,12,"-","-",98.4,61.7,28.2,"-","-","-","-","-",0.1,4,"-","-",96.4,28,6.7,"-","-","-","-",0
2607735,"species",200,"Guadeloupe mosquito virus","","viruses",false,"-","-","-","-",3.6,138,3,63,99.4,235,143.5,"-","-","-","-","-",2.5,95,3,66,99.6,106.5,70.5,"-","-","-","-",0
2507131,"species",200,"Renna virus","","viruses",false,"-","-","-","-",0.4,14,1,14,98.4,255,122.5,"-","-","-","-","-",0.5,21,1,11,99.7,47.9,26.6,"-","-","-","-",0
200011012,"genus",200011012,"non-genus-specific reads in family Partitiviridae","-","viruses",false,"[2970631,2938341,2759333,2759331,2686048,1955170]","-","-","-",3.2081556609139112,123,"-","-",97.2256,79.5421,38.7307,"-","-","-","-","-",0.6259815923734461,24,"-","-",84.5579,39.75,11.8219,"-","-","-","-",0
2970631,"species",200011012,"Hattula partiti-like virus","","viruses",false,"-","-","-","-",2.4,91,"-","-",96.2,81.6,39,"-","-","-","-","-",0,1,"-","-",96.2,26,7.1,"-","-","-","-",0
2759333,"species",200011012,"Verdadero virus","","viruses",false,"-","-","-","-",0.4,16,"-","-",99.8,77.1,39.9,"-","-","-","-","-",0.3,10,"-","-",99.7,27.1,8.8,"-","-","-","-",0
2759331,"species",200011012,"Chaq-like virus","","viruses",false,"-","-","-","-",0.4,16,"-","-",99.5,72.1,36.2,"-","-","-","-","-",0.1,4,"-","-",100,23,8.7,"-","-","-","-",0
3 Filters Applied:,Categories:, Viruses,Viruses - Phage,Thresholds:, NT L (alignment length in bp) >= 50
