tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen,sample_name,uploader,overall_job_status,runtime_seconds,total_reads,passed_filters,passed_filters_percent,host_organism,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_bowtie2_ercc_filtered,reads_after_fastp,reads_after_bowtie2_host_filtered,reads_after_hisat2_host_filtered,reads_after_czid_dedup,sample_type,nucleotide_type,collection_date,water_control,state,site,habitat,species,lineage,family
2842620,2,2842620,Culicidavirus,,viruses,False,,,,,,,,0.1191146919634508,1.0,,,72.0,25.0,10^-5.79588,[2844040],0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'genus': 'Culicidavirus', 'family': 'Chuviridae', 'order': 'Jingchuvirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Chuviridae
2844040,1,2842620,Culicidavirus quitotaense,,viruses,False,,,,,,,,0.1191146919634508,1.0,,,72.0,25.0,10^-5.79588,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Culicidavirus quitotaense', 'genus': 'Culicidavirus', 'family': 'Chuviridae', 'order': 'Jingchuvirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Chuviridae
1884455,2,1884455,Anphevirus,,viruses,False,,,,,,,,0.2382293839269016,2.0,,,83.65,24.5,10^-5.18245,[2980617],0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'genus': 'Anphevirus', 'family': 'Xinmoviridae', 'order': 'Mononegavirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Xinmoviridae
2980617,1,1884455,Joensuu anphevirus,,viruses,False,,,,,,,,0.2382293839269016,2.0,,,83.65,24.5,10^-5.18245,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Joensuu anphevirus', 'genus': 'Anphevirus', 'family': 'Xinmoviridae', 'order': 'Mononegavirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Xinmoviridae
1307798,2,1307798,Negevirus,,viruses,False,0.2382293839269016,2.0,,,93.7085,70.0,10^-29.0935,0.3573440758903525,3.0,,,97.2333,24.0,10^-6.41519,[2651953],0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'genus': 'Negevirus', 'clade': 'unclassified ssRNA positive-strand viruses', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Unclassified
2651953,1,1307798,Rinkaby virus,,viruses,False,0.2382293839269016,2.0,,,93.7085,70.0,10^-29.0935,0.3573440758903525,3.0,,,97.2333,24.0,10^-6.41519,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Rinkaby virus', 'genus': 'Negevirus', 'clade': 'unclassified ssRNA positive-strand viruses', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Unclassified
694002,2,694002,Betacoronavirus,,viruses,False,0.2382293839269016,2.0,,,92.2075,77.0,10^-31.7952,,,,,,,,[694009],1,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'genus': 'Betacoronavirus', 'subfamily': 'Orthocoronavirinae', 'family': 'Coronaviridae', 'suborder': 'Cornidovirineae', 'order': 'Nidovirales', 'class': 'Pisoniviricetes', 'phylum': 'Pisuviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Coronaviridae
694009,1,694002,Severe acute respiratory syndrome-related coronavirus,,viruses,False,0.2382293839269016,2.0,,,92.2075,77.0,10^-31.7952,,,,,,,,,1,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Betacoronavirus pandemicum', 'subgenus': 'Sarbecovirus', 'genus': 'Betacoronavirus', 'subfamily': 'Orthocoronavirinae', 'family': 'Coronaviridae', 'suborder': 'Cornidovirineae', 'order': 'Nidovirales', 'class': 'Pisoniviricetes', 'phylum': 'Pisuviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Coronaviridae
542837,2,542837,Zindervirus,,viruses,True,,,,,,,,0.1191146919634508,1.0,,,100.0,25.0,10^-6.51004,[194966],0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'genus': 'Zindervirus', 'subfamily': 'Molineuxvirinae', 'family': 'Autosignataviridae', 'order': 'Autographivirales', 'class': 'Caudoviricetes', 'phylum': 'Uroviricota', 'kingdom': 'Heunggongvirae', 'realm': 'Duplodnaviria', 'acellular root': 'Viruses'})",Autosignataviridae
194966,1,542837,Zindervirus SP6,,viruses,True,,,,,,,,0.1191146919634508,1.0,,,100.0,25.0,10^-6.51004,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Zindervirus SP6', 'genus': 'Zindervirus', 'subfamily': 'Molineuxvirinae', 'family': 'Autosignataviridae', 'order': 'Autographivirales', 'class': 'Caudoviricetes', 'phylum': 'Uroviricota', 'kingdom': 'Heunggongvirae', 'realm': 'Duplodnaviria', 'acellular root': 'Viruses'})",Autosignataviridae
11007,2,11007,Totivirus,,viruses,False,,,,,,,,76.352517548572,641.0,1.0,641.0,88.095,42.0,10^-18.1925,[2970625],0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'genus': 'Totivirus', 'family': 'Orthototiviridae', 'suborder': 'Alphatotivirineae', 'order': 'Ghabrivirales', 'class': 'Chrymotiviricetes', 'phylum': 'Duplornaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Orthototiviridae
2970625,1,11007,Hanko totivirus 4,,viruses,False,,,,,,,,76.352517548572,641.0,1.0,641.0,88.095,42.0,10^-18.1925,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Hanko totivirus 4', 'genus': 'Totivirus', 'family': 'Orthototiviridae', 'suborder': 'Alphatotivirineae', 'order': 'Ghabrivirales', 'class': 'Chrymotiviricetes', 'phylum': 'Duplornaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Orthototiviridae
