sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,passed_filters,passed_filters_percent,host_organism,notes,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_bowtie2_ercc_filtered,reads_after_fastp,reads_after_bowtie2_host_filtered,reads_after_hisat2_host_filtered,reads_after_czid_dedup,insert_size_median,insert_size_mode,insert_size_median_absolute_deviation,insert_size_min,insert_size_max,insert_size_mean,insert_size_standard_deviation,insert_size_read_pairs,sample_type,nucleotide_type,collection_date,water_control,collection_location
PM2469_S1,Jorge Alberto Castro Rodríguez,23/03/2026 15:47,COMPLETE,2696,8706270,829594,9.529,Mosquito,,68,1,88.25,1.24,8706202,7683226,1717164,1650712,667202,,,,,,,,,Whole Body,RNA,01/01/2024,No,Campeche
PM2494_S26,Jorge Alberto Castro Rodríguez,23/03/2026 15:47,COMPLETE,10911,58137502,2539988,4.369,Mosquito,,1466,0.229556,78.894,1.27,58136036,45866084,11325928,11270008,8684188,,,,,,,,,Whole Body,RNA,01/01/2024,No,Campeche
PM2524_S24,Jorge Alberto Castro Rodríguez,23/03/2026 15:47,COMPLETE,13575,86905432,2482244,2.856,Mosquito,,1814,0.153837,81.211,1.24,86903618,70575190,17304922,17121448,12971102,,,,,,,,,Whole Body,RNA,01/01/2024,No,Campeche
PM2528_S2,Jorge Alberto Castro Rodríguez,23/03/2026 15:47,COMPLETE,1863,8930878,79774,0.893,Mosquito,,,1,83.25,1.12,8930846,7434900,4198094,4138704,70994,,,,,,,,,Whole Body,RNA,01/01/2024,No,Campeche
PM2539_S23,Jorge Alberto Castro Rodríguez,23/03/2026 15:47,COMPLETE,10665,63853214,2912528,4.561,Mosquito,,,0.302195,73.318,1.44,63851856,46814556,11704374,11652590,6704294,,,,,,,,,Whole Body,RNA,01/01/2024,No,Yucatán
PM2577_S13,Jorge Alberto Castro Rodríguez,23/03/2026 15:47,COMPLETE,19809,150000000,2939542,1.96,Mosquito,,1546,0.220693,88.256,1.48,149998454,132382326,26347084,26217300,8980510,,,,,,,,,Whole Body,RNA,01/01/2024,No,Campeche
PM2601_S14,Jorge Alberto Castro Rodríguez,23/03/2026 15:47,COMPLETE,14353,88653284,3530880,3.983,Mosquito,,320,0.945653,83.674,1.78,88652964,74179850,27095674,26932094,2100916,,,,,,,,,Whole Body,RNA,01/01/2024,No,Yucatán
PM2616_S22,Jorge Alberto Castro Rodríguez,23/03/2026 15:47,COMPLETE,9984,47621670,2953128,6.201,Mosquito,,1746,0.522178,68.632,1.46,47619924,32682500,6086150,5995012,3863030,,,,,,,,,Whole Body,RNA,01/01/2024,No,Yucatán
PM2622_S32,Jorge Alberto Castro Rodríguez,23/03/2026 15:47,COMPLETE,14135,77482320,2773386,3.579,Mosquito,,474,0.499468,88.934,1.41,77481846,68907314,5679356,5575604,3925754,,,,,,,,,Whole Body,RNA,01/01/2024,No,Yucatán
PM3051_S4,Jorge Alberto Castro Rodríguez,23/03/2026 15:47,COMPLETE,2595,9211760,415502,4.511,Mosquito,,54,1,85.99,1.06,9211706,7921128,4027760,3928750,392868,,,,,,,,,Whole Body,RNA,01/01/2024,No,Campeche
PM3153_S5,Jorge Alberto Castro Rodríguez,23/03/2026 15:47,COMPLETE,3750,10247876,789464,7.704,Mosquito,,128,1,87.02,1.05,10247748,8917574,4094412,3990022,752078,,,,,,,,,Whole Body,RNA,01/01/2024,No,Quintana Roo
PM3183_S6,Jorge Alberto Castro Rodríguez,23/03/2026 15:47,COMPLETE,1590,8395294,64936,0.773,Mosquito,,24,1,83.569,1.12,8395270,7015864,4003586,3931426,57760,,,,,,,,,Whole Body,RNA,01/01/2024,No,Quintana Roo
PM2497_S12,Jorge Alberto Castro Rodríguez,10/04/2026 14:06,COMPLETE,16422,85303732,2316318,2.715,Mosquito,,1676,0.14522,85.458,1.16,85302056,72897532,30091372,30008832,13753536,,,,,,,,,Whole Body,RNA,23/03/2026,No,Campeche
PM2486_S27,Jorge Alberto Castro Rodríguez,10/04/2026 14:06,COMPLETE,11862,50503296,2387038,4.726,Mosquito,,1474,0.192452,77.343,1.17,50501822,39059784,12523296,12471436,10562598,,,,,,,,,Whole Body,RNA,23/03/2026,No,Campeche
PM3050_S3,Jorge Alberto Castro Rodríguez,10/04/2026 14:06,COMPLETE,6045,12416476,2005180,16.149,Mosquito,,172,1,86.602,1.07,12416304,10752792,4281748,4195026,1871960,,,,,,,,,Whole Body,RNA,23/03/2026,No,Campeche
