tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
3112694,2,3112694,Cryoendolithus,"",eukaryota,false,,,,,,,,,,,,,,,,0.02000012746747906,3,,,80.0333,30.3333,10^-7.76988,,,,,[1507870],0
1507870,1,3112694,Cryoendolithus antarcticus,"",eukaryota,false,,,,,,,,,,,,,,,,0.02000012746747906,3,,,80.0333,30.3333,10^-7.76988,,,,,,0
3108216,2,3108216,Jeongeuplla,"",bacteria,false,,,,0.02000012746747906,3,,,96.842,73.0,10^-33.1999,,,,,,,,,,,,,,,,,[2998449],0
2998449,1,3108216,Jeongeuplla avenae,"",bacteria,false,,,,0.02000012746747906,3,,,96.842,73.0,10^-33.1999,,,,,,,,,,,,,,,,,,0
3085669,2,3085669,Paenimyroides,"",bacteria,false,,,,0.026666836623305414,4,,,97.6897,91.6667,10^-46.8167,,,,,,,,,,,,,,,,,[2968490],0
2968490,1,3085669,Paenimyroides aestuarii,"",bacteria,false,,,,0.026666836623305414,4,,,97.6897,91.6667,10^-46.8167,,,,,,,,,,,,,,,,,,0
3082816,2,3082816,Candidatus Onthonaster,"",bacteria,false,,,,,,,,,,,,,,,,0.006666709155826353,1,,,100.0,30.0,10^-10.7852,,,,,[3083123],0
3083123,1,3082816,Candidatus Onthonaster equi,"",bacteria,false,,,,,,,,,,,,,,,,0.006666709155826353,1,,,100.0,30.0,10^-10.7852,,,,,,0
3076670,2,3076670,Claveliimonas,"",bacteria,false,,,,0.006666709155826353,1,,,100.0,58.0,10^-27.115,,,,,,,,,,,,,,,,,[3028070],0
3028070,1,3076670,Claveliimonas bilis,"",bacteria,false,,,,0.006666709155826353,1,,,100.0,58.0,10^-27.115,,,,,,,,,,,,,,,,,,0
3068352,2,3068352,Rubroshorea,"",eukaryota,false,,,,,,,,,,,,,,,,0.06000038240243718,9,,,82.7333,29.8889,10^-7.69487,,,,,[152421],0
152421,1,3068352,Rubroshorea leprosula,"",eukaryota,false,,,,,,,,,,,,,,,,0.06000038240243718,9,,,82.7333,29.8889,10^-7.69487,,,,,,0
3067300,2,3067300,Emblica,"",eukaryota,false,,,,0.013333418311652707,2,,,100.0,101.0,10^-56.3801,,,,,,,,,,,,,,,,,[296035],0
296035,1,3067300,Emblica urinaria,"",eukaryota,false,,,,0.013333418311652707,2,,,100.0,101.0,10^-56.3801,,,,,,,,,,,,,,,,,,0
3065395,2,3065395,Thermocoleostomius,"",bacteria,false,,,,0.006666709155826353,1,,,93.878,98.0,10^-46.1004,,,,,,0.013333418311652707,2,,,87.95,29.0,10^-7.20954,,,,,[3065396],0
3065396,1,3065395,Thermocoleostomius sinensis,"",bacteria,false,,,,0.006666709155826353,1,,,93.878,98.0,10^-46.1004,,,,,,0.013333418311652707,2,,,87.95,29.0,10^-7.20954,,,,,,0
3053649,2,3053649,Candidatus Heimdallarchaeum,"",archaea,false,,,,0.026666836623305414,4,,,94.444,36.0,10^-9.48129,,,,,,,,,,,,,,,,,[2876573],0
2876573,1,3053649,Candidatus Heimdallarchaeum aukensis,"",archaea,false,,,,0.026666836623305414,4,,,94.444,36.0,10^-9.48129,,,,,,,,,,,,,,,,,,0
3051137,2,3051137,Paracidovorax,"",bacteria,false,,,,0.06666709155826353,10,,,97.003,98.3,10^-50.4228,,,,,,,,,,,,,,,,,"[80869, 80867]",0
80869,1,3051137,Paracidovorax citrulli,"",bacteria,false,,,,0.02000012746747906,3,,,99.234,91.6667,10^-49.104,,,,,,,,,,,,,,,,,,0
80867,1,3051137,Paracidovorax avenae,"",bacteria,false,,,,0.04666696409078447,7,,,96.0469,101.143,10^-50.988,,,,,,,,,,,,,,,,,,0
3050722,2,3050722,Algicella,"",bacteria,false,,,,0.006666709155826353,1,,,98.718,78.0,10^-39.3377,,,,,,,,,,,,,,,,,[2683284],0
2683284,1,3050722,Algicella marina,"",bacteria,false,,,,0.006666709155826353,1,,,98.718,78.0,10^-39.3377,,,,,,,,,,,,,,,,,,0
3046369,2,3046369,Aristaeella,"",bacteria,false,,,,0.013333418311652707,2,,,100.0,43.0,10^-16.9522,,,,,,,,,,,,,,,,,"[3046383, 3046382]",0
3046383,1,3046369,Aristaeella lactis,"",bacteria,false,,,,0.006666709155826353,1,,,100.0,43.0,10^-16.9522,,,,,,,,,,,,,,,,,,0
3046382,1,3046369,Aristaeella hokkaidonensis,"",bacteria,false,,,,0.006666709155826353,1,,,100.0,43.0,10^-16.9522,,,,,,,,,,,,,,,,,,0
3044782,2,3044782,Orthoflavivirus,"",viruses,false,,,,0.006666709155826353,1,,,88.406,69.0,10^-23.6086,,,,,,,,,,,,,,,,,[3052464],1
3052464,1,3044782,Orthoflavivirus denguei,"",viruses,false,,,,0.006666709155826353,1,,,88.406,69.0,10^-23.6086,,,,,,,,,,,,,,,,,,1
3041336,2,3041336,Stipitochalara,"",eukaryota,false,,,,0.006666709155826353,1,,,100.0,44.0,10^-17.6284,,,,,,0.02000012746747906,3,,,96.0,25.0,10^-8.60972,,,,,[112123],0
112123,1,3041336,Stipitochalara longipes,"",eukaryota,false,,,,0.006666709155826353,1,,,100.0,44.0,10^-17.6284,,,,,,0.02000012746747906,3,,,96.0,25.0,10^-8.60972,,,,,,0
3032174,2,3032174,Spinopygina,"",eukaryota,false,,,,0.006666709155826353,1,,,100.0,43.0,10^-16.9522,,,,,,,,,,,,,,,,,[3007077],0
3007077,1,3032174,Spinopygina acerfalx,"",eukaryota,false,,,,0.006666709155826353,1,,,100.0,43.0,10^-16.9522,,,,,,,,,,,,,,,,,,0
3031148,2,3031148,Paramagnetospirillum,"",bacteria,false,,,,0.006666709155826353,1,,,92.079,101.0,10^-45.4011,,,,,,,,,,,,,,,,,[84159],0
84159,1,3031148,Paramagnetospirillum magneticum,"",bacteria,false,,,,0.006666709155826353,1,,,92.079,101.0,10^-45.4011,,,,,,,,,,,,,,,,,,0
3026546,2,3026546,Duffyella,"",bacteria,false,,,,0.06000038240243718,9,,,97.0682,85.0,10^-42.1399,,,,,,0.006666709155826353,1,,,100.0,33.0,10^-10.5186,,,,,[1619313],0
1619313,1,3026546,Duffyella gerundensis,"",bacteria,false,,,,0.06000038240243718,9,,,97.0682,85.0,10^-42.1399,,,,,,0.006666709155826353,1,,,100.0,33.0,10^-10.5186,,,,,,0
3025755,2,3025755,Thomasclavelia,"",bacteria,false,,,,0.013333418311652707,2,,,92.473,93.0,10^-41.3198,,,,,,0.013333418311652707,2,,,84.45,32.5,10^-8.49211,,,,,"[29348, 1522]",0
29348,1,3025755,Thomasclavelia spiroformis,"",bacteria,false,,,,0.013333418311652707,2,,,92.473,93.0,10^-41.3198,,,,,,0.006666709155826353,1,,,93.9,33.0,10^-11.4685,,,,,,0
1522,1,3025755,[Clostridium] innocuum,"",bacteria,false,,,,,,,,,,,,,,,,0.006666709155826353,1,,,75.0,32.0,10^-5.5157,,,,,,0
3020833,2,3020833,Isoalcanivorax,"",bacteria,false,,,,0.006666709155826353,1,,,100.0,101.0,10^-56.3801,,,,,,,,,,,,,,,,,[1306787],0
1306787,1,3020833,Isoalcanivorax pacificus,"",bacteria,false,,,,0.006666709155826353,1,,,100.0,101.0,10^-56.3801,,,,,,,,,,,,,,,,,,0
3019843,2,3019843,Spiralomyces,"",eukaryota,false,,,,0.006666709155826353,1,,,86.905,84.0,10^-29.6989,,,,,,,,,,,,,,,,,[2986372],0
2986372,1,3019843,Spiralomyces americanus,"",eukaryota,false,,,,0.006666709155826353,1,,,86.905,84.0,10^-29.6989,,,,,,,,,,,,,,,,,,0
2995702,2,2995702,Actinacidiphila,"",bacteria,false,,,,,,,,,,,,,,,,0.04666696409078447,7,,,89.5,29.4286,10^-10.1785,,,,,"[1436133, 887465]",0
1436133,1,2995702,Actinacidiphila bryophytorum,"",bacteria,false,,,,,,,,,,,,,,,,0.026666836623305414,4,,,81.625,27.25,10^-5.92216,,,,,,0
887465,1,2995702,Actinacidiphila cocklensis,"",bacteria,false,,,,,,,,,,,,,,,,0.02000012746747906,3,,,100.0,32.3333,10^-15.8537,,,,,,0
2994363,2,2994363,Pseudofrankia,"",bacteria,false,,,,0.013333418311652707,2,,,98.947,95.0,10^-50.9172,,,,,,,,,,,,,,,,,[298654],0
298654,1,2994363,Pseudofrankia inefficax,"",bacteria,false,,,,0.013333418311652707,2,,,98.947,95.0,10^-50.9172,,,,,,,,,,,,,,,,,,0
2989702,2,2989702,Edaphophycus,"",bacteria,false,,,,0.013333418311652707,2,,,94.505,91.0,10^-42.7016,,,,,,,,,,,,,,,,,[2989703],0
2989703,1,2989702,Edaphophycus epilithus,"",bacteria,false,,,,0.013333418311652707,2,,,94.505,91.0,10^-42.7016,,,,,,,,,,,,,,,,,,0
2986373,2,2986373,Polyschismium,"",eukaryota,false,,,,0.026666836623305414,4,,,96.769,54.3333,10^-22.3469,,,,,,,,,,,,,,,,,[2911783],0
2911783,1,2986373,Polyschismium peyerimhoffii,"",eukaryota,false,,,,0.026666836623305414,4,,,96.769,54.3333,10^-22.3469,,,,,,,,,,,,,,,,,,0
2983819,2,2983819,Neoarthrinium,"",eukaryota,false,,,,0.006666709155826353,1,,,89.109,101.0,10^-41.284,,,,,,0.006666709155826353,1,,,96.9,32.0,10^-12.0292,,,,,[1658444],0
1658444,1,2983819,Neoarthrinium moseri,"",eukaryota,false,,,,0.006666709155826353,1,,,89.109,101.0,10^-41.284,,,,,,0.006666709155826353,1,,,96.9,32.0,10^-12.0292,,,,,,0
2979332,2,2979332,Prescottella,"",bacteria,false,,,,0.02000012746747906,3,,,100.0,79.0,10^-41.3985,,,,,,0.026666836623305414,4,,,94.475,31.75,10^-9.6438,,,,,[43767],1
43767,1,2979332,Prescottella equi,"",bacteria,false,,,,0.02000012746747906,3,,,100.0,79.0,10^-41.3985,,,,,,0.026666836623305414,4,,,94.475,31.75,10^-9.6438,,,,,,1
2976915,2,2976915,Candidatus Angelobacter,"",bacteria,false,,,,,,,,,,,,,,,,0.013333418311652707,2,,,80.8,26.0,10^-5.28904,,,,,[2976921],0
2976921,1,2976915,Candidatus Angelobacter sp.,"",bacteria,false,,,,,,,,,,,,,,,,0.013333418311652707,2,,,80.8,26.0,10^-5.28904,,,,,,0
2976759,2,2976759,Capillimicrobium,"",bacteria,false,,,,0.033333545779131765,5,,,94.6616,74.6,10^-32.9127,,,,,,,,,,,,,,,,,[2884022],0
2884022,1,2976759,Capillimicrobium parvum,"",bacteria,false,,,,0.033333545779131765,5,,,94.6616,74.6,10^-32.9127,,,,,,,,,,,,,,,,,,0
2974251,2,2974251,Segatella,"",bacteria,false,,,,0.013333418311652707,2,,,95.3415,64.5,10^-27.4123,,,,,,0.006666709155826353,1,,,81.8,33.0,10^-9.8729,,,,,"[305719, 165179, 77095]",0
305719,1,2974251,Segatella baroniae,"",bacteria,false,,,,0.006666709155826353,1,,,95.161,62.0,10^-25.7137,,,,,,,,,,,,,,,,,,0
165179,1,2974251,Segatella copri,"",bacteria,false,,,,,,,,,,,,,,,,0.006666709155826353,1,,,81.8,33.0,10^-9.8729,,,,,,0
77095,1,2974251,Segatella bryantii,"",bacteria,false,,,,0.006666709155826353,1,,,95.522,67.0,10^-29.1109,,,,,,,,,,,,,,,,,,0
2964429,2,2964429,Candida/Metschnikowiaceae,"",eukaryota,false,,,,0.013333418311652707,2,,,91.525,59.0,10^-20.9319,,,,,,0.27333507538888047,41,1,41,55.556,63.0,10^-13.719,,,,,"[498019, 45357]",1
498019,1,2964429,[Candida] auris,"",eukaryota,false,,,,,,,,,,,,,,,,0.27333507538888047,41,1,41,55.556,63.0,10^-13.719,,,,,,1
45357,1,2964429,[Candida] haemuloni,"",eukaryota,false,,,,0.013333418311652707,2,,,91.525,59.0,10^-20.9319,,,,,,,,,,,,,,,,,,0
2950430,2,2950430,Pinirhizobacter,"",bacteria,false,,,,,,,,,,,,,,,,0.006666709155826353,1,,,93.9,33.0,10^-11.8928,,,,,[2786953],0
2786953,1,2950430,Pinirhizobacter soli,"",bacteria,false,,,,,,,,,,,,,,,,0.006666709155826353,1,,,93.9,33.0,10^-11.8928,,,,,,0
