tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen,sample_name,uploader,overall_job_status,runtime_seconds,total_reads,passed_filters,passed_filters_percent,host_organism,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_bowtie2_ercc_filtered,reads_after_fastp,reads_after_bowtie2_host_filtered,reads_after_hisat2_host_filtered,reads_after_czid_dedup,sample_type,nucleotide_type,state,species,lineage,family
2948734,2,2948734,Gylbovirus,,viruses,False,109.0723675420609,11052.0,1.0,11041.0,99.0145,12669.3,10^-307.395,0.05921409747126,6.0,,,86.85,27.5,10^-5.91901,[2955967],0,M11,José Carlos Marin Montesino,COMPLETE,10264,101327700,355020,0.35,Mosquito,478,1.0,80.256,1.21,101327222,81321160,1236960,1235338,293382,Whole Body,DNA,Mérida,aedes_aegypti,"OrderedDict({'genus': 'Gylbovirus', 'family': 'Xinmoviridae', 'order': 'Mononegavirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Xinmoviridae
2955967,1,2948734,Gylbovirus aagae,,viruses,False,109.0723675420609,11052.0,1.0,11041.0,99.0145,12669.3,10^-307.395,0.05921409747126,6.0,,,86.85,27.5,10^-5.91901,,0,M11,José Carlos Marin Montesino,COMPLETE,10264,101327700,355020,0.35,Mosquito,478,1.0,80.256,1.21,101327222,81321160,1236960,1235338,293382,Whole Body,DNA,Mérida,aedes_aegypti,"OrderedDict({'species': 'Gylbovirus aagae', 'genus': 'Gylbovirus', 'family': 'Xinmoviridae', 'order': 'Mononegavirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Xinmoviridae
2946826,2,2946826,Betascleroulivirus,,viruses,False,,,,,,,,0.01973803249042,2.0,,,98.5,33.0,10^-13.023,[2955482],0,M11,José Carlos Marin Montesino,COMPLETE,10264,101327700,355020,0.35,Mosquito,478,1.0,80.256,1.21,101327222,81321160,1236960,1235338,293382,Whole Body,DNA,Mérida,aedes_aegypti,"OrderedDict({'genus': 'Betascleroulivirus', 'family': 'Botourmiaviridae', 'order': 'Ourlivirales', 'class': 'Miaviricetes', 'phylum': 'Lenarviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Botourmiaviridae
2955482,1,2946826,Betascleroulivirus etaplasmoparae,,viruses,False,,,,,,,,0.01973803249042,2.0,,,98.5,33.0,10^-13.023,,0,M11,José Carlos Marin Montesino,COMPLETE,10264,101327700,355020,0.35,Mosquito,478,1.0,80.256,1.21,101327222,81321160,1236960,1235338,293382,Whole Body,DNA,Mérida,aedes_aegypti,"OrderedDict({'species': 'Betascleroulivirus etaplasmoparae', 'genus': 'Betascleroulivirus', 'family': 'Botourmiaviridae', 'order': 'Ourlivirales', 'class': 'Miaviricetes', 'phylum': 'Lenarviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Botourmiaviridae
2842914,2,2842914,Obscuruvirus,,viruses,False,,,,,,,,0.00986901624521,1.0,,,62.5,32.0,10^-4.94692,[2980627],0,M11,José Carlos Marin Montesino,COMPLETE,10264,101327700,355020,0.35,Mosquito,478,1.0,80.256,1.21,101327222,81321160,1236960,1235338,293382,Whole Body,DNA,Mérida,aedes_aegypti,"OrderedDict({'genus': 'Obscuruvirus', 'family': 'Aliusviridae', 'order': 'Jingchuvirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Aliusviridae
2980627,1,2842914,Lestijarvi obscuruvirus,,viruses,False,,,,,,,,0.00986901624521,1.0,,,62.5,32.0,10^-4.94692,,0,M11,José Carlos Marin Montesino,COMPLETE,10264,101327700,355020,0.35,Mosquito,478,1.0,80.256,1.21,101327222,81321160,1236960,1235338,293382,Whole Body,DNA,Mérida,aedes_aegypti,"OrderedDict({'species': 'Lestijarvi obscuruvirus', 'genus': 'Obscuruvirus', 'family': 'Aliusviridae', 'order': 'Jingchuvirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Aliusviridae
2842652,2,2842652,Doliuvirus,,viruses,False,,,,,,,,0.0986901624521,10.0,,,73.09,31.0,10^-6.60275,[2844094],0,M11,José Carlos Marin Montesino,COMPLETE,10264,101327700,355020,0.35,Mosquito,478,1.0,80.256,1.21,101327222,81321160,1236960,1235338,293382,Whole Body,DNA,Mérida,aedes_aegypti,"OrderedDict({'genus': 'Doliuvirus', 'family': 'Chuviridae', 'order': 'Jingchuvirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Chuviridae
2844094,1,2842652,Doliuvirus culisetae,,viruses,False,,,,,,,,0.0986901624521,10.0,,,73.09,31.0,10^-6.60275,,0,M11,José Carlos Marin Montesino,COMPLETE,10264,101327700,355020,0.35,Mosquito,478,1.0,80.256,1.21,101327222,81321160,1236960,1235338,293382,Whole Body,DNA,Mérida,aedes_aegypti,"OrderedDict({'species': 'Doliuvirus culisetae', 'genus': 'Doliuvirus', 'family': 'Chuviridae', 'order': 'Jingchuvirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Chuviridae
2733155,2,2733155,Shapirovirus,,viruses,True,0.00986901624521,1.0,,,97.368,38.0,10^-12.2026,,,,,,,,[1959737],0,M11,José Carlos Marin Montesino,COMPLETE,10264,101327700,355020,0.35,Mosquito,478,1.0,80.256,1.21,101327222,81321160,1236960,1235338,293382,Whole Body,DNA,Mérida,aedes_aegypti,"OrderedDict({'genus': 'Shapirovirus', 'family': 'Jeanschmidtviridae', 'class': 'Caudoviricetes', 'phylum': 'Uroviricota', 'kingdom': 'Heunggongvirae', 'realm': 'Duplodnaviria', 'acellular root': 'Viruses'})",Jeanschmidtviridae
1959737,1,2733155,Caulobacter phage Ccr29,,viruses,True,0.00986901624521,1.0,,,97.368,38.0,10^-12.2026,,,,,,,,,0,M11,José Carlos Marin Montesino,COMPLETE,10264,101327700,355020,0.35,Mosquito,478,1.0,80.256,1.21,101327222,81321160,1236960,1235338,293382,Whole Body,DNA,Mérida,aedes_aegypti,"OrderedDict({'species': 'Caulobacter phage Ccr29', 'genus': 'Shapirovirus', 'family': 'Jeanschmidtviridae', 'class': 'Caudoviricetes', 'phylum': 'Uroviricota', 'kingdom': 'Heunggongvirae', 'realm': 'Duplodnaviria', 'acellular root': 'Viruses'})",Jeanschmidtviridae
