Sample,Read_Type,Input_Reads,Average_Length,Uniquely_Mapped_Reads,Uniquely_Percent,Total_Multimapped,Total_Multimapped_Percent,Unmapped_Reads,Unmapped_Percent,Unmapped_Too_Short,Unmapped_Other
PM2486_paired,unknown,45590231,187,2739878,6.01,5809884,12.74,37040469,81.24,21628751,15409654
PM2486_R1_unpaired,unknown,3734541,83,376443,10.08,527163,14.11,2830935,75.80,1847371,982227
PM2486_R2_unpaired,unknown,371462,83,34993,9.42,47929,12.90,288540,77.67,218758,69603
PM2494_paired,unknown,26021270,181,1458062,5.60,6239405,23.97,18323803,70.41,10410045,7911497
PM2494_R1_unpaired,unknown,2679177,79,234498,8.75,693363,25.87,1751316,65.36,1091283,657978
PM2494_R2_unpaired,unknown,227207,81,20106,8.85,49086,21.60,158015,69.54,115771,42146
PM2497_paired,unknown,39833738,190,2195942,5.51,4425289,11.10,33212507,83.37,25340478,7870797
PM2497_R1_unpaired,unknown,2343970,79,163928,6.99,211672,9.03,1968370,83.97,1649857,317564
PM2497_R2_unpaired,unknown,314636,81,22152,7.04,27523,8.74,264961,84.21,238307,26533
PM2524_paired,unknown,40238992,192,2558810,6.36,7010820,17.42,30669362,76.21,17687432,12981283
PM2524_R1_unpaired,unknown,2733019,87,288555,10.56,477537,17.47,1966927,71.96,1276026,690039
PM2524_R2_unpaired,unknown,336300,85,32822,9.76,54599,16.23,248879,74.00,186468,62088
PM2539_paired,unknown,27316654,176,1651205,6.04,5011984,18.34,20653465,75.60,12220828,8430098
PM2539_R1_unpaired,unknown,4108491,76,333925,8.13,766816,18.66,3007750,73.20,2016162,988084
PM2539_R2_unpaired,unknown,307773,82,24423,7.94,54749,17.78,228601,74.27,165668,62786
PM2577_paired,unknown,96539214,192,5718451,5.92,37873225,39.23,52947538,54.84,34268636,18677818
PM2577_R1_unpaired,unknown,3967358,80,312970,7.89,1400804,35.30,2253584,56.80,1692337,560253
PM2577_R2_unpaired,unknown,666967,80,53351,8.00,167766,25.15,445850,66.84,393852,51720
PM2601_paired,unknown,20975952,192,342668,1.63,1983100,9.45,18650184,88.91,17727603,922581
PM2601_R1_unpaired,unknown,693711,96,34482,4.97,69677,10.04,589552,84.98,450998,138511
PM2601_R2_unpaired,unknown,259732,96,10002,3.85,32042,12.33,217688,83.81,160303,57351
PM2616_paired,unknown,20384194,185,1062361,5.21,3563239,17.48,15758594,77.30,9126278,6631768
PM2616_R1_unpaired,unknown,3102520,83,287453,9.27,669982,21.59,2145085,69.14,1346551,795418
PM2616_R2_unpaired,unknown,229738,88,19733,8.59,51048,22.22,158957,69.19,93837,64975
PM2622_paired,unknown,37046597,190,2203129,5.95,8695013,23.47,26148455,70.58,11046929,15100834
PM2622_R1_unpaired,unknown,1311301,76,137112,10.46,212830,16.23,961359,73.31,503281,456507
PM2622_R2_unpaired,unknown,242157,81,33133,13.68,40626,16.77,168398,69.54,133932,34296
