sample,virus,total_positions,avg_depth,min_depth,max_depth,covered_positions,gap_positions,pct_covered,pct_gaps
PM2469_S1_923325,OSFV,0,0,0,0,0,0,0.00,0.00
PM2486_S27_1_929425,OSFV,0,0,0,0,0,0,0.00,0.00
PM2494_S26_923327,OSFV,0,0,0,0,0,0,0.00,0.00
PM2497_S12_929424,OSFV,0,0,0,0,0,0,0.00,0.00
PM2524_S24_923329,OSFV,0,0,0,0,0,0,0.00,0.00
PM2528_S2_923330,OSFV,2270,3.11,1,9,1364,0,60.09,0.00
PM2539_S23_923331,OSFV,0,0,0,0,0,0,0.00,0.00
PM2577_S13_923332,OSFV,0,0,0,0,0,0,0.00,0.00
PM2601_S14_923333,OSFV,0,0,0,0,0,0,0.00,0.00
PM2616_S22_923334,OSFV,0,0,0,0,0,0,0.00,0.00
PM2622_S32_923335,OSFV,0,0,0,0,0,0,0.00,0.00
PM3050_S3_1_929426,OSFV,0,0,0,0,0,0,0.00,0.00
PM3051_S4_923337,OSFV,0,0,0,0,0,0,0.00,0.00
PM3153_S5_923338,OSFV,10201,8.37,1,22,9686,0,94.95,0.00
PM3183_S6_923339,OSFV,0,0,0,0,0,0,0.00,0.00
PM2469_S1_923325,TAV,9526,364.98,1,717,9525,0,99.99,0.00
PM2486_S27_1_929425,TAV,0,0,0,0,0,0,0.00,0.00
PM2494_S26_923327,TAV,0,0,0,0,0,0,0.00,0.00
PM2497_S12_929424,TAV,0,0,0,0,0,0,0.00,0.00
PM2524_S24_923329,TAV,0,0,0,0,0,0,0.00,0.00
PM2528_S2_923330,TAV,0,0,0,0,0,0,0.00,0.00
PM2539_S23_923331,TAV,0,0,0,0,0,0,0.00,0.00
PM2577_S13_923332,TAV,0,0,0,0,0,0,0.00,0.00
PM2601_S14_923333,TAV,0,0,0,0,0,0,0.00,0.00
PM2616_S22_923334,TAV,0,0,0,0,0,0,0.00,0.00
PM2622_S32_923335,TAV,0,0,0,0,0,0,0.00,0.00
PM3050_S3_1_929426,TAV,0,0,0,0,0,0,0.00,0.00
PM3051_S4_923337,TAV,0,0,0,0,0,0,0.00,0.00
PM3153_S5_923338,TAV,0,0,0,0,0,0,0.00,0.00
PM3183_S6_923339,TAV,0,0,0,0,0,0,0.00,0.00
PM2469_S1_923325,GMMLV,13588,55.30,1,117,13574,0,99.90,0.00
PM2486_S27_1_929425,GMMLV,1325,4.24,1,10,972,0,73.36,0.00
PM2494_S26_923327,GMMLV,2279,3.87,1,11,1584,0,69.50,0.00
PM2497_S12_929424,GMMLV,2326,5.22,0,15,1867,1,80.27,0.04
PM2524_S24_923329,GMMLV,3635,5.31,1,19,2761,0,75.96,0.00
PM2528_S2_923330,GMMLV,2399,2.99,1,9,1467,0,61.15,0.00
PM2539_S23_923331,GMMLV,2722,5.25,1,15,2119,0,77.85,0.00
PM2577_S13_923332,GMMLV,0,0,0,0,0,0,0.00,0.00
PM2601_S14_923333,GMMLV,1475,4.23,1,9,1066,0,72.27,0.00
PM2616_S22_923334,GMMLV,1610,4.71,1,12,1191,0,73.98,0.00
PM2622_S32_923335,GMMLV,16621,73.93,1,185,15709,0,94.51,0.00
PM3050_S3_1_929426,GMMLV,792,3.65,1,8,540,0,68.18,0.00
PM3051_S4_923337,GMMLV,0,0,0,0,0,0,0.00,0.00
PM3153_S5_923338,GMMLV,13580,20.23,1,45,13511,0,99.49,0.00
PM3183_S6_923339,GMMLV,771,2.34,1,5,319,0,41.37,0.00
