NC_000943.1	Murray Valley encephalitis virus
NC_001437.1	Japanese encephalitis virus
NC_001461.1	Bovine viral diarrhea virus 1
NC_001474.2	dengue virus type 2
NC_001475.2	dengue virus type 3
NC_001477.1	dengue virus type 1
NC_001563.2	West Nile virus
NC_001564.2	Cell fusing agent virus
NC_001655.1	GB virus-B
NC_001672.1	Tick-borne encephalitis virus
NC_001710.1	GB virus C
NC_001809.1	Louping ill virus
NC_001837.1	Pegivirus platyrrhini
NC_002031.1	Yellow fever virus
NC_002640.1	dengue virus type 4
NC_002657.1	Classical swine fever virus
NC_003635.1	Modoc virus
NC_003675.1	Rio Bravo virus
NC_003676.1	Apoi virus
NC_003678.1	Pestivirus giraffe-1 H138
NC_003679.1	Border disease virus
NC_003687.1	Powassan virus
NC_003690.1	Langat virus
NC_003996.1	Tamana bat virus
NC_004102.1	Hepatitis C virus genotype 1
NC_004119.1	Montana myotis leukoencephalitis virus
NC_005039.1	Yokose virus
NC_005062.1	Omsk hemorrhagic fever virus
NC_005064.1	Kamiti River virus
NC_006551.1	Usutu virus
NC_007580.2	St. Louis encephalitis virus
NC_008604.2	Culex flavivirus
NC_008718.1	Entebbe bat virus
NC_008719.1	Sepik virus
NC_009026.2	Aroa virus
NC_009028.2	Ilheus virus
NC_009029.2	Kokobera virus
NC_009823.1	Hepatitis C virus genotype 2
NC_009824.1	Hepatitis C virus genotype 3
NC_009825.1	Hepatitis C virus genotype 4
NC_009826.1	Hepatitis C virus genotype 5
NC_009827.1	Hepatitis C virus genotype 6
NC_009942.1	West Nile virus
NC_012532.1	Zika virus
NC_012533.1	Kedougou virus
NC_012534.1	Bagaza virus
NC_012671.1	Quang Binh virus
NC_012735.1	Wesselsbron virus
NC_012812.1	Bovine viral diarrhea virus 3 Th/04_KhonKaen
NC_012932.1	Aedes flavivirus
NC_015843.2	Tembusu virus
NC_016997.1	Donggang virus
NC_017086.1	Chaoyang virus
NC_018705.3	Ntaya virus
NC_018713.1	Aydin-like pestivirus
NC_020902.1	Equine pegivirus 1
NC_021069.1	Mosquito flavivirus
NC_021153.1	Rodent hepacivirus
NC_021154.1	Rodent pegivirus
NC_023176.1	Porcine pestivirus isolate Bungowannah
