YP_002308576.1,Varicosavirus lactucae
YP_006576506.2,Persimmon virus A
YP_006742184.1,Ikoma lyssavirus
YP_009041461.1,Canary bornavirus 3
YP_009091823.1,Farmington virus
YP_009094173.1,avian paramyxovirus 12
YP_009094272.1,Lyssavirus caucasicus
YP_009094364.1,avian paramyxovirus 9
YP_009130620.1,Black grass varicosavirus-like virus
YP_009177231.1,Cytorhabdovirus hordei
YP_009204560.1,Fox fecal rhabdovirus
YP_009268916.1,Aquatic bird bornavirus 2
YP_009289352.1,Sanxia Water Strider Virus 5
YP_009300674.1,Shayang Fly Virus 3
YP_009300677.1,Shuangao Bedbug Virus 2
YP_009300875.1,Wuhan Insect virus 5
YP_009303699.1,Lishi Spider Virus 2
YP_009304559.1,Wuhan Ant Virus
YP_009304985.1,Wuhan House Fly Virus 2
YP_009305112.1,Wuhan Mosquito Virus 9
YP_009325416.1,Lleida bat lyssavirus
YP_009330105.1,Hubei myriapoda virus 7
YP_009333192.1,Beihai barnacle virus 7
YP_009333449.1,Beihai rhabdo-like virus 2
YP_009336512.1,Wenling crustacean virus 10
YP_009336589.1,Wenling crustacean virus 11
YP_009336595.1,Hubei rhabdo-like virus 4
YP_009337428.1,Sanxia atyid shrimp virus 4
YP_009337635.1,Shayang ascaridia galli virus 2
YP_009337815.1,Hubei rhabdo-like virus 9
YP_009444713.1,maize Iranian mosaic virus
YP_009508516.1,Antarctic penguin virus B
YP_009512939.1,Parrot bornavirus 5
YP_009553369.1,Rice stripe mosaic virus
YP_009666274.1,Sclerotinia sclerotiorum negative-stranded RNA virus 4
YP_009666993.1,Clerodendrum chlorotic spot virus
YP_009976137.1,Citrus leprosis virus N
YP_010084250.1,Hubei rhabdo-like virus 5
YP_010084456.1,Lepeophtheirus salmonis rhabdovirus 9
YP_010086418.1,Maize yellow striate virus
YP_010086818.1,Wheat yellow striate virus
YP_010087157.1,Cytorhabdovirus caricae
YP_010087201.1,Morogoro maize-associated virus
YP_010087631.1,Cytorhabdovirus fragariae
YP_010784557.1,Soybean leaf-associated negative-stranded RNA virus 2
YP_010784558.1,Soybean leaf-associated negative-stranded RNA virus 3
YP_010784559.1,Soybean leaf-associated negative-stranded RNA virus 4
YP_010796376.1,Lepeophtheirus virus LS24
YP_010796382.1,Avian paramyxovirus 17
YP_010796432.1,alfalfa-associated nucleorhabdovirus
YP_010796439.1,Lentinula edodes negative-strand RNA virus 1
YP_010797581.1,Kiln Barn virus
YP_010797749.1,Cytorhabdovirus fragariarugosus
YP_010797908.1,Lasius neglectus virus 2
YP_010797952.1,Botrytis cinerea mymonavirus 1
YP_010798025.1,Trifolium pratense virus B
YP_010798256.1,Penicillium glabrum negative-stranded RNA virus 1
YP_010798352.1,Narnavirus sp.
YP_010798414.1,Apple virus B
YP_010798423.1,Peach virus 1
YP_010798429.1,Plasmopara viticola lesion associated mononegaambi virus 1
YP_010798430.1,Plasmopara viticola lesion associated mononegaambi virus 3
YP_010798432.1,Plasmopara viticola lesion associated mononegaambi virus 4
YP_010798433.1,Plasmopara viticola lesion associated mononegaambi virus 5
YP_010798441.1,Plasmopara viticola lesion associated mononegaambi virus 9
YP_010798448.1,Herr Frank virus 1
YP_010798481.1,Yerba mate virus A
YP_010798551.1,hymenopteran rhabdo-related virus 109
YP_010798568.1,Botrytis cinerea negative-stranded RNA virus 7
YP_010798608.1,hymenopteran rhabdo-related virus 24
YP_010799739.1,Frog lyssa-like virus 1
YP_010800334.1,Botrytis cinerea negative-stranded RNA virus 5
YP_010800391.1,Solanum melongena rhabdo-like virus
YP_010800398.1,paper mulberry mosaic associated virus
YP_010800697.1,Cryphonectria parasitica sclerotimonavirus 1
YP_010800863.1,Rose virus R
YP_010800926.1,Hemipteran arli-related virus OKIAV95
YP_010800931.1,Hymenopteran arli-related virus OKIAV99
YP_010800952.1,Hymenopteran rhabdo-related virus
YP_010801070.1,Anisopteromalus calandrae negative-strand RNA virus 2
YP_010802256.1,Asclepias syriaca virus 2
YP_010802274.1,Anthurium amnicola virus 1
YP_010802287.1,Glehnia littoralis virus 1
YP_010802308.1,Trachyspermum ammi virus 1
YP_010802319.1,Armillaria mellea negative strand RNA virus 2
YP_010802816.1,Erysiphe necator associated negative-stranded RNA virus 23
YP_010802825.1,Kenyan potato cytorhabdovirus
YP_010804974.1,Bemisia tabaci arlivirus 1
YP_010805004.1,Armillaria mellea negative-stranded RNA virus 1
YP_010805197.1,Yunnan mymona-like virus 1
YP_010805198.1,Xinjiang mymona-like virus 2
YP_010805206.1,Hangzhou scotinophara lurida lispivirus 1
YP_010805222.1,Hangzhou cletus punctiger lispivirus 1
YP_010805224.1,Guiyang lispivirus 1
YP_010805694.1,Fusarium oxysporum mymonavirus 1
YP_010805763.1,Artemisia capillaris nucleorhabdovirus 1
YP_010839348.1,Lishi spider virus 1
YP_010840914.1,Brassica rapa virus 1
YP_010840918.1,Lolium perenne virus 1
YP_010840919.1,Melampyrum roseum virus 1
YP_052849.1,Maize fine streak virus
