accession,name
YP_002905331.1,Nyavirus midwayense
YP_002905337.1,Nyavirus nyamaniniense
YP_009044201.1,Sierra Nevada virus
YP_009052467.1,Socyvirus heteroderae
YP_009055063.1,Loveridge's garter snake virus 1
YP_009094312.1,Spodoptera frugiperda rhabdovirus
YP_009094317.1,Sclerotinia sclerotiorum negative-stranded RNA virus 1
YP_009237647.1,Aquatic bird bornavirus 1
YP_009259650.1,Diachasmimorpha longicaudata rhabdovirus
YP_009268910.1,Canary bornavirus 1
YP_009268922.1,Borna disease virus 2
YP_009269418.1,Variegated squirrel bornavirus 1
YP_009288955.1,Sanxia water strider virus 4
YP_009302387.1,Xincheng Mosquito Virus
YP_009304420.1,Tacheng Tick Virus 6
YP_009304476.1,Tacheng Tick Virus 7
YP_009304558.1,Wenzhou Crab Virus 1
YP_009333185.1,Beihai barnacle virus 8
YP_009333413.1,Beihai rhabdo-like virus 6
YP_009333418.1,Beihai rhabdo-like virus 4
YP_009333422.1,Beihai rhabdo-like virus 5
YP_009333443.1,Beihai rhabdo-like virus 1
YP_009336618.1,Wenling crustacean virus 12
YP_009336728.1,Hubei orthoptera virus 5
YP_009336889.1,Hubei rhabdo-like virus 3
YP_009336924.1,Hubei odonate virus 10
YP_009336984.1,Hubei rhabdo-like virus 1
YP_009337121.1,Hubei rhabdo-like virus 7
YP_009337182.1,Hubei diptera virus 11
YP_009337799.1,Hubei rhabdo-like virus 2
YP_009342285.1,Wuchang romanomermis nematode virus 2
YP_009342311.1,Wenzhou tapeworm virus 1
YP_009388622.1,Culex mononega-like virus 2
YP_009505433.1,Pteromalus puparum negative-strand RNA virus 1
YP_009508484.1,Jungle carpet python virus
YP_009508490.1,Southwest carpet python virus
YP_009512933.1,Parrot bornavirus 1
YP_009666282.1,Drosophila unispina virus 1
YP_009666283.1,Orinoco virus
YP_009666292.1,Beihai rhabdo-like virus 3
YP_010084240.1,Shuangao Fly Virus 2
YP_010084246.1,Bolahun virus
YP_010084247.1,Hubei rhabdo-like virus 8
YP_010084249.1,Hubei rhabdo-like virus 6
YP_010085030.1,Wuhan sharpbelly bornavirus
YP_010784507.1,Aedes anphevirus
YP_010784554.1,Soybean leaf-associated negative-stranded RNA virus 1
YP_010784568.1,Culex mononega-like virus 2
YP_010797509.1,Formica exsecta virus 4
YP_010797554.1,Blacklegged tick rhabdovirus 1
YP_010797586.1,Chimay rhabdovirus
YP_010797903.1,Formica fusca virus 1
YP_010798254.1,Penicillium cairnsense negative-stranded RNA virus 1
YP_010798255.1,Alternaria tenuissima negative-stranded RNA virus 1
YP_010798257.1,Penicillium adametzioides negative-stranded RNA virus 1
YP_010798322.1,San Jacinto virus
YP_010798435.1,Plasmopara viticola lesion associated mononegaambi virus 6
YP_010798438.1,Plasmopara viticola lesion associated mymonavirus 1
YP_010798439.1,Plasmopara viticola lesion associated mononegaambi virus 7
YP_010798443.1,Plasmopara viticola lesion associated mononega virus 2
YP_010798556.1,Hymenopteran orino-related virus OKIAV87
YP_010798561.1,hymenopteran rhabdo-related virus 38
YP_010798566.1,Lepidopteran rhabdo-related virus 34
YP_010798603.1,Hymenopteran orino-related virus OKIAV85
YP_010798900.1,Mexican black-tailed rattlesnake bornavirus
YP_010799224.1,Gambie virus
YP_010799271.1,Culex tritaeniorhynchus Anphevirus
YP_010799278.1,Sekira virus
YP_010799357.1,Linepithema humile rhabdo-like virus 1
YP_010799397.1,Anopheles darlingi virus
YP_010799403.1,Anopheles marajoara virus
YP_010799923.1,Amsterdam virus
YP_010799963.1,Jeremy Point nyavirus
YP_010800326.1,Botrytis cinerea negative-stranded RNA virus 3
YP_010800330.1,Botrytis cinerea negative-stranded RNA virus 4
YP_010800574.1,Odonatan anphe-related virus OKIAV59
YP_010800575.1,Blattodean arli-related virus OKIAV102
YP_010800580.1,Strepsipteran arli-related virus OKIAV104
YP_010800583.1,Coleopteran arli-related virus OKIAV107
YP_010800584.1,Isopteran arli-related virus OKIAV103
YP_010800589.1,Hemipteran arli-related virus OKIAV94
YP_010800713.1,Bondarzewia berkeleyi negative-strand RNA virus 1
YP_010800851.1,Solenopsis invicta virus 15
YP_010800904.1,Jimsystermes virus
YP_010800924.1,Hymenopteran arli-related virus OKIAV98
YP_010800935.1,Hymenopteran anphe-related virus OKIAV71
YP_010800947.1,Hymenopteran rhabdo-related virus
YP_010801065.1,Anisopteromalus calandrae negative-strand RNA virus 1
YP_010802814.1,Erysiphe necator associated negative-stranded RNA virus 5
YP_010802815.1,Erysiphe necator associated negative-stranded RNA virus 6
YP_010804980.1,Bemisia tabaci arlivirus 2
YP_010805174.1,Magnaporthe oryzae mononegaambi virus 1
YP_010805183.1,Arlivirus sp. virus
YP_010805207.1,Hangzhou eysarcoris guttigerus lispivirus 1
YP_010805212.1,Hangzhou acrida cinerea lispivirus 1
YP_010805226.1,Guiyang lispivirus 2
YP_010805231.1,Sanya nyamivirus 1
YP_010805443.1,Fusarium asiaticum negative-stranded RNA virus 1
YP_010805613.1,Xiangshan Nyami-like virus
YP_010805654.1,Erthesina fullo arlivirus 1
