.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
PM2469_R1_paired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2469_R1_unpaired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2469_R2_paired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2469_R2_unpaired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2486_R1_paired	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
PM2486_R1_unpaired	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
PM2486_R2_paired	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
PM2486_R2_unpaired	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
PM2494_R1_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
PM2494_R1_unpaired	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
PM2494_R2_paired	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
PM2494_R2_unpaired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
PM2497_R1_paired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2497_R1_unpaired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
PM2497_R2_paired	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
PM2497_R2_unpaired	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
PM2524_R1_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
PM2524_R1_unpaired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2524_R2_paired	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
PM2524_R2_unpaired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2528_R1_paired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2528_R1_unpaired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2528_R2_paired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
PM2528_R2_unpaired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2539_R1_paired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2539_R1_unpaired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2539_R2_paired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2539_R2_unpaired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.5
PM2577_R1_paired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
PM2577_R1_unpaired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
PM2577_R2_paired	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
PM2577_R2_unpaired	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.25	1
PM2601_R1_paired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
PM2601_R1_unpaired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
PM2601_R2_paired	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.5	1
PM2601_R2_unpaired	1	1	0.5	1	0.5	0.25	1	0.5	0.25	0.25	1
PM2616_R1_paired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2616_R1_unpaired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2616_R2_paired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.5
PM2616_R2_unpaired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.25
PM2622_R1_paired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2622_R1_unpaired	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2622_R2_paired	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.25	1
PM2622_R2_unpaired	1	1	0.5	1	0.5	0.5	1	0.5	0.25	0.25	1
PM3050_R1_paired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM3050_R1_unpaired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM3050_R2_paired	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
PM3050_R2_unpaired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
PM3051_R1_paired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM3051_R1_unpaired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM3051_R2_paired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
PM3051_R2_unpaired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
PM3153_R1_paired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	1
PM3153_R1_unpaired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	1
PM3153_R2_paired	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
PM3153_R2_unpaired	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
PM3183_R1_paired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM3183_R1_unpaired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM3183_R2_paired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
PM3183_R2_unpaired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Undetermined_R1_paired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Undetermined_R1_unpaired	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Undetermined_R2_paired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
Undetermined_R2_unpaired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
