Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
PM2486_R2_paired - polyg	(1, 2.615070904814151)	(2, 2.6956167571246437)	(3, 2.6990608379092995)	(4, 2.6990714514094063)	(5, 2.699113905409834)	(6, 2.699198813410688)	(7, 2.699543752164159)	(8, 2.6997082614158145)	(9, 2.6997719424164552)	(10, 2.6998913442926566)	(12, 2.7000001326687513)	(14, 2.7000664670444188)	(16, 2.7001566817953266)	(18, 2.7002468965462345)	(20, 2.7002946572967153)	(22, 2.700363645047409)	(24, 2.700440592923184)	(26, 2.700575915049545)	(28, 2.700658169675373)	(30, 2.700769611426494)	(32, 2.7008306390521084)	(34, 2.7009765746785765)	(36, 2.7011092434299115)	(38, 2.7012525256813538)	(40, 2.701371927557555)	(42, 2.7014833693086766)	(44, 2.701594811059798)	(46, 2.701708906185946)	(48, 2.701817694562041)	(50, 2.7019052559379215)	(52, 2.701990163938776)	(54, 2.7020803786896836)	(56, 2.702183860315725)	(58, 2.7022793818166866)	(60, 2.7023589830674872)	(62, 2.702425317443155)	(64, 2.7024757315686623)	(66, 2.702510225444009)	(68, 2.702563292944543)	(70, 2.7026137070700504)	(72, 2.702680041445718)	(74, 2.7027092285710115)	(76, 2.7027410690713323)	(78, 2.702810056822026)	(80, 2.7028525108224537)	(82, 2.7029082316980144)	(84, 2.7029559924484943)	(86, 2.7030037531989755)	(88, 2.7030488605744294)	(90, 2.7030621274495625)
PM2486_R2_unpaired - polya	(1, 0.0009977583695297896)	(2, 0.0015298961666123444)	(3, 0.0015964133912476635)	(4, 0.0017294478405183022)	(5, 0.0018624822897889408)	(6, 0.0022615856376008566)	(7, 0.0023946200868714953)	(8, 0.0032593440071306463)	(9, 0.003924516253483839)	(10, 0.005288119358507886)	(12, 0.00588677438022576)	(14, 0.006651722463531932)	(16, 0.00771599805769704)	(18, 0.008979825325768107)	(20, 0.010143876756886196)	(22, 0.011939841822039818)	(24, 0.013835582724146417)	(26, 0.015232444441488122)	(28, 0.016895375057371105)	(30, 0.01932325375656026)	(32, 0.021784391068067076)	(34, 0.02444508005347985)	(36, 0.02713902765121028)	(38, 0.030464888882976243)	(40, 0.03452243958573072)	(42, 0.03901235224861478)	(44, 0.04356878213613415)	(46, 0.047293746715712036)	(48, 0.05241557301263162)	(50, 0.05783672682041015)	(52, 0.06465474234553037)	(54, 0.07060803395039145)	(56, 0.07759234253709998)	(58, 0.08414428916367894)	(60, 0.09046342550403427)	(62, 0.09744773409074281)	(64, 0.10439878406513367)	(66, 0.11158264432574816)	(68, 0.12019662491602201)	(70, 0.12791262297371903)	(72, 0.13616075882849865)	(74, 0.1444421532955959)	(76, 0.15232444441488124)	(78, 0.15937527022622508)	(80, 0.16616002713902767)	(82, 0.17317759433805385)	(84, 0.18059426488489194)	(86, 0.18688014261292962)	(88, 0.19276691699315537)	(90, 0.19376467536268516)
PM2486_R2_unpaired - polyg	(1, 4.4869193877754645)	(2, 4.543858132063297)	(3, 4.560820024345304)	(4, 4.560820024345304)	(5, 4.560953058794575)	(6, 4.561219127693116)	(7, 4.56188429993947)	(8, 4.562283403287282)	(9, 4.562549472185823)	(10, 4.562915316921316)	(12, 4.5631481272075405)	(14, 4.5632146444321755)	(16, 4.563314420269128)	(18, 4.563547230555352)	(20, 4.563613747779987)	(22, 4.563647006392305)	(24, 4.563846558066212)	(26, 4.564046109740117)	(28, 4.564212402801706)	(30, 4.564478471700247)	(32, 4.564478471700247)	(34, 4.564711281986471)	(36, 4.5652434197835525)	(38, 4.565642523131364)	(40, 4.565908592029906)	(42, 4.566340953990036)	(44, 4.566740057337848)	(46, 4.566972867624071)	(48, 4.567105902073342)	(50, 4.567238936522612)	(52, 4.567737815707377)	(54, 4.567970625993601)	(56, 4.568336470729095)	(58, 4.568735574076907)	(60, 4.569001642975449)	(62, 4.569267711873989)	(64, 4.5696335566094834)	(66, 4.570065918569614)	(68, 4.570598056366697)	(70, 4.5711967113884135)	(72, 4.571662331960861)	(74, 4.572127952533309)	(76, 4.572626831718074)	(78, 4.572992676453568)	(80, 4.573258745352109)	(82, 4.573657848699921)	(84, 4.573990434823097)	(86, 4.574223245109321)	(88, 4.574655607069451)	(90, 4.574722124294086)
PM2494_R2_paired - polyg	(1, 2.8752048333451716)	(2, 2.973514323109981)	(3, 2.9768937566327955)	(4, 2.9769128764829955)	(5, 2.977018035659094)	(6, 2.9770801751722438)	(7, 2.977773269741986)	(8, 2.980148911129311)	(9, 2.98023017049266)	(10, 2.9803616194627836)	(12, 2.9805145782643825)	(14, 2.9805528179647816)	(16, 2.980612567496656)	(18, 2.980698606822555)	(20, 2.9807655262982546)	(22, 2.9808157159050293)	(24, 2.980849175642879)	(26, 2.980925655043678)	(28, 2.9809567248002526)	(30, 2.981009304388302)	(32, 2.9810714439014516)	(34, 2.98115748322735)	(36, 2.9812602524221745)	(38, 2.9813964813548477)	(40, 2.9815231503624213)	(42, 2.981611579669596)	(44, 2.9816928390329447)	(46, 2.981754978546094)	(48, 2.981836237909443)	(50, 2.981879257572393)	(52, 2.981936617122992)	(54, 2.9819891967110417)	(56, 2.982044166280366)	(58, 2.982111085756065)	(60, 2.982204295025789)	(62, 2.9822879443704133)	(64, 2.9823118441831635)	(66, 2.9823285740520884)	(68, 2.982364423771213)	(70, 2.9823883235839626)	(72, 2.982431343246912)	(74, 2.982455243059662)	(76, 2.982491092778786)	(78, 2.982536502423011)	(80, 2.982565182198311)	(82, 2.98260342189871)	(84, 2.982624931730185)	(86, 2.982665561411859)	(88, 2.9826799012995093)	(90, 2.9826822912807844)
PM2494_R2_unpaired - polya	(1, 0.0010561434754235413)	(2, 0.001222902971543048)	(3, 0.0013896624676625544)	(4, 0.001556421963782061)	(5, 0.001889940956021074)	(6, 0.0020011139534340783)	(7, 0.002223459948260087)	(8, 0.002946084431444615)	(9, 0.0036687089146291434)	(10, 0.00436354014846042)	(12, 0.004947198384878694)	(14, 0.005586443120003469)	(16, 0.0061978946057749925)	(18, 0.007142865083785529)	(20, 0.008087835561796066)	(22, 0.009255152034632612)	(24, 0.01047805500617566)	(26, 0.0114786119828927)	(28, 0.012701514954435746)	(30, 0.014480282913043818)	(32, 0.01662036311324415)	(34, 0.01892720280956399)	(36, 0.02126183575523708)	(38, 0.02406895393991544)	(40, 0.027987802098723844)	(42, 0.03229575574847776)	(44, 0.035658738920221145)	(46, 0.038938342343904774)	(48, 0.04219015251823515)	(50, 0.04544196269256553)	(52, 0.04894391211107517)	(54, 0.05289055351923682)	(56, 0.05603119069615419)	(58, 0.05967210636143008)	(60, 0.063868887013771)	(62, 0.06889946514670944)	(64, 0.07276272680681134)	(66, 0.07607012347984823)	(68, 0.07957207289835785)	(70, 0.08360209405457927)	(72, 0.08754873546274092)	(74, 0.09110627137995705)	(76, 0.09496953304005896)	(78, 0.09813796346632958)	(80, 0.10152873988742622)	(82, 0.1047805500617566)	(84, 0.10789339398932071)	(86, 0.11100623791688485)	(88, 0.11314631811708517)	(90, 0.11361880335609044)
PM2494_R2_unpaired - polyg	(1, 5.959817631815044)	(2, 6.03997336294982)	(3, 6.054537025610923)	(4, 6.0547593716057495)	(5, 6.055037304099282)	(6, 6.055315236592814)	(7, 6.056371380068238)	(8, 6.061096232458291)	(9, 6.0613185784531165)	(10, 6.061540924447943)	(12, 6.061791063692121)	(14, 6.061985616437594)	(16, 6.062180169183067)	(18, 6.062319135429833)	(20, 6.0624581016766)	(22, 6.0626804476714256)	(24, 6.062902793666252)	(26, 6.063097346411725)	(28, 6.063097346411725)	(30, 6.063236312658491)	(32, 6.06340307215461)	(34, 6.063597624900083)	(36, 6.063764384396203)	(38, 6.064125696637795)	(40, 6.064542595378094)	(42, 6.064709354874213)	(44, 6.064931700869039)	(46, 6.065042873866452)	(48, 6.065265219861278)	(50, 6.065570945604164)	(52, 6.066015637593816)	(54, 6.066237983588642)	(56, 6.066627089079588)	(58, 6.067238540565359)	(60, 6.067572059557598)	(62, 6.067988958297897)	(64, 6.0683224772901365)	(66, 6.068878342277201)	(68, 6.069072895022673)	(70, 6.0692952410175)	(72, 6.0696287600097385)	(74, 6.069767726256504)	(76, 6.070129038498097)	(78, 6.07032359124357)	(80, 6.070518143989043)	(82, 6.070740489983868)	(84, 6.071129595474814)	(86, 6.071296354970934)	(88, 6.07160208071382)	(90, 6.071713253711232)
PM2497_R1_unpaired - polyg	(1, 0.002021011689987054)	(2, 0.004241278053634803)	(3, 0.00922264489515219)	(4, 0.010902077144578052)	(5, 0.011357516398659642)	(6, 0.011556771072320338)	(7, 0.01189835051288153)	(8, 0.012154535093302424)	(9, 0.01280922902104471)	(10, 0.013833967342728286)	(12, 0.014958333001242212)	(14, 0.015755351695884993)	(16, 0.01675162506418847)	(18, 0.017847525769322296)	(20, 0.01927077343832726)	(22, 0.020893275780992926)	(24, 0.02198917648612675)	(26, 0.023198937004780974)	(28, 0.024622184673785942)	(30, 0.0264724066434924)	(32, 0.02819453632298841)	(34, 0.030044758292694866)	(36, 0.03208000245937197)	(38, 0.03418640900949932)	(40, 0.03606509593258588)	(42, 0.037673365798561495)	(44, 0.04057679104333163)	(46, 0.04359407610162216)	(48, 0.04594243475548036)	(50, 0.051080358840588286)	(52, 0.05889398854342556)	(54, 0.06492855866000663)	(56, 0.0705646194292663)	(58, 0.07497668720318171)	(60, 0.07850634142231402)	(62, 0.08220678536172693)	(64, 0.08656192322888213)	(66, 0.09205565923124132)	(68, 0.09781981229071143)	(70, 0.10512107283270691)	(72, 0.11149722238984916)	(74, 0.11625086960432576)	(76, 0.13036948648085503)	(78, 0.14890017113129972)	(80, 0.17541527520486228)	(82, 0.19122755680750747)	(84, 0.20093410591012134)	(86, 0.20348171923764025)	(88, 0.2051042215803059)	(90, 0.20657016667938102)
PM2497_R2_paired - polyg	(1, 0.7410350713889385)	(2, 0.754254683714711)	(3, 0.7550884895380109)	(4, 0.7551157777285916)	(5, 0.756361938431778)	(6, 0.7571411678739164)	(7, 0.758860323880502)	(8, 0.7598821150166912)	(9, 0.7614132857103874)	(10, 0.7630050968275962)	(12, 0.7671908020605616)	(14, 0.7687583570083654)	(16, 0.7696376431492997)	(18, 0.7708868358736618)	(20, 0.771459887875857)	(22, 0.7722269892332928)	(24, 0.7733852213223857)	(26, 0.7744312686279802)	(28, 0.7750134166937022)	(30, 0.7770842871566614)	(32, 0.779353755006625)	(34, 0.7814898139248605)	(36, 0.7852555842250002)	(38, 0.7898111960413932)	(40, 0.7937876918132396)	(42, 0.7966787240042084)	(44, 0.801745231388696)	(46, 0.8033446225588439)	(48, 0.8046165554420233)	(50, 0.8061401460827802)	(52, 0.8091297189619573)	(54, 0.8121071637564317)	(56, 0.8134958294548729)	(58, 0.8149845518521102)	(60, 0.8168962412033486)	(62, 0.8188352187451677)	(64, 0.819099004587448)	(66, 0.8195886760073132)	(68, 0.8202860408777095)	(70, 0.8225767328759024)	(72, 0.8250751183246263)	(74, 0.8261075215349304)	(76, 0.8264880401924728)	(78, 0.8269883236864526)	(80, 0.8289242692070962)	(82, 0.8318865538956923)	(84, 0.8328052563119102)	(86, 0.8338331114904507)	(88, 0.8343227829103159)	(90, 0.8344395157255778)
PM2497_R2_unpaired - polya	(1, 0.0006822029410127841)	(2, 0.0010412571204931969)	(3, 0.001077162538441238)	(4, 0.0013285004640775269)	(5, 0.0015798383897138158)	(6, 0.0016875546435579398)	(7, 0.0019029871512461873)	(8, 0.002621095510207013)	(9, 0.003231487615323714)	(10, 0.004147075772998767)	(12, 0.005044711221699798)	(14, 0.005852583125530726)	(16, 0.006911792954997944)	(18, 0.008168482583179388)	(20, 0.009299503248542689)	(22, 0.010663909130568257)	(24, 0.012405321901048257)	(26, 0.013500437148463516)	(28, 0.014757126776644963)	(30, 0.016570350383021046)	(32, 0.018634911915033418)	(34, 0.02091490595473404)	(36, 0.023212852703408678)	(38, 0.025456941325161263)	(40, 0.028706381649458997)	(42, 0.03206353822760086)	(44, 0.03540274209676869)	(46, 0.03987296663129983)	(48, 0.044073900531220664)	(50, 0.04870569944651798)	(52, 0.05260143729388046)	(54, 0.056604891395087065)	(56, 0.06105716322064418)	(58, 0.06567100942696748)	(60, 0.07112863295506976)	(62, 0.07626310772163966)	(64, 0.08136167707026151)	(66, 0.08694496956118193)	(68, 0.09303093790337494)	(70, 0.09818336537891885)	(72, 0.10360508348907309)	(74, 0.10902680159922731)	(76, 0.11428694532861536)	(78, 0.11963685260287352)	(80, 0.12478928007841744)	(82, 0.13044438340523395)	(84, 0.13539933108206365)	(86, 0.14073128564734777)	(88, 0.14507584121906075)	(90, 0.14617095646647602)
PM2497_R2_unpaired - polyg	(1, 1.9815123002985535)	(2, 1.990524560203512)	(3, 1.9946177778495886)	(4, 1.995120453700861)	(5, 1.9969157245982632)	(6, 1.9985673738238732)	(7, 2.002014293946885)	(8, 2.0040968081878714)	(9, 2.006394754936546)	(10, 2.0084234110506105)	(12, 2.0126961557864274)	(14, 2.014150325213323)	(16, 2.0151556769158683)	(18, 2.0163944138350756)	(20, 2.0170407113581406)	(22, 2.0178665359709456)	(24, 2.0188359822555424)	(26, 2.0199670029209056)	(28, 2.020846685660633)	(30, 2.0239525043131383)	(32, 2.026878795875904)	(34, 2.029033120952786)	(36, 2.03262366274759)	(38, 2.038566009417991)	(40, 2.0449212683947944)	(42, 2.049894168780598)	(44, 2.061437760650893)	(46, 2.065566883714918)	(48, 2.0694087634353586)	(50, 2.073591744626305)	(52, 2.0813473149030823)	(54, 2.0896594191580538)	(56, 2.0936269678413124)	(58, 2.0971456988002206)	(60, 2.1020108829321797)	(62, 2.1070196887359316)	(64, 2.1077916552218148)	(66, 2.1089765340141)	(68, 2.110520466985866)	(70, 2.115313840281929)	(72, 2.1220640588561612)	(74, 2.124882634165082)	(76, 2.1260136548304454)	(78, 2.1275755405111854)	(80, 2.1319021433739245)	(82, 2.1423865254147527)	(84, 2.145402580522388)	(86, 2.1487417843915555)	(88, 2.150626818833828)	(90, 2.1512013055209964)
