Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
PM2469_R1_paired	2.919509640365666	36.330997166588695
PM2469_R1_unpaired	2.9216062041176443	33.835105626317635
PM2469_R2_paired	2.3399549243393856	29.249859506345018
PM2469_R2_unpaired	1.9441379499010605	26.404074300356548
PM2486_R1_paired	2.5710036523707243	31.70177656724913
PM2486_R1_unpaired	1.6933081926648934	28.47086788523083
PM2486_R2_paired	3.2055211427555568	24.173382137744657
PM2486_R2_unpaired	4.4432175711900594	19.989357244058347
PM2494_R1_paired	1.7349160872794394	28.590628998139923
PM2494_R1_unpaired	0.9682216926851008	24.520006784221728
PM2494_R2_paired	2.8512476610448254	23.56411597986412
PM2494_R2_unpaired	5.900506837695206	20.49735463852656
PM2497_R1_paired	1.620021042226959	19.89158098680161
PM2497_R1_unpaired	0.8247720241883787	15.992464757541219
PM2497_R2_paired	1.2046796214824764	13.473471330723774
PM2497_R2_unpaired	1.9616566041732866	11.846202732761359
PM2524_R1_paired	1.9647457905775771	33.55184321403054
PM2524_R1_unpaired	1.3147830676709893	31.2185437323652
PM2524_R2_paired	2.5851790571003135	27.065695100690352
PM2524_R2_unpaired	4.284220724189586	25.66188705397903
PM2528_R1_paired	5.402821300007636	48.73813847978906
PM2528_R1_unpaired	4.80175345870949	47.44162880351423
PM2528_R2_paired	0.9732173422522394	33.00718605447284
PM2528_R2_unpaired	1.264367816091954	33.09556915090842
PM2539_R1_paired	1.4710699706214925	31.805456116296092
PM2539_R1_unpaired	1.0597103077148007	28.773722928475753
PM2539_R2_paired	4.12469439611919	25.77757834936433
PM2539_R2_unpaired	7.60002027452759	25.547914738620268
PM2577_R1_paired	0.9147670057821593	26.236899990472516
PM2577_R1_unpaired	0.9161055957917106	19.100043720185585
PM2577_R2_paired	1.1990146964568682	21.280838168920404
PM2577_R2_unpaired	1.0010926631487782	18.80170996184953
PM2601_R1_paired	0.6910632792110615	30.199498573708233
PM2601_R1_unpaired	0.6815715618717346	22.870159944121607
PM2601_R2_paired	0.701967876139518	17.17910605161731
PM2601_R2_unpaired	1.8392925185078493	16.21727181314436
PM2616_R1_paired	2.011410200785983	43.54797373192489
PM2616_R1_unpaired	1.5049594215302706	41.385448577942356
PM2616_R2_paired	8.304086979257374	33.94387610156022
PM2616_R2_unpaired	13.24069812374935	31.125442726729002
PM2622_R1_paired	1.950776663784444	41.22667222968384
PM2622_R1_unpaired	1.8068183332728212	34.615319212691574
PM2622_R2_paired	1.8364756490020986	30.201772275146364
PM2622_R2_unpaired	1.3480746413547622	28.33873368568655
PM3050_R1_paired	1.2775322745126256	20.429549385028793
PM3050_R1_unpaired	1.3531579244479341	18.47207467964015
PM3050_R2_paired	1.1912353266654592	11.96269728827101
PM3050_R2_unpaired	0.9645987084870848	10.150196033210333
PM3051_R1_paired	1.3292419545281493	26.363357246495045
PM3051_R1_unpaired	1.3156913520856148	25.398925864784125
PM3051_R2_paired	0.4330685867374061	14.7241214149995
PM3051_R2_unpaired	0.7497086806156784	14.894025261719463
PM3153_R1_paired	0.8079032322762063	19.69765929470891
PM3153_R1_unpaired	0.7767887246169816	17.422792351046912
PM3153_R2_paired	0.5543418284405058	10.849414910534957
PM3153_R2_unpaired	0.542661930403712	9.97460325429799
PM3183_R1_paired	3.302746458087939	43.83011698616823
PM3183_R1_unpaired	3.041111766295251	41.23717646978855
PM3183_R2_paired	0.7452860155317047	27.79719811863374
PM3183_R2_unpaired	1.219611057566723	27.69841198353435
Undetermined_R1_paired	1.6319706854745701	22.60933406594643
Undetermined_R1_unpaired	2.117724014499732	20.48707955168331
Undetermined_R2_paired	0.6819490258808704	11.962752999994374
Undetermined_R2_unpaired	0.6210718137528357	12.711517721001153
