Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
PM2469_R1_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)												
PM2469_R1_unpaired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)												
PM2469_R2_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)												
PM2469_R2_unpaired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)												
PM2486_R1_paired	(1, 0.0)	(2, 0.19912518225369716)	(3, 8.490800085438676e-05)	(4, 0.0004510737545389296)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 5.3067500533991725e-06)	(9, 0.0009605217596652502)	(10, 0.0)	(12, 0.0)	(14, 0.00035289887855104494)	(16, 0.0)	(18, 0.0)	(20, 1.0613500106798345e-05)	(22, 1.0613500106798345e-05)	(24, 0.0002149233771626665)	(26, 0.01623069503832137)	(28, 0.0009048008841045589)	(30, 0.00024941725250976113)	(32, 0.0)	(34, 0.0)	(36, 5.3067500533991725e-06)	(38, 0.00024411050245636194)	(40, 2.6533750266995862e-06)	(42, 0.00016450925165537435)	(44, 0.0002149233771626665)	(46, 5.837425058739089e-05)	(48, 0.0009631751346919498)	(50, 3.187229663164007e-05)	(52, 0.04786039955752068)	(54, 0.0)	(56, 0.0)	(58, 1.3506397102391592e-05)	(60, 0.0)	(62, 2.7312938871130018e-06)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 2.817674403690635e-06)	(72, 0.0)	(74, 2.889928351162361e-06)	(76, 0.0)	(78, 2.7019433998097473e-05)	(80, 0.00047550386613786955)	(82, 0.4810718933456677)	(84, 0.00012565562028108774)	(86, 0.0)	(88, 1.3598616041648208e-05)	(90, 0.00010186220263876495)	(92, 0.0002868916621184654)	(94, 1.8770434433445972e-05)	(96, 1.166515680653734e-05)	(98, 3.283303719301828e-05)	(100, 0.0)
PM2486_R1_unpaired	(1, 0.0)	(2, 0.2978410955321053)	(3, 0.0)	(4, 0.00045217029568111284)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.001182599234858295)	(10, 0.0)	(12, 0.0)	(14, 0.00022608514784055642)	(16, 0.0)	(18, 0.0)	(20, 1.7391165218504337e-05)	(22, 0.00039999680002559976)	(24, 0.00029564980871457376)	(26, 0.012921635757348723)	(28, 0.0021738956523130425)	(30, 0.0008695582609252169)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0017217253566319296)	(40, 3.4782330437008675e-05)	(42, 0.0012521638957323125)	(44, 0.0003130409739330781)	(46, 0.00015652048696653906)	(48, 0.001999984000127999)	(50, 0.0003141506544368981)	(52, 0.04446991874551297)	(54, 0.0)	(56, 9.082429404546846e-05)	(58, 0.0001289867263445254)	(60, 0.0)	(62, 5.709284381167811e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 4.1578295464514794e-05)	(72, 4.271655960828915e-05)	(74, 4.43012627631938e-05)	(76, 0.0)	(78, 0.0001182448770998221)	(80, 0.0026931765823686223)	(82, 0.45058712565437187)	(84, 0.0006180963148582628)	(86, 0.0)	(88, 0.00016495924681807358)	(90, 0.0015664222858031444)	(92, 0.00041141863021105775)	(94, 2.9889513413666383e-05)	(96, 3.0420416236471278e-05)	(98, 0.00018973501923438756)	(100, 0.0)
PM2486_R2_paired	(1, 0.0)	(2, 0.13960467365477203)	(3, 7.960125080098759e-05)	(4, 1.0613500106798345e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 1.5920250160197516e-05)	(9, 0.001109110761160427)	(10, 0.0006819173818617937)	(12, 2.122700021359669e-05)	(14, 3.9800625400493794e-05)	(16, 4.245400042719338e-05)	(18, 4.776075048059255e-05)	(20, 0.0003475921284976458)	(22, 0.0005121013801530201)	(24, 0.0012391261374687069)	(26, 0.5322696837309636)	(28, 3.184050032039503e-05)	(30, 0.0)	(32, 4.5107375453892965e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 3.9800625400493794e-05)	(42, 0.0002600307526165594)	(44, 0.0)	(46, 7.960125080098758e-06)	(48, 0.000461687254645728)	(50, 0.0)	(52, 5.3304422436055285e-06)	(54, 0.00044661679089254763)	(56, 0.00024149851438163905)	(58, 0.0)	(60, 2.705744544596677e-06)	(62, 4.6237265713054794e-05)	(64, 0.00024344590956028225)	(66, 8.257933127973219e-06)	(68, 5.821302963946896e-05)	(70, 0.04880890059531754)	(72, 0.0003419979889952961)	(74, 0.0002146635343726979)	(76, 1.1643041238051148e-05)	(78, 0.0)	(80, 6.057804968302687e-06)	(82, 3.404165243751384e-05)	(84, 0.0)	(86, 1.2993464157594087e-05)	(88, 4.336198982701034e-05)	(90, 0.0)	(92, 3.559265037396486e-06)	(94, 3.6777665953241246e-05)	(96, 1.5237157790101675e-05)	(98, 0.0001005066378804935)	(100, 1.075007521021369e-05)
PM2486_R2_unpaired	(1, 0.0)	(2, 0.6122910527681144)	(3, 0.0003991033478119159)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0029267578839540496)	(10, 0.0007649480833061722)	(12, 6.651722463531931e-05)	(14, 0.0)	(16, 3.3258612317659656e-05)	(18, 0.0003991033478119159)	(20, 0.0014633789419770248)	(22, 0.0034256370687189446)	(24, 0.004356878213613415)	(26, 0.42737316828192656)	(28, 0.0001662930615882983)	(30, 0.0)	(32, 0.00023281028622361758)	(34, 0.0)	(36, 0.0)	(38, 3.3258612317659656e-05)	(40, 0.00019955167390595796)	(42, 0.001263827268071067)	(44, 3.3258612317659656e-05)	(46, 6.651722463531931e-05)	(48, 0.0003658447354942562)	(50, 0.0)	(52, 3.3768416872457025e-05)	(54, 0.001981276256180386)	(56, 0.0008290424628640792)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.000507124372976936)	(66, 0.00011009150071596172)	(68, 0.0006693572348406391)	(70, 0.04653576516988574)	(72, 0.002148137066488678)	(74, 0.0012887735328094402)	(76, 0.00011975718034114031)	(78, 0.0)	(80, 4.2089065513314035e-05)	(82, 0.00043295684848978155)	(84, 0.0)	(86, 4.6035238133381573e-05)	(88, 0.000714164986395157)	(90, 0.0)	(92, 0.00010287758904312527)	(94, 0.00021317132312775622)	(96, 0.00011067952246213238)	(98, 0.000469525175059527)	(100, 0.0)
PM2494_R1_paired	(1, 0.0)	(2, 0.1533507585274771)	(3, 0.00019597846454792598)	(4, 0.0005018960677446885)	(5, 0.0001768586143481283)	(6, 0.0011471910119878594)	(7, 0.0)	(8, 4.779962549949414e-06)	(9, 0.0004923361426447897)	(10, 0.04687231276480395)	(12, 0.0)	(14, 0.00019836844582290066)	(16, 0.00048277621754489077)	(18, 0.07487094340113264)	(20, 0.0003943469103708266)	(22, 0.04515630620937211)	(24, 0.0012093305251372017)	(26, 0.0643860955478186)	(28, 0.002050603933928298)	(30, 0.0014005290271351782)	(32, 0.071907366620164)	(34, 0.0)	(36, 2.389981274974707e-06)	(38, 0.0001410088952235077)	(40, 2.389981274974707e-06)	(42, 7.169943824924121e-05)	(44, 0.0001410088952235077)	(46, 0.0002844077717219901)	(48, 0.02357955525890046)	(50, 0.05111341815105339)	(52, 0.06847803894926563)	(54, 0.025245175056978666)	(56, 8.095667632905042e-05)	(58, 1.9825472892668086e-05)	(60, 0.001058405737983684)	(62, 0.049699857823106555)	(64, 7.224135672157577e-05)	(66, 0.0)	(68, 2.661121952965468e-06)	(70, 2.438896034252073e-05)	(72, 0.028520331650397985)	(74, 0.09852793636454511)	(76, 0.0)	(78, 1.4965412985087775e-05)	(80, 0.00024678271685622507)	(82, 0.24633572779983245)	(84, 0.023856888977333155)	(86, 3.4078631876518397e-06)	(88, 9.887139363501985e-05)	(90, 0.06933041094022054)	(92, 0.0001488605071700381)	(94, 0.00014646670451577435)	(96, 0.04898736126079472)	(98, 3.462433933514517e-05)	(100, 0.0)
PM2494_R1_unpaired	(1, 0.0)	(2, 0.20004197941375285)	(3, 0.00019056802611544228)	(4, 0.0004900320671539946)	(5, 0.00016334402238466481)	(6, 0.0021506962947314204)	(7, 0.0)	(8, 0.0)	(9, 0.0004900320671539946)	(10, 0.03672518103281881)	(12, 0.0)	(14, 0.00017695602425005358)	(16, 0.0008031081100579353)	(18, 0.06261520858078817)	(20, 0.0011161841529618763)	(22, 0.047015854443052695)	(24, 0.0020826362854044767)	(26, 0.05587726765742076)	(28, 0.002205144302192975)	(30, 0.003062700419712465)	(32, 0.061199560386787755)	(34, 0.0)	(36, 0.0)	(38, 0.0006125400839424931)	(40, 4.0836005596166204e-05)	(42, 0.00038113605223088457)	(44, 0.00039474805409627335)	(46, 0.0008847801212502678)	(48, 0.03488756078099133)	(50, 0.04294893602591212)	(52, 0.05547430460836254)	(54, 0.021926398406341772)	(56, 0.00037496427023155776)	(58, 0.00013256451804622877)	(60, 0.0022496912713941488)	(62, 0.043292751359126955)	(64, 0.000479057597893424)	(66, 0.0)	(68, 3.401900335546439e-05)	(70, 0.0001237485267295934)	(72, 0.02918333517189575)	(74, 0.08613096393521937)	(76, 0.0)	(78, 0.00010630792984867279)	(80, 0.0012535509028535436)	(82, 0.23449254195159352)	(84, 0.022243253452861968)	(86, 0.0)	(88, 0.0002316092001350539)	(90, 0.06746090821427086)	(92, 0.00016686119901451776)	(94, 0.0007358909885053827)	(96, 0.04710128331551551)	(98, 5.983489756714298e-05)	(100, 0.0)
