Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
PM2469_R1_paired	(1, 33.71491593918905)	(2, 33.82477719618799)	(3, 33.88844472788365)	(4, 33.89926090039515)	(5, 33.95105451153813)	(6, 37.68480653067469)	(7, 37.645523107160614)	(8, 37.60145002692182)	(9, 37.57411040300347)	(10, 37.575797062432144)	(12, 37.49871955848214)	(14, 37.52869546124582)	(16, 37.522502523001236)	(18, 37.49407462493343)	(20, 37.4795493463735)	(22, 37.47468521330026)	(24, 37.448370972392624)	(26, 37.42698118120592)	(28, 37.37154595245871)	(30, 37.36661929603116)	(32, 37.337378042680655)	(34, 37.35040551912037)	(36, 37.30968534570266)	(38, 37.26882339138443)	(40, 37.25189041200684)	(42, 37.199049718571345)	(44, 37.1371782621744)	(46, 37.14815478870048)	(48, 37.13897488914977)	(50, 37.07934652368103)	(52, 36.98098038381068)	(54, 37.020899068385425)	(56, 36.990019525953514)	(58, 36.975620170073945)	(60, 36.920187410363255)	(62, 36.8751522145864)	(64, 36.81695700331021)	(66, 36.83854181373207)	(68, 36.788891028708235)	(70, 36.794363491459215)	(72, 36.74628733159191)	(74, 36.86003216119385)	(76, 36.20275441503142)												
PM2469_R1_unpaired	(1, 33.44853903706391)	(2, 33.379155085359365)	(3, 33.50126188965378)	(4, 33.555444026922444)	(5, 33.58416460347575)	(6, 36.77327702913295)	(7, 36.69300038839669)	(8, 36.47747059453464)	(9, 36.42881871464671)	(10, 36.43733946669778)	(12, 36.25822146283299)	(14, 36.30679022902618)	(16, 36.2488192261156)	(18, 36.20546344675689)	(20, 36.179995492680405)	(22, 36.17848745862297)	(24, 36.13404960289236)	(26, 36.05657485267298)	(28, 35.930712747882595)	(30, 35.93510338864124)	(32, 35.88039539741932)	(34, 35.90492832242999)	(36, 35.7883038253078)	(38, 35.710238488353696)	(40, 35.70968626178576)	(42, 35.583787395168855)	(44, 35.455946545107565)	(46, 35.52566534910149)	(48, 35.48642130012195)	(50, 35.33403594752255)	(52, 35.21320689180946)	(54, 35.28412554114641)	(56, 35.30397897480225)	(58, 35.28475393725459)	(60, 35.25868968584447)	(62, 35.18236294752284)	(64, 35.13642021942041)	(66, 35.23943538153506)	(68, 35.1745787261802)	(70, 35.23174711951304)	(72, 35.18453142088232)	(74, 35.50427402548161)	(76, 35.21654509268145)												
PM2469_R2_paired	(1, 33.835123707973274)	(2, 33.77118622250076)	(3, 33.81223795358854)	(4, 33.8201552491666)	(5, 33.82037297755338)	(6, 37.42861561524452)	(7, 37.37641008553195)	(8, 37.33919030049459)	(9, 37.40914694606515)	(10, 37.317532026668786)	(12, 37.29622480308821)	(14, 37.31759252720869)	(16, 37.312235562989706)	(18, 37.312345530536405)	(20, 37.234590751545426)	(22, 37.18825395809611)	(24, 37.188450354985534)	(26, 37.185593221585705)	(28, 37.09798880758401)	(30, 37.15662651931751)	(32, 37.11686093040636)	(34, 37.160150629794074)	(36, 37.0112016106016)	(38, 37.06390548822648)	(40, 36.95970259479276)	(42, 36.906470762608386)	(44, 36.81355940307115)	(46, 36.87506086832435)	(48, 36.69608206594816)	(50, 36.7291960346248)	(52, 36.69121198012846)	(54, 36.65021815638041)	(56, 36.65302513877829)	(58, 36.625813257777025)	(60, 36.509954457009144)	(62, 36.497837050246005)	(64, 36.385316470196756)	(66, 36.401833602972815)	(68, 36.405697312741125)	(70, 36.38993949645635)	(72, 36.21183008138103)	(74, 36.35319718492502)	(76, 35.55325292341645)												
PM2469_R2_unpaired	(1, 33.32918121882494)	(2, 33.096235740404694)	(3, 33.21757566362401)	(4, 33.25602071801793)	(5, 33.278184073023716)	(6, 36.14531336914)	(7, 36.030580049788895)	(8, 35.947972424609944)	(9, 36.10442902346279)	(10, 35.95822200742274)	(12, 35.88052032134813)	(14, 35.93999799385389)	(16, 35.95437385444498)	(18, 35.950311408588135)	(20, 35.81278553386284)	(22, 35.72172701822858)	(24, 35.72686776761533)	(26, 35.7367047226503)	(28, 35.577368848198574)	(30, 35.71597986558821)	(32, 35.638930176996794)	(34, 35.74217375049014)	(36, 35.449839508311825)	(38, 35.58367680986294)	(40, 35.419393961500234)	(42, 35.34947749012885)	(44, 35.180988574086065)	(46, 35.335578089237025)	(48, 34.99653711826231)	(50, 35.03442833758619)	(52, 34.979256995652364)	(54, 34.949828637489226)	(56, 34.99830815081297)	(58, 35.01683480350327)	(60, 34.8173880993514)	(62, 34.91509277011828)	(64, 34.749586709752265)	(66, 34.86239188679244)	(68, 34.82046139261212)	(70, 34.89225169130431)	(72, 34.63902449643963)	(74, 34.9753743787511)	(76, 34.65346658786022)												
PM2486_R1_paired	(1, 38.24414160001167)	(2, 38.82642931342595)	(3, 39.16652035072311)	(4, 39.17711994714477)	(5, 39.09155443995876)	(6, 39.25025704570571)	(7, 39.20348271392505)	(8, 39.45542544878522)	(9, 39.4504547221452)	(10, 39.46377084391919)	(12, 39.54625026367914)	(14, 39.563710267367334)	(16, 39.69173311823306)	(18, 39.69196109621536)	(20, 39.73414604441484)	(22, 39.71332225107031)	(24, 39.725002779410346)	(26, 39.65231633006393)	(28, 39.65628885701891)	(30, 39.65455169238893)	(32, 39.66206084984949)	(34, 39.67382623312288)	(36, 39.66991813011355)	(38, 39.65303948089371)	(40, 39.66825642746933)	(42, 39.668251279921776)	(44, 39.63172815642176)	(46, 39.648162471459635)	(48, 39.603517367002894)	(50, 39.63102645182625)	(52, 39.601013662221675)	(54, 39.60974524025386)	(56, 39.6204167251759)	(58, 39.61631847177354)	(60, 39.63471165699332)	(62, 39.61709028175351)	(64, 39.60483117308314)	(66, 39.621588810646074)	(68, 39.573549864572804)	(70, 39.560008227935704)	(72, 39.57907873464163)	(74, 39.537594105509086)	(76, 39.58463311617538)	(78, 39.54609355624945)	(80, 39.54620308169718)	(82, 39.35644519065612)	(84, 39.52168101515512)	(86, 39.54502565233899)	(88, 39.50942314826534)	(90, 39.52032797843953)	(92, 39.53319290587713)	(94, 39.53155950700351)	(96, 39.55346752120492)	(98, 39.52000361183558)	(100, 39.858812681008864)
PM2486_R1_unpaired	(1, 37.57866006637164)	(2, 37.944826876167596)	(3, 38.483064657221874)	(4, 38.431494287176136)	(5, 38.31037177789534)	(6, 38.54265096314012)	(7, 38.50854062732716)	(8, 38.89095704625667)	(9, 38.83102152574084)	(10, 38.842128915142595)	(12, 38.99423135049702)	(14, 39.01563326623822)	(16, 39.16706753302495)	(18, 39.186265292486354)	(20, 39.26216694614269)	(22, 39.24492186671202)	(24, 39.26641108610262)	(26, 39.085286969878155)	(28, 39.09898981677712)	(30, 39.096154709023196)	(32, 39.11473056041639)	(34, 39.11565159652636)	(36, 39.10679462390388)	(38, 39.086325570265004)	(40, 39.112292319052756)	(42, 39.12251623726141)	(44, 39.056785980494766)	(46, 39.085666792926524)	(48, 39.01276302833055)	(50, 39.06516465797587)	(52, 39.05476011778368)	(54, 39.07855960434949)	(56, 39.09943185609653)	(58, 39.11845652719279)	(60, 39.14515140174717)	(62, 39.13490909317382)	(64, 39.12593287031906)	(66, 39.14598021853112)	(68, 39.117807740956174)	(70, 39.12282421868656)	(72, 39.13784652969854)	(74, 39.118850942066246)	(76, 39.14407081942263)	(78, 39.11616470682793)	(80, 39.12462725518901)	(82, 38.94333862985498)	(84, 39.13118202912129)	(86, 39.122617173531225)	(88, 39.103184276961954)	(90, 39.11790413098484)	(92, 39.13853606361501)	(94, 39.140534943230286)	(96, 39.19848204150668)	(98, 39.19024054790357)	(100, 39.751962989568625)
PM2486_R2_paired	(1, 39.179508515343805)	(2, 39.48796898735269)	(3, 39.65278136057111)	(4, 39.651358620881794)	(5, 39.6709861666293)	(6, 39.65893050412799)	(7, 39.66988427304821)	(8, 39.67828581359775)	(9, 39.73288738943718)	(10, 39.738181350222945)	(12, 39.74897798627409)	(14, 39.7491679148585)	(16, 39.69380816363895)	(18, 39.725566515468515)	(20, 39.724843152368734)	(22, 39.72408216441107)	(24, 39.724308656503354)	(26, 39.44084839013104)	(28, 39.70761547819788)	(30, 39.70559710888257)	(32, 39.70360628160004)	(34, 39.70467256688827)	(36, 39.68235821358873)	(38, 39.69423779812327)	(40, 39.69874742125114)	(42, 39.68340597831927)	(44, 39.700012391261374)	(46, 39.68076549869521)	(48, 39.669879603108164)	(50, 39.68358893935209)	(52, 39.67682314425173)	(54, 39.66288430711408)	(56, 39.66168167079864)	(58, 39.66437573387686)	(60, 39.69273590279467)	(62, 39.67998524136178)	(64, 39.681736660285345)	(66, 39.637362689696815)	(68, 39.68917753805259)	(70, 39.676445447191824)	(72, 39.66425778140297)	(74, 39.664164143278306)	(76, 39.66343194622085)	(78, 39.65360474555833)	(80, 39.65490206721911)	(82, 39.64533866035608)	(84, 39.67398818654988)	(86, 39.650291508546786)	(88, 39.68334522415633)	(90, 39.67087540882153)	(92, 39.65937659723669)	(94, 39.67512048493124)	(96, 39.65916205679892)	(98, 39.67068009937205)	(100, 39.88422456596823)
PM2486_R2_unpaired	(1, 37.32448565556051)	(2, 37.55424014048438)	(3, 38.23784164909503)	(4, 38.20336178053307)	(5, 38.25398404916953)	(6, 38.26284414349096)	(7, 38.33057198161464)	(8, 38.46295988346182)	(9, 38.54501021039398)	(10, 38.59358441368393)	(12, 38.64854294019436)	(14, 38.636168075723205)	(16, 38.59710716590061)	(18, 38.706463478717815)	(20, 38.71449875945376)	(22, 38.6994332732461)	(24, 38.73625853914871)	(26, 38.27908631940241)	(28, 38.57768812734058)	(30, 38.57288491854966)	(32, 38.58233768134258)	(34, 38.593851147754705)	(36, 38.57434031542468)	(38, 38.59137072044806)	(40, 38.59715306278561)	(42, 38.58690941019177)	(44, 38.62722217418201)	(46, 38.59484092405728)	(48, 38.52619581340588)	(50, 38.59867944231212)	(52, 38.588098192151946)	(54, 38.575202878637484)	(56, 38.545556928939476)	(58, 38.58612585245542)	(60, 38.65419664913075)	(62, 38.63217268520508)	(64, 38.6413834579202)	(66, 38.59731719897287)	(68, 38.693130684006675)	(70, 38.69990545829404)	(72, 38.63640595537552)	(74, 38.66981411007019)	(76, 38.68031781217326)	(78, 38.67155343635208)	(80, 38.67270990181164)	(82, 38.66418860116859)	(84, 38.70466380303958)	(86, 38.695619287815376)	(88, 38.75514575687373)	(90, 38.75776092178891)	(92, 38.757721797239185)	(94, 38.78769433504371)	(96, 38.7759486204164)	(98, 38.90010726881878)	(100, 39.635887668045676)
PM2494_R1_paired	(1, 38.1787700257726)	(2, 38.82893766383919)	(3, 39.10435289201596)	(4, 39.15844887538475)	(5, 39.08272566466096)	(6, 39.245978306809164)	(7, 39.201327911836074)	(8, 39.45788714374581)	(9, 39.442664875009235)	(10, 39.4450583934565)	(12, 39.5475636387484)	(14, 39.57107144676943)	(16, 39.688619568803404)	(18, 39.65647532444713)	(20, 39.72278889209359)	(22, 39.686452238184)	(24, 39.7067916480288)	(26, 39.615651624092656)	(28, 39.64205594602008)	(30, 39.63232241268037)	(32, 39.60906803827373)	(34, 39.64846511100555)	(36, 39.647499032774576)	(38, 39.61733010794207)	(40, 39.62530327667389)	(42, 39.64218471821117)	(44, 39.605444539863115)	(46, 39.62008470476036)	(48, 39.59379906930305)	(50, 39.595406822946025)	(52, 39.57969567218379)	(54, 39.57708667346857)	(56, 39.59588875644377)	(58, 39.597454127541965)	(60, 39.61352645209661)	(62, 39.58736171152435)	(64, 39.598702024375484)	(66, 39.60862468624427)	(68, 39.58217345964639)	(70, 39.593151102503185)	(72, 39.578495511100286)	(74, 39.54096030276757)	(76, 39.591150472258306)	(78, 39.573490173205286)	(80, 39.56662251100163)	(82, 39.45558713118042)	(84, 39.560227739860125)	(86, 39.5769802257294)	(88, 39.54847649583884)	(90, 39.52994478510526)	(92, 39.54450693115527)	(94, 39.55603066627311)	(96, 39.53576763321425)	(98, 39.56774940917186)	(100, 39.861245311167885)
PM2494_R1_unpaired	(1, 37.57077383413885)	(2, 38.04220537298382)	(3, 38.47341344631658)	(4, 38.485148625364765)	(5, 38.38062696336112)	(6, 38.601900943284505)	(7, 38.57619440552168)	(8, 38.95588540763454)	(9, 38.893589264377475)	(10, 38.886770740403065)	(12, 39.05506136426561)	(14, 39.08646615824932)	(16, 39.22501401355592)	(18, 39.21480256199654)	(20, 39.30215731172764)	(22, 39.257163656281705)	(24, 39.288740505969)	(26, 39.1012302799526)	(28, 39.14137670153426)	(30, 39.12716767726705)	(32, 39.11230582139039)	(34, 39.13031831121882)	(36, 39.122274162596455)	(38, 39.092281749926286)	(40, 39.11005684644219)	(42, 39.12793457745215)	(44, 39.06827290103612)	(46, 39.09359993618693)	(48, 39.055385057669966)	(50, 39.081817655482965)	(52, 39.08218878374388)	(54, 39.09441445926719)	(56, 39.12046836325089)	(58, 39.139000372727764)	(60, 39.16193553335091)	(62, 39.15119369199505)	(64, 39.16186411674617)	(66, 39.17832913159641)	(68, 39.1643541615927)	(70, 39.18517966892246)	(72, 39.173653158504834)	(74, 39.14494359775646)	(76, 39.17924929763876)	(78, 39.16170931770097)	(80, 39.173066299413975)	(82, 39.04859320947425)	(84, 39.17459644527611)	(86, 39.17768620780615)	(88, 39.15626572634536)	(90, 39.153977098802045)	(92, 39.16992490211748)	(94, 39.19610186561949)	(96, 39.20805715122465)	(98, 39.2600206951232)	(100, 39.767961822918856)
