Sample	0	1	2	3	4	5	6	7	8	9	10	11
PM2469_R1_paired	(31.0, 61.0)	(32.0, 1341.0)	(33.0, 13675.0)	(34.0, 75768.0)	(35.0, 261435.0)	(36.0, 684801.0)	(37.0, 1681903.0)					
PM2469_R1_unpaired	(30.0, 19.0)	(31.0, 581.0)	(32.0, 8225.0)	(33.0, 48378.0)	(34.0, 136709.0)	(35.0, 202365.0)	(36.0, 163677.0)	(37.0, 65695.0)				
PM2469_R2_paired	(30.0, 8.0)	(31.0, 334.0)	(32.0, 4916.0)	(33.0, 37125.0)	(34.0, 153368.0)	(35.0, 398855.0)	(36.0, 816270.0)	(37.0, 1308108.0)				
PM2469_R2_unpaired	(29.0, 1.0)	(30.0, 13.0)	(31.0, 504.0)	(32.0, 5668.0)	(33.0, 26593.0)	(34.0, 59924.0)	(35.0, 69148.0)	(36.0, 42529.0)	(37.0, 14946.0)			
PM2486_R1_paired	(30.0, 1.0)	(31.0, 50.0)	(32.0, 659.0)	(33.0, 4624.0)	(34.0, 22350.0)	(35.0, 84851.0)	(36.0, 286075.0)	(37.0, 695209.0)	(38.0, 1692504.0)	(39.0, 8124268.0)	(40.0, 7933334.0)	
PM2486_R1_unpaired	(30.0, 5.0)	(31.0, 144.0)	(32.0, 1304.0)	(33.0, 7349.0)	(34.0, 28325.0)	(35.0, 77239.0)	(36.0, 174298.0)	(37.0, 276779.0)	(38.0, 430828.0)	(39.0, 1085734.0)	(40.0, 793018.0)	
PM2486_R2_paired	(30.0, 3.0)	(31.0, 32.0)	(32.0, 369.0)	(33.0, 2148.0)	(34.0, 11122.0)	(35.0, 43376.0)	(36.0, 155912.0)	(37.0, 428801.0)	(38.0, 1318891.0)	(39.0, 6901629.0)	(40.0, 9981642.0)	
PM2486_R2_unpaired	(29.0, 1.0)	(30.0, 5.0)	(31.0, 70.0)	(32.0, 758.0)	(33.0, 4306.0)	(34.0, 17972.0)	(35.0, 54961.0)	(36.0, 140402.0)	(37.0, 237391.0)	(38.0, 354929.0)	(39.0, 497665.0)	(40.0, 194910.0)
PM2494_R1_paired	(30.0, 3.0)	(31.0, 73.0)	(32.0, 744.0)	(33.0, 5453.0)	(34.0, 26445.0)	(35.0, 98928.0)	(36.0, 327738.0)	(37.0, 784092.0)	(38.0, 1878894.0)	(39.0, 9126771.0)	(40.0, 8671525.0)	
PM2494_R1_unpaired	(30.0, 8.0)	(31.0, 166.0)	(32.0, 1608.0)	(33.0, 8889.0)	(34.0, 34416.0)	(35.0, 93386.0)	(36.0, 210074.0)	(37.0, 338977.0)	(38.0, 535798.0)	(39.0, 1395426.0)	(40.0, 1054481.0)	
