Sample	Unique Reads	Duplicate Reads
PM2469_R1_paired	263961.0	2455023.0
PM2469_R1_unpaired	88395.0	537254.0
PM2469_R2_paired	261622.0	2457362.0
PM2469_R2_unpaired	42019.0	177307.0
PM2486_R1_paired	4832073.0	14011852.0
PM2486_R1_unpaired	893961.0	1981062.0
PM2486_R2_paired	4966256.0	13877669.0
PM2486_R2_unpaired	508995.0	994375.0
PM2494_R1_paired	4109529.0	16811137.0
PM2494_R1_unpaired	871674.0	2801555.0
PM2494_R2_paired	4062905.0	16857761.0
PM2494_R2_unpaired	450931.0	1348067.0
PM2497_R1_paired	6572522.0	26408778.0
PM2497_R1_unpaired	770455.0	2742637.0
PM2497_R2_paired	6755484.0	26225816.0
PM2497_R2_unpaired	730674.0	2054421.0
PM2524_R1_paired	6204862.0	26348357.0
PM2524_R1_unpaired	1039318.0	3613769.0
PM2524_R2_paired	6312902.0	26240317.0
PM2524_R2_unpaired	678983.0	2189520.0
PM2528_R1_paired	104459.0	2632648.0
PM2528_R1_unpaired	47650.0	608881.0
PM2528_R2_paired	124853.0	2612254.0
PM2528_R2_unpaired	25907.0	189853.0
PM2539_R1_paired	3301267.0	17914923.0
PM2539_R1_unpaired	874694.0	4125163.0
PM2539_R2_paired	3212987.0	18003203.0
PM2539_R2_unpaired	395720.0	1892866.0
PM2577_R1_paired	8262518.0	72535324.0
PM2577_R1_unpaired	916204.0	5970775.0
PM2577_R2_paired	8469911.0	72327931.0
PM2577_R2_unpaired	917081.0	5067380.0
PM2601_R1_paired	1343796.0	33219609.0
PM2601_R1_unpaired	245830.0	3095712.0
PM2601_R2_paired	1347512.0	33215893.0
PM2601_R2_unpaired	237096.0	2699631.0
PM2616_R1_paired	2014817.0	13448364.0
PM2616_R1_unpaired	695564.0	3900839.0
PM2616_R2_paired	1875046.0	13588135.0
PM2616_R2_unpaired	233472.0	1391684.0
PM2622_R1_paired	1924763.0	29252563.0
PM2622_R1_unpaired	227572.0	1948297.0
PM2622_R2_paired	1918818.0	29258508.0
PM2622_R2_unpaired	248760.0	2068990.0
PM3050_R1_paired	867056.0	3163214.0
PM3050_R1_unpaired	201081.0	578355.0
PM3050_R2_paired	868493.0	3161777.0
PM3050_R2_unpaired	100422.0	246458.0
PM3051_R1_paired	268629.0	2581266.0
PM3051_R1_unpaired	92849.0	591050.0
PM3051_R2_paired	275846.0	2574049.0
PM3051_R2_unpaired	39006.0	174677.0
PM3153_R1_paired	420298.0	2745799.0
PM3153_R1_unpaired	131410.0	621948.0
PM3153_R2_paired	418346.0	2747751.0
PM3153_R2_unpaired	52313.0	186694.0
PM3183_R1_paired	109683.0	2468656.0
PM3183_R1_unpaired	49273.0	539196.0
PM3183_R2_paired	125362.0	2452977.0
PM3183_R2_unpaired	27357.0	194681.0
Undetermined_R1_paired	158674.0	907828.0
Undetermined_R1_unpaired	67461.0	262752.0
Undetermined_R2_paired	158109.0	908393.0
Undetermined_R2_unpaired	25001.0	55666.0
