Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PM2469_R1_paired	(1.0, 8.246420021688946)	(2.0, 1.012087197411932)	(3.0, 0.60096182286005)	(4.0, 0.4544691636408511)	(5.0, 0.37865032923884884)	(6.0, 0.3178052921444538)	(7.0, 0.2841863208921466)	(8.0, 0.265552655752264)	(9.0, 0.24965476769482778)	('>10', 5.555739739834738)	('>50', 4.189779111907971)	('>100', 15.10862304137904)	('>500', 8.524710711749119)	('>1k', 25.758349991194983)	('>5k', 11.71273166251056)	('>10k+', 17.340278170099257)
PM2469_R1_unpaired	(1.0, 11.2411272135015)	(2.0, 1.9288770540670568)	(3.0, 1.1973167063321446)	(4.0, 0.9347093977613645)	(5.0, 0.7887809298824102)	(6.0, 0.7067860733414423)	(7.0, 0.679134786437763)	(8.0, 0.5434356963728864)	(9.0, 0.5394398456642622)	('>10', 11.962458183422333)	('>50', 7.0704180778679415)	('>100', 22.177610768977495)	('>500', 11.546729875697077)	('>1k', 20.191353298734594)	('>5k', 5.570215887822086)	('>10k+', 2.9216062041176443)
PM2469_R2_paired	(1.0, 8.303030883150756)	(2.0, 0.8769900874958013)	(3.0, 0.4914235735606491)	(4.0, 0.366926041679027)	(5.0, 0.3182916433059463)	(6.0, 0.2747037520094997)	(7.0, 0.24993546126423255)	(8.0, 0.2218019246144527)	(9.0, 0.21498464680424328)	('>10', 5.547249118533003)	('>50', 4.584513118850533)	('>100', 19.458584518687047)	('>500', 9.674439239560943)	('>1k', 27.035548763704593)	('>5k', 10.25556486027565)	('>10k+', 12.126012366503621)
PM2469_R2_unpaired	(1.0, 14.821772156515872)	(2.0, 2.452969552173477)	(3.0, 1.7412436282064143)	(4.0, 1.4480727319150488)	(5.0, 1.25840073680275)	(6.0, 1.18453808485998)	(7.0, 1.0436519154135853)	(8.0, 1.057786126587819)	(9.0, 1.0751119338336539)	('>10', 21.29569681661089)	('>50', 10.784403125940381)	('>100', 25.773050162771398)	('>500', 7.919717680530352)	('>1k', 8.143585347838378)	('>5k', 0.0)	('>10k+', 0.0)
PM2486_R1_paired	(1.0, 23.05583338614777)	(2.0, 3.0074566325021013)	(3.0, 1.208388265361863)	(4.0, 0.7700974275970616)	(5.0, 0.525371381007317)	(6.0, 0.3996536596301435)	(7.0, 0.32228461984149914)	(8.0, 0.26738853985051364)	(9.0, 0.2101524974073792)	('>10', 3.149588146738357)	('>50', 1.3890552649648396)	('>100', 4.43675335277292)	('>500', 2.583449857421668)	('>1k', 9.707506295305839)	('>5k', 7.709588901842274)	('>10k+', 41.2574317716085)
PM2486_R1_unpaired	(1.0, 28.57985342137711)	(2.0, 2.613866810881446)	(3.0, 1.1075055992381093)	(4.0, 0.732545582419753)	(5.0, 0.5278743314053722)	(6.0, 0.442494813345229)	(7.0, 0.38492497056844793)	(8.0, 0.3323826974151166)	(9.0, 0.2871468340803762)	('>10', 5.120093077803995)	('>50', 2.6552085612216483)	('>100', 8.706922853727974)	('>500', 6.3804127252235565)	('>1k', 19.878146261532734)	('>5k', 7.715739914084708)	('>10k+', 14.53488154567443)
PM2486_R2_paired	(1.0, 24.105452893837708)	(2.0, 2.71362951160268)	(3.0, 1.0097750664073617)	(4.0, 0.5917709592780083)	(5.0, 0.413978147227009)	(6.0, 0.3040803094365753)	(7.0, 0.25710736487519775)	(8.0, 0.22337643037516064)	(9.0, 0.19356072237628202)	('>10', 2.6630533303501527)	('>50', 1.3217991803049094)	('>100', 4.592828997771976)	('>500', 3.347354702750117)	('>1k', 14.412263585684403)	('>5k', 8.618420077527352)	('>10k+', 35.23154872019513)
PM2486_R2_unpaired	(1.0, 31.612001632357938)	(2.0, 2.072405442561733)	(3.0, 0.9568487786285783)	(4.0, 0.6762311610802533)	(5.0, 0.5111834339422886)	(6.0, 0.4517871810955525)	(7.0, 0.3550683645628197)	(8.0, 0.33443144931896984)	(9.0, 0.2966743932988128)	('>10', 5.836205685151336)	('>50', 3.822375292748675)	('>100', 15.135977282437096)	('>500', 8.805283682677008)	('>1k', 15.070200526683092)	('>5k', 4.739957676132139)	('>10k+', 9.3233680173237)
PM2494_R1_paired	(1.0, 17.5781675374037)	(2.0, 2.3431779451250216)	(3.0, 0.9197445179798499)	(4.0, 0.5684005652591911)	(5.0, 0.403776641890995)	(6.0, 0.33514505600368383)	(7.0, 0.2596207387521038)	(8.0, 0.2112501669452726)	(9.0, 0.19836400969549714)	('>10', 3.1987315470073154)	('>50', 1.6444521958840035)	('>100', 5.642533489060182)	('>500', 3.6061467664437554)	('>1k', 12.675806595127606)	('>5k', 9.382955056241878)	('>10k+', 41.03172717117994)
PM2494_R1_unpaired	(1.0, 21.350569540920407)	(2.0, 2.305040132099681)	(3.0, 1.0284289046682822)	(4.0, 0.6742882740239514)	(5.0, 0.5271297892548414)	(6.0, 0.45928280646064984)	(7.0, 0.38016844185095094)	(8.0, 0.33623903196097)	(9.0, 0.31877105786895493)	('>10', 5.7988044663211795)	('>50', 3.4321319025918133)	('>100', 10.717686309090384)	('>500', 7.241046361678223)	('>1k', 22.085602262509227)	('>5k', 7.330858300717336)	('>10k+', 16.01395241798317)
PM2494_R2_paired	(1.0, 17.5516474256115)	(2.0, 2.2138223729109554)	(3.0, 0.7873094605876245)	(4.0, 0.46853262381639255)	(5.0, 0.3532984264528679)	(6.0, 0.2628736765830093)	(7.0, 0.23142079850982972)	(8.0, 0.18803793620325082)	(9.0, 0.16883180002765852)	('>10', 2.647987553524112)	('>50', 1.3761006046837934)	('>100', 5.672517159477763)	('>500', 4.441437049583089)	('>1k', 17.193179513060493)	('>5k', 10.019345052911559)	('>10k+', 36.42365854605613)
PM2494_R2_unpaired	(1.0, 22.839495561919023)	(2.0, 1.855496225647984)	(3.0, 0.9485317976619371)	(4.0, 0.6728317646152522)	(5.0, 0.5288588519197419)	(6.0, 0.4731895930983481)	(7.0, 0.3825208224599816)	(8.0, 0.33822361948465957)	(9.0, 0.3457384540459867)	('>10', 6.87135796339764)	('>50', 4.503335486799904)	('>100', 17.734303922744328)	('>500', 9.983134945239097)	('>1k', 16.995163200187214)	('>5k', 5.130635514302618)	('>10k+', 10.397182276476286)
