Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
PM2469_R1_paired	(50, 7865.0)	(51, 9303.0)	(52, 8480.0)	(53, 8760.0)	(54, 8935.0)	(55, 8460.0)	(56, 9162.0)	(57, 8856.0)	(58, 11099.0)	(59, 10328.0)	(60, 10770.0)	(61, 10844.0)	(62, 12182.0)	(63, 11874.0)	(64, 12823.0)	(65, 11630.0)	(66, 14370.0)	(67, 13111.0)	(68, 13779.0)	(69, 14124.0)	(70, 15914.0)	(71, 19469.0)	(72, 27300.0)	(73, 56878.0)	(74, 144936.0)	(75, 721548.0)	(76, 1516184.0)
PM2469_R1_unpaired	(50, 12202.0)	(51, 12809.0)	(52, 12083.0)	(53, 11770.0)	(54, 11676.0)	(55, 10200.0)	(56, 11259.0)	(57, 10119.0)	(58, 11870.0)	(59, 10338.0)	(60, 10304.0)	(61, 10573.0)	(62, 11143.0)	(63, 10569.0)	(64, 11093.0)	(65, 9080.0)	(66, 11118.0)	(67, 10221.0)	(68, 9693.0)	(69, 9777.0)	(70, 10376.0)	(71, 10466.0)	(72, 11249.0)	(73, 14328.0)	(74, 31774.0)	(75, 118028.0)	(76, 211531.0)
PM2469_R2_paired	(50, 13270.0)	(51, 14819.0)	(52, 14120.0)	(53, 15920.0)	(54, 13278.0)	(55, 16280.0)	(56, 14574.0)	(57, 16427.0)	(58, 15361.0)	(59, 19051.0)	(60, 18293.0)	(61, 21091.0)	(62, 16418.0)	(63, 22858.0)	(64, 21322.0)	(65, 24154.0)	(66, 24187.0)	(67, 21031.0)	(68, 21369.0)	(69, 22054.0)	(70, 22404.0)	(71, 28221.0)	(72, 34755.0)	(73, 59071.0)	(74, 180089.0)	(75, 723587.0)	(76, 1304980.0)
PM2469_R2_unpaired	(50, 5169.0)	(51, 5532.0)	(52, 5275.0)	(53, 5653.0)	(54, 4488.0)	(55, 5363.0)	(56, 4640.0)	(57, 4861.0)	(58, 4496.0)	(59, 5135.0)	(60, 4892.0)	(61, 5213.0)	(62, 4116.0)	(63, 5218.0)	(64, 4529.0)	(65, 4750.0)	(66, 4472.0)	(67, 4156.0)	(68, 4176.0)	(69, 3977.0)	(70, 3904.0)	(71, 4442.0)	(72, 4678.0)	(73, 5916.0)	(74, 11621.0)	(75, 36821.0)	(76, 55833.0)
PM2486_R1_paired	(50, 77665.0)	(52, 75941.0)	(54, 74863.0)	(56, 81345.0)	(58, 95184.0)	(60, 105666.0)	(62, 112781.0)	(64, 122115.0)	(66, 136425.0)	(68, 174402.0)	(70, 190570.0)	(72, 222274.0)	(74, 302239.0)	(76, 326581.0)	(78, 355181.0)	(80, 370322.0)	(82, 393192.0)	(84, 402549.0)	(86, 409061.0)	(88, 464086.0)	(90, 465844.0)	(92, 460924.0)	(94, 440062.0)	(96, 546687.0)	(98, 1343896.0)	(100, 11094070.0)	
PM2486_R1_unpaired	(50, 39684.0)	(52, 37198.0)	(54, 36084.0)	(56, 38265.0)	(58, 41568.0)	(60, 43670.0)	(62, 46096.0)	(64, 50874.0)	(66, 53063.0)	(68, 64993.0)	(70, 62646.0)	(72, 84277.0)	(74, 81607.0)	(76, 67211.0)	(78, 53104.0)	(80, 56319.0)	(82, 62599.0)	(84, 58170.0)	(86, 62960.0)	(88, 62565.0)	(90, 62973.0)	(92, 29418.0)	(94, 27973.0)	(96, 40654.0)	(98, 168864.0)	(100, 1442188.0)	
PM2486_R2_paired	(50, 67620.0)	(52, 64539.0)	(54, 62688.0)	(56, 67222.0)	(58, 81086.0)	(60, 92943.0)	(62, 101436.0)	(64, 111165.0)	(66, 125041.0)	(68, 155723.0)	(70, 178893.0)	(72, 196204.0)	(74, 289423.0)	(76, 310225.0)	(78, 344656.0)	(80, 351497.0)	(82, 367423.0)	(84, 386816.0)	(86, 395103.0)	(88, 450656.0)	(90, 476780.0)	(92, 465811.0)	(94, 445177.0)	(96, 538556.0)	(98, 1596109.0)	(100, 11121133.0)	
PM2486_R2_unpaired	(50, 18552.0)	(52, 16949.0)	(54, 16485.0)	(56, 16111.0)	(58, 16115.0)	(60, 16641.0)	(62, 17713.0)	(64, 17943.0)	(66, 17881.0)	(68, 19130.0)	(70, 21229.0)	(72, 21603.0)	(74, 27451.0)	(76, 30452.0)	(78, 32939.0)	(80, 33144.0)	(82, 33554.0)	(84, 34577.0)	(86, 35308.0)	(88, 38812.0)	(90, 39931.0)	(92, 34565.0)	(94, 33658.0)	(96, 39540.0)	(98, 131250.0)	(100, 741837.0)	
PM2494_R1_paired	(50, 167548.0)	(52, 164290.0)	(54, 164026.0)	(56, 189438.0)	(58, 235829.0)	(60, 270506.0)	(62, 281582.0)	(64, 279684.0)	(66, 300895.0)	(68, 333793.0)	(70, 348177.0)	(72, 362372.0)	(74, 489416.0)	(76, 496830.0)	(78, 505510.0)	(80, 496959.0)	(82, 515619.0)	(84, 520340.0)	(86, 506753.0)	(88, 551730.0)	(90, 510927.0)	(92, 492030.0)	(94, 439160.0)	(96, 505756.0)	(98, 1285415.0)	(100, 10506081.0)	
PM2494_R1_unpaired	(50, 65274.0)	(52, 62608.0)	(54, 61625.0)	(56, 70125.0)	(58, 79340.0)	(60, 89256.0)	(62, 91171.0)	(64, 92488.0)	(66, 94031.0)	(68, 107701.0)	(70, 112926.0)	(72, 154588.0)	(74, 118782.0)	(76, 101511.0)	(78, 78454.0)	(80, 80255.0)	(82, 85531.0)	(84, 80068.0)	(86, 83219.0)	(88, 80136.0)	(90, 77593.0)	(92, 32820.0)	(94, 29747.0)	(96, 41221.0)	(98, 179751.0)	(100, 1523008.0)	
