Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PM2469_R1_paired	PM2469_R1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2718984.0	201.8 Mbp	0.0	50-76	50.0	9.708070393409608	74.22002078717638	76	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
PM2469_R1_unpaired	PM2469_R1_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	625649.0	43.4 Mbp	0.0	50-76	50.0	14.128528935553323	69.51194359776808	75	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
PM2469_R2_paired	PM2469_R2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2718984.0	199.2 Mbp	0.0	50-76	51.0	9.622017175383373	73.2974787641266	75	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PM2469_R2_unpaired	PM2469_R2_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	219326.0	14.9 Mbp	0.0	50-76	50.0	19.158239333229986	67.93846146831658	73	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PM2486_R1_paired	PM2486_R1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	18843925.0	1.7 Gbp	0.0	50-101	47.0	25.642599700267976	93.85547037042443	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
PM2486_R1_unpaired	PM2486_R1_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	2875023.0	255.6 Mbp	0.0	50-101	48.0	31.094028672944617	88.82547009189143	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
PM2486_R2_paired	PM2486_R2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	18843925.0	1.7 Gbp	0.0	50-101	48.0	26.35467418097839	94.27880637924424	100	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
PM2486_R2_unpaired	PM2486_R2_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	1503370.0	136.6 Mbp	0.0	50-101	50.0	33.85690390858084	90.80209728809275	98	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
PM2494_R1_paired	PM2494_R1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	20920666.0	1.8 Gbp	0.0	50-101	48.0	19.643393466327	90.53633717970547	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
PM2494_R1_unpaired	PM2494_R1_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	3673229.0	313.6 Mbp	0.0	50-101	49.0	23.73043957866537	85.31177296596536	90	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
PM2494_R2_paired	PM2494_R2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	20920666.0	1.9 Gbp	0.0	50-101	50.0	19.420531949982795	90.9506754230482	100	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
PM2494_R2_unpaired	PM2494_R2_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	1798998.0	158.3 Mbp	0.0	50-101	53.0	25.065625546073743	87.91646405387888	98	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	warn
PM2497_R1_paired	PM2497_R1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	32981300.0	3.1 Gbp	0.0	50-101	50.0	19.92802357104938	94.67945011263959	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
PM2497_R1_unpaired	PM2497_R1_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	3513092.0	303.6 Mbp	0.0	50-101	54.0	21.930954021038907	86.3580230748298	96	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
PM2497_R2_paired	PM2497_R2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	32981300.0	3.1 Gbp	0.0	50-101	51.0	20.482770128904065	95.13468128909412	100	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
PM2497_R2_unpaired	PM2497_R2_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	2785095.0	252.7 Mbp	0.0	50-101	53.0	26.2351360176724	90.66275279658323	98	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
PM2524_R1_paired	PM2524_R1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	32553219.0	3.1 Gbp	0.0	50-101	47.0	19.060670729956822	95.59908436397642	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
PM2524_R1_unpaired	PM2524_R1_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	4653087.0	424.4 Mbp	0.0	50-101	49.0	22.33608936334531	91.1027955204792	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
PM2524_R2_paired	PM2524_R2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	32553219.0	3.1 Gbp	0.0	50-101	49.0	19.392555910936558	96.16558889306769	100	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
PM2524_R2_unpaired	PM2524_R2_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	2868503.0	265.4 Mbp	0.0	50-101	52.0	23.670283106568434	92.42544752437072	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
PM2528_R1_paired	PM2528_R1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2737107.0	202.9 Mbp	0.0	50-76	55.0	3.816379546292316	74.15960647501176	76	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
PM2528_R1_unpaired	PM2528_R1_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	656531.0	45.4 Mbp	0.0	50-76	56.0	7.257844640999435	69.28391347857146	75	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
PM2528_R2_paired	PM2528_R2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	2737107.0	199.8 Mbp	0.0	50-76	57.0	4.561460295567632	73.02174193409319	76	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PM2528_R2_unpaired	PM2528_R2_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	215760.0	14.4 Mbp	0.0	50-76	56.0	12.007322951427513	67.17296069707082	71	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PM2539_R1_paired	PM2539_R1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	21216190.0	1.8 Gbp	0.0	50-101	50.0	15.560129800202944	87.72003630246525	94	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
PM2539_R1_unpaired	PM2539_R1_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	4999857.0	408 Mbp	0.0	50-101	53.0	17.494367047775313	81.56089514160105	80	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
