Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
PM2469_R1_paired	90.29192960659039	50.0	74.22002078717638	76	45.45454545454545	2.718984
PM2469_R1_unpaired	85.87147106444668	50.0	69.51194359776808	75	45.45454545454545	0.625649
PM2469_R2_paired	90.37798282461662	51.0	73.2974787641266	75	36.36363636363637	2.718984
PM2469_R2_unpaired	80.84176066677001	50.0	67.93846146831658	73	36.36363636363637	0.219326
PM2486_R1_paired	74.35740029973202	47.0	93.85547037042443	100	36.36363636363637	18.843925
PM2486_R1_unpaired	68.90597132705538	48.0	88.82547009189143	100	36.36363636363637	2.8750229999999997
PM2486_R2_paired	73.64532581902161	48.0	94.27880637924424	100	36.36363636363637	18.843925
PM2486_R2_unpaired	66.14309609141915	50.0	90.80209728809275	98	36.36363636363637	1.5033699999999999
PM2494_R1_paired	80.356606533673	48.0	90.53633717970547	100	27.27272727272727	20.920666
PM2494_R1_unpaired	76.26956042133463	49.0	85.31177296596536	90	18.181818181818183	3.6732289999999996
PM2494_R2_paired	80.5794680500172	50.0	90.9506754230482	100	36.36363636363637	20.920666
PM2494_R2_unpaired	74.93437445392625	53.0	87.91646405387888	98	36.36363636363637	1.7989979999999999
PM2497_R1_paired	80.07197642895062	50.0	94.67945011263959	100	36.36363636363637	32.9813
PM2497_R1_unpaired	78.0690459789611	54.0	86.3580230748298	96	27.27272727272727	3.513092
PM2497_R2_paired	79.51722987109594	51.0	95.13468128909412	100	36.36363636363637	32.9813
PM2497_R2_unpaired	73.7648639823276	53.0	90.66275279658323	98	36.36363636363637	2.7850949999999997
PM2524_R1_paired	80.93932927004317	47.0	95.59908436397642	100	27.27272727272727	32.553219
PM2524_R1_unpaired	77.66391063665469	49.0	91.1027955204792	100	36.36363636363637	4.653087
PM2524_R2_paired	80.60744408906345	49.0	96.16558889306769	100	36.36363636363637	32.553219
PM2524_R2_unpaired	76.32971689343157	52.0	92.42544752437072	100	36.36363636363637	2.868503
PM2528_R1_paired	96.18362045370769	55.0	74.15960647501176	76	45.45454545454545	2.737107
PM2528_R1_unpaired	92.74215535900056	56.0	69.28391347857146	75	45.45454545454545	0.656531
PM2528_R2_paired	95.43853970443237	57.0	73.02174193409319	76	27.27272727272727	2.737107
PM2528_R2_unpaired	87.99267704857249	56.0	67.17296069707082	71	36.36363636363637	0.21575999999999998
PM2539_R1_paired	84.43987019979706	50.0	87.72003630246525	94	36.36363636363637	21.216189999999997
PM2539_R1_unpaired	82.50563295222469	53.0	81.56089514160105	80	36.36363636363637	4.9998569999999996
PM2539_R2_paired	84.85596909938475	53.0	88.73494953617968	96	45.45454545454545	21.216189999999997
PM2539_R2_unpaired	82.70897674540406	58.0	86.5527181412453	92	45.45454545454545	2.288586
PM2577_R1_paired	89.77383852073783	51.0	95.83895944894172	100	27.27272727272727	80.797842
PM2577_R1_unpaired	86.69658893062329	54.0	88.06236224910806	98	27.27272727272727	6.886978999999999
PM2577_R2_paired	89.51715746029963	51.0	96.08173855682928	100	36.36363636363637	80.797842
PM2577_R2_unpaired	84.67563876979092	53.0	91.36032275922594	100	27.27272727272727	5.984461
PM2601_R1_paired	96.11208648192363	53.0	96.19428961064456	100	27.27272727272727	34.563404999999996
PM2601_R1_unpaired	92.64323992600782	58.0	89.8977253615247	100	27.27272727272727	3.341542
PM2601_R2_paired	96.10133416159462	54.0	96.74075058577128	100	27.27272727272727	34.563404999999996
PM2601_R2_unpaired	91.92655501162474	57.0	91.88123632193255	100	27.27272727272727	2.936727
PM2616_R1_paired	86.97023266663919	48.0	92.42142069603919	100	36.36363636363637	15.463180999999999
PM2616_R1_unpaired	84.86722348314268	50.0	87.49796079673605	98	36.36363636363637	4.596403
PM2616_R2_paired	87.87412534451407	53.0	93.26024305736317	100	45.45454545454545	15.463180999999999
PM2616_R2_unpaired	85.63392281140355	58.0	90.94355864913891	100	54.54545454545454	1.6251559999999998
PM2622_R1_paired	93.8264043028622	47.0	94.91989335454875	100	36.36363636363637	31.177325999999997
PM2622_R1_unpaired	89.5411149699047	48.0	87.08901156273654	98	36.36363636363637	2.175869
PM2622_R2_paired	93.84547207333435	48.0	95.2644737717404	100	27.27272727272727	31.177325999999997
PM2622_R2_unpaired	89.26718705090997	50.0	91.19067069356056	100	18.181818181818183	2.3177499999999998
PM3050_R1_paired	78.48641500016706	51.0	74.18284457368861	76	45.45454545454545	4.03027
PM3050_R1_unpaired	74.20185589358786	51.0	69.32023668396123	75	45.45454545454545	0.779436
PM3050_R2_paired	78.45075777957231	51.0	73.47415557766601	76	27.27272727272727	4.03027
PM3050_R2_unpaired	71.05013200811368	51.0	68.17012511531365	73	27.27272727272727	0.34687999999999997
PM3051_R1_paired	90.57410237612336	55.0	74.306379357836	76	45.45454545454545	2.849895
PM3051_R1_unpaired	86.42358009004253	56.0	69.45350263708531	75	45.45454545454545	0.6838989999999999
PM3051_R2_paired	90.32085353534094	56.0	73.13210591969178	76	27.27272727272727	2.849895
PM3051_R2_unpaired	81.74585718096432	55.0	67.27396189682848	71	27.27272727272727	0.21368299999999998
PM3153_R1_paired	86.72506672641649	54.0	74.28171910083614	76	36.36363636363637	3.1660969999999997
PM3153_R1_unpaired	82.55689815804939	54.0	69.40348944326601	75	36.36363636363637	0.753358
PM3153_R2_paired	86.78670762958458	55.0	73.16488597790908	76	18.181818181818183	3.1660969999999997
PM3153_R2_unpaired	78.11277493964612	54.0	67.33470986205425	71	18.181818181818183	0.239007
PM3183_R1_paired	95.74598293083105	56.0	74.13157230294387	76	45.45454545454545	2.5783389999999997
PM3183_R1_unpaired	91.62691662602448	56.0	69.17690311639186	74	45.45454545454545	0.588469
PM3183_R2_paired	95.13788032371185	57.0	73.20806146903104	76	27.27272727272727	2.5783389999999997
PM3183_R2_unpaired	87.6791360037471	56.0	67.56823606770013	72	36.36363636363637	0.22203799999999999
Undetermined_R1_paired	85.12205409611896	53.0	74.02909042833487	76	45.45454545454545	1.066502
Undetermined_R1_unpaired	79.57045906732927	53.0	69.26283641164945	75	45.45454545454545	0.330213
Undetermined_R2_paired	85.17508279463637	54.0	72.92771321572768	75	27.27272727272727	1.066502
Undetermined_R2_unpaired	69.0071528630047	53.0	67.1898917773067	71	27.27272727272727	0.080667
