.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
PM2469_S1_R1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2469_S1_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2486_S27_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
PM2486_S27_R2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.5
PM2494_S26_R1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
PM2494_S26_R2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.5
PM2497_S12_R1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
PM2497_S12_R2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
PM2524_S24_R1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
PM2524_S24_R2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.5
PM2528_S2_R1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2528_S2_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
PM2539_S23_R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2539_S23_R2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.25
PM2577_S13_R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
PM2577_S13_R2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
PM2601_S14_R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
PM2601_S14_R2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
PM2616_S22_R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2616_S22_R2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.25
PM2622_S32_R1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
PM2622_S32_R2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.25	1
PM3050_S3_R1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM3050_S3_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
PM3051_S4_R1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM3051_S4_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
PM3153_S5_R1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	1
PM3153_S5_R2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
PM3183_S6_R1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
PM3183_S6_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
Undetermined_S0_R1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Undetermined_S0_R2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
