Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
PM2486_S27_R1 - illumina_universal_adapter	(1, 7.920275144022284e-06)	(2, 1.5840550288044567e-05)	(3, 2.376082543206685e-05)	(4, 5.5441926008155985e-05)	(5, 6.336220115217827e-05)	(6, 7.524261386821168e-05)	(7, 7.920275144022284e-05)	(8, 8.316288901223397e-05)	(9, 9.108316415625625e-05)	(10, 9.900343930027854e-05)	(12, 0.00011484398958832311)	(14, 0.00012474433351835097)	(16, 0.00013464467744837881)	(18, 0.00014454502137840666)	(20, 0.0001702859155964791)	(22, 0.00018216632831251253)	(24, 0.00022968797917664622)	(26, 0.00029305018032882446)	(28, 0.00036829279419703614)	(30, 0.0004811567149993537)	(32, 0.0006831237311719219)	(34, 0.0009266721918506071)	(36, 0.00131872581147971)	(38, 0.0019167065848533925)	(40, 0.0026790330674655374)	(42, 0.0037720310373406123)	(44, 0.004948191896227921)	(46, 0.006326319771287798)	(48, 0.0080687803029727)	(50, 0.010892358391816645)	(52, 0.014428761243622594)	(54, 0.017834479555552174)	(56, 0.021442164883654326)	(58, 0.025822077038298648)	(60, 0.03126132599345595)	(62, 0.03782525401906442)	(64, 0.04498320268047456)	(66, 0.0531727671793936)	(68, 0.0626295757013562)	(70, 0.07502084616417906)	(72, 0.08788931320442928)	(74, 0.10301703872951183)	(76, 0.12061192996195733)	(78, 0.13569411390496178)	(80, 0.14953083458156868)	(82, 0.1600806410734064)	(84, 0.17086409568199273)	(86, 0.177360701368877)	(88, 0.17897841756704355)	(90, 0.17897841756704355)
PM2486_S27_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.061073241635555824)	(4, 0.06828861229176013)	(5, 0.07035184396677793)	(6, 0.07077161854941111)	(7, 0.071088429555172)	(8, 0.07145672234936903)	(9, 0.07188045706957423)	(10, 0.07262496293311232)	(12, 0.0732843258388522)	(14, 0.07379914372321364)	(16, 0.07426643995671095)	(18, 0.07466443378269806)	(20, 0.07508420836533125)	(22, 0.07548418226010437)	(24, 0.0758148537473673)	(26, 0.07618512661035035)	(28, 0.07656331974847741)	(30, 0.07693359261146045)	(32, 0.07724446341086333)	(34, 0.07761671634263237)	(36, 0.07796718851775536)	(38, 0.07829786000501829)	(40, 0.07859289025413312)	(42, 0.07895524284197214)	(44, 0.08141250820540505)	(46, 0.12304543449995818)	(48, 0.12379786063864029)	(50, 0.12429089776635568)	(52, 0.12474235344956495)	(54, 0.12528093215935848)	(56, 0.1258967335518062)	(58, 0.1265798572829781)	(60, 0.12726892122050806)	(62, 0.12790254323202985)	(64, 0.1286351686828519)	(66, 0.1298727116741054)	(68, 0.13107461342721077)	(70, 0.13235769800054237)	(72, 0.13393581282298883)	(74, 0.13531988090440672)	(76, 0.13673563008640072)	(78, 0.1377672459239096)	(80, 0.13896122740187095)	(82, 0.1404225181659431)	(84, 0.14207587560225773)	(86, 0.14395298081139102)	(88, 0.1461983788147213)	(90, 0.14788341735161206)
PM2486_S27_R2 - illumina_universal_adapter	(1, 0.0001227642647323454)	(2, 0.0001900866034565348)	(3, 0.00031681100576089134)	(4, 0.0007445058635380947)	(5, 0.0008237086149783174)	(6, 0.0010415161814389302)	(7, 0.0011286392080231754)	(8, 0.0012355629224674763)	(9, 0.0013543670496278105)	(10, 0.001692958812034763)	(12, 0.0019998694738656265)	(14, 0.002540428252445147)	(16, 0.002934461940860256)	(18, 0.003441359550077682)	(20, 0.00398785853501522)	(22, 0.004579899102030886)	(24, 0.005326385034354985)	(26, 0.006397602247583999)	(28, 0.008195504705277058)	(30, 0.010963640868112846)	(32, 0.015543539970143731)	(34, 0.020923386861720867)	(36, 0.027683341697143884)	(38, 0.03827868977105969)	(40, 0.053935093662005745)	(42, 0.0745753306873278)	(44, 0.09546505637968658)	(46, 0.11954071274872832)	(48, 0.15512848903960647)	(50, 0.2070399524023145)	(52, 0.2677607417939613)	(54, 0.32581437853085865)	(56, 0.3871489892461672)	(58, 0.45703155691066183)	(60, 0.5450000728665313)	(62, 0.6409641065802913)	(64, 0.7450919638987523)	(66, 0.8709985977944885)	(68, 1.0131457558730426)	(70, 1.1801685181101842)	(72, 1.3248343236845375)	(74, 1.5346938940381238)	(76, 1.7245765504097)	(78, 1.7965599710561464)	(80, 1.8172774307641228)	(82, 1.8249343567596064)	(84, 1.8303617253020477)	(86, 1.8332031240099655)	(88, 1.8338050649209112)	(90, 1.8338050649209112)
PM2486_S27_R2 - polya	(1, 0.004934331414725882)	(2, 0.0065065060308143055)	(3, 0.010664650481426004)	(4, 0.01668801972845495)	(5, 0.022366857006718928)	(6, 0.027225945807576597)	(7, 0.03139201053333232)	(8, 0.03654810965209083)	(9, 0.042741764814716254)	(10, 0.052428261315855505)	(12, 0.06944695253157339)	(14, 0.08366582648387938)	(16, 0.09825893343674044)	(18, 0.11436481294210976)	(20, 0.12896188003254283)	(22, 0.14607165441241696)	(24, 0.1636170439252123)	(26, 0.1788219921329491)	(28, 0.19101327564838538)	(30, 0.20304219352336925)	(32, 0.21463153612785985)	(34, 0.22556349589539662)	(36, 0.23816267358075005)	(38, 0.2508806553932638)	(40, 0.2628046296225894)	(42, 0.2738296526230684)	(44, 0.2854823574287112)	(46, 0.2964776793974001)	(48, 0.30876202614577863)	(50, 0.3199949563687883)	(52, 0.33044179928375367)	(54, 0.341221293754768)	(56, 0.35402441852508004)	(58, 0.36561574119835666)	(60, 0.37898714571025227)	(62, 0.3896022944720281)	(64, 0.3995105586772)	(66, 0.41178302501286257)	(68, 0.4243029999467758)	(70, 0.4329024386843979)	(72, 0.44096923891858464)	(74, 0.449647880407647)	(76, 0.458160196118685)	(78, 0.46647252488233637)	(80, 0.4746739697939715)	(82, 0.4821427892547845)	(84, 0.4899660410282925)	(86, 0.49831005089251995)	(88, 0.5045195466054335)	(90, 0.5058442126232712)
PM2486_S27_R2 - polyg	(1, 5.186964430994761)	(2, 6.806541893820158)	(3, 6.945031864850959)	(4, 6.960579364958675)	(5, 6.971212334339525)	(6, 6.985049055016132)	(7, 7.005313078972113)	(8, 7.023727718681965)	(9, 7.036800132807174)	(10, 7.0630301040153896)	(12, 7.091008475961648)	(14, 7.11015178098475)	(16, 7.118456189473257)	(18, 7.124740927800039)	(20, 7.130213837924558)	(22, 7.1350194648681935)	(24, 7.139640945414731)	(26, 7.142450663022073)	(28, 7.144466373046226)	(30, 7.14636327894322)	(32, 7.148260184840213)	(34, 7.150305595896157)	(36, 7.152463870872904)	(38, 7.154400378145617)	(40, 7.1557903864333925)	(42, 7.1576457108858795)	(44, 7.159303028459766)	(46, 7.160562352207666)	(48, 7.161768214098343)	(50, 7.164033412789534)	(52, 7.165510544103894)	(54, 7.1663936547824525)	(56, 7.167114399820559)	(58, 7.167803463758088)	(60, 7.168458866526256)	(62, 7.16915585073893)	(64, 7.169862735295534)	(66, 7.1705062576509855)	(68, 7.171197301657301)	(70, 7.17192200683298)	(72, 7.172737795172814)	(74, 7.173500121655426)	(76, 7.174282248825898)	(78, 7.17538712720849)	(80, 7.176505866072583)	(82, 7.177462239296223)	(84, 7.178464154101942)	(86, 7.179523490902455)	(88, 7.1806541101792645)	(90, 7.181570882027185)
PM2494_S26_R1 - illumina_universal_adapter	(1, 6.880240571739736e-06)	(2, 1.0320360857609603e-05)	(3, 2.0640721715219206e-05)	(4, 5.5041924573917885e-05)	(5, 5.5041924573917885e-05)	(6, 7.224252600326722e-05)	(7, 8.256288686087682e-05)	(8, 8.944312743261656e-05)	(9, 9.288324771848643e-05)	(10, 0.00010492366871903097)	(12, 0.00011352396943370562)	(14, 0.0001324446310059899)	(16, 0.00015136529257827417)	(18, 0.00017716619472229819)	(20, 0.00020640721715219207)	(22, 0.0002459686004396955)	(24, 0.0002906901641560038)	(26, 0.0003302515474435073)	(28, 0.00041797461473318893)	(30, 0.0006243818318853809)	(32, 0.0008669103120392066)	(34, 0.0012143624609120634)	(36, 0.001742420924793088)	(38, 0.0025422488912578323)	(40, 0.003971618870036762)	(42, 0.005779402080261377)	(44, 0.007745430823636007)	(46, 0.010260158752606881)	(48, 0.013813803007910453)	(50, 0.019832293448039787)	(52, 0.028363791756997058)	(54, 0.036561598398224954)	(56, 0.04524618205990343)	(58, 0.05628724811740277)	(60, 0.07023005563603335)	(62, 0.08722596990837342)	(64, 0.10454869560787114)	(66, 0.12229971628295966)	(68, 0.14207696780642554)	(70, 0.16282433325050671)	(72, 0.18383142777617106)	(74, 0.20713480259265354)	(76, 0.2313205682624616)	(78, 0.25144355187465744)	(80, 0.2676912399848208)	(82, 0.2798572253757996)	(84, 0.29186840535391423)	(86, 0.2990548166310964)	(88, 0.30083507887903405)	(90, 0.30083507887903405)
PM2494_S26_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.05819307475577468)	(4, 0.06698602220645807)	(5, 0.06976907951772679)	(6, 0.07034701972575293)	(7, 0.07067383115291057)	(8, 0.07117952883493343)	(9, 0.07179875048639)	(10, 0.07270694224185964)	(12, 0.07348096930618037)	(14, 0.07402966849177661)	(16, 0.07450612515136959)	(18, 0.07483981681909897)	(20, 0.07526123155411803)	(22, 0.075737688213711)	(24, 0.07611954156544257)	(26, 0.07647903413531595)	(28, 0.07688324826890566)	(30, 0.07733562408649755)	(32, 0.07772951785922966)	(34, 0.07808213018853132)	(36, 0.078460543419977)	(38, 0.07882691623042215)	(40, 0.07920704952201077)	(42, 0.07959578311431406)	(44, 0.08297914141546708)	(46, 0.1371868368200615)	(48, 0.1380021453278127)	(50, 0.1387675720914187)	(52, 0.1394366754870204)	(54, 0.14040506934749275)	(56, 0.1410999736452385)	(58, 0.14203224624270921)	(60, 0.14329477038762345)	(62, 0.14444549062324694)	(64, 0.15161126117871387)	(66, 0.1703220754135601)	(68, 0.17748268578859822)	(70, 0.1872113459570382)	(72, 0.19597333232514874)	(74, 0.20019952009633987)	(76, 0.2028105713933151)	(78, 0.2044601090703897)	(80, 0.20594796109402844)	(82, 0.20758201822981662)	(84, 0.20942420264289993)	(86, 0.21158631824256913)	(88, 0.21405976472810956)	(90, 0.21597075154691028)
PM2494_S26_R2 - illumina_universal_adapter	(1, 9.63233680043563e-05)	(2, 0.00015136529257827417)	(3, 0.00024768866058263046)	(4, 0.0005228982834522199)	(5, 0.0006089012905989666)	(6, 0.0007774671846065901)	(7, 0.0008600300714674669)	(8, 0.000983874401758782)	(9, 0.0010320360857609602)	(10, 0.0015635346699278548)	(12, 0.0018335841123686394)	(14, 0.0021363146975251876)	(16, 0.0023719629371072738)	(18, 0.002686733943264367)	(20, 0.00298086422770624)	(22, 0.0033885184815818196)	(24, 0.003871855381746536)	(26, 0.004905611527650431)	(28, 0.006529348302581009)	(30, 0.00910255827641167)	(32, 0.013050096304447343)	(34, 0.018193076131822795)	(36, 0.024677702870687497)	(38, 0.03535927635831343)	(40, 0.052857448192390515)	(42, 0.07521995011068758)	(44, 0.09866953003931954)	(46, 0.13006406776816795)	(48, 0.17996645263499628)	(50, 0.2597738031468913)	(52, 0.3593291641598223)	(54, 0.45994924240123014)	(56, 0.5641522059203713)	(58, 0.6891868178305975)	(60, 0.8447060556540595)	(62, 1.027022110444305)	(64, 1.211142508324489)	(66, 1.411185502947822)	(68, 1.6264785507984159)	(70, 1.8679509140244792)	(72, 2.1125555067708275)	(74, 2.458953258776065)	(76, 2.671487330157391)	(78, 2.762038176322058)	(80, 2.7867881217187485)	(82, 2.795885519814732)	(84, 2.8024974310041735)	(86, 2.8058893896060413)	(88, 2.8066290154675033)	(90, 2.8066290154675033)
PM2494_S26_R2 - polya	(1, 0.004506557574489527)	(2, 0.005418189450245041)	(3, 0.009202321764701897)	(4, 0.014754675906095862)	(5, 0.02110857807409751)	(6, 0.026561168727201247)	(7, 0.03060331006309834)	(8, 0.03626574805364014)	(9, 0.042478605289921124)	(10, 0.055797030976666315)	(12, 0.08412126135037587)	(14, 0.10148010831287523)	(16, 0.1193377727168257)	(18, 0.13869016938498666)	(20, 0.15445624065512825)	(22, 0.17356782890327832)	(24, 0.19424639194164206)	(26, 0.21329605802464646)	(28, 0.22633755402837913)	(30, 0.23928616678439332)	(32, 0.2533768994753163)	(34, 0.26510254946970374)	(36, 0.2792775651076305)	(38, 0.29252374826837246)	(40, 0.30463297167463443)	(42, 0.3159165662122876)	(44, 0.327853783604256)	(46, 0.3395777135385005)	(48, 0.3526157694219473)	(50, 0.36466135060292065)	(52, 0.3752311201812558)	(54, 0.38561512326415404)	(56, 0.3978894724441377)	(58, 0.40990581260268116)	(60, 0.42401030577474763)	(62, 0.4348552849759524)	(64, 0.44429841516066515)	(66, 0.45735539170568423)	(68, 0.47044160927313317)	(70, 0.4785190117043556)	(72, 0.48540097233623836)	(74, 0.493419892722601)	(76, 0.5008281917582217)	(78, 0.5076344697438153)	(80, 0.5142842222564017)	(82, 0.5204678384702528)	(84, 0.5270900700205523)	(86, 0.5354409620145014)	(88, 0.540737027194598)	(90, 0.5417604629796443)
PM2494_S26_R2 - polyg	(1, 5.980415188805326)	(2, 7.609466949577572)	(3, 7.731931791634254)	(4, 7.748809021756731)	(5, 7.758823211908898)	(6, 7.771816546228629)	(7, 7.793485863909323)	(8, 7.82254111984378)	(9, 7.83800102040848)	(10, 7.869054986229026)	(12, 7.899833742426704)	(14, 7.919211939997009)	(16, 7.927991126966549)	(18, 7.934706241764568)	(20, 7.9403549192739655)	(22, 7.945539180544771)	(24, 7.950183342930696)	(26, 7.95285287627253)	(28, 7.954700220866043)	(30, 7.9563996402872625)	(32, 7.95840867053421)	(34, 7.96064130859974)	(36, 7.962889427206556)	(38, 7.96495521943822)	(40, 7.966418990619859)	(42, 7.9681717319055085)	(44, 7.96982470970287)	(46, 7.970977149998636)	(48, 7.972126150174116)	(50, 7.97438458914179)	(52, 7.975942963631289)	(54, 7.976868355988188)	(56, 7.977535739323647)	(58, 7.97828224542568)	(60, 7.979035631768286)	(62, 7.979751176787747)	(64, 7.980581965836785)	(66, 7.981269989893958)	(68, 7.981901251966416)	(70, 7.982618517046019)	(72, 7.983378783629197)	(74, 7.9841596909340895)	(76, 7.984973279381697)	(78, 7.9858591103553085)	(80, 7.986853305117926)	(82, 7.987754616632824)	(84, 7.988642167666578)	(86, 7.989536598940903)	(88, 7.990398349072514)	(90, 7.991086373129688)
