Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
PM2469_S1_R1	2.7474222600493667	32.41284729281311
PM2469_S1_R2	1.9677542736441667	22.587882066602575
PM2486_S27_R1	2.2724813841853013	28.609645596200295
PM2486_S27_R2	4.2866311141356	20.044826381232625
PM2494_S26_R1	1.5199277051841684	24.77932402393209
PM2494_S26_R2	4.888218279485073	19.309752937097297
PM2497_S12_R1	1.412137513514649	17.4159719061295
PM2497_S12_R2	1.7065443279785226	11.890321516062158
PM2524_S24_R1	1.7226564157692699	30.393945915831825
PM2524_S24_R2	4.24732253790534	22.732793043362353
PM2528_S2_R1	4.888119622729143	43.487370446668294
PM2528_S2_R2	0.8272870819643936	25.503808248192396
PM2539_S23_R1	1.2184382762628048	26.900656872181877
PM2539_S23_R2	6.598972449530888	19.430689894482054
PM2577_S13_R1	0.8185112555060399	22.97838977232876
PM2577_S13_R2	1.0625020972094898	19.046722887524403
PM2601_S14_R1	0.665046993634212	26.364307045861942
PM2601_S14_R2	1.6884879301256341	13.432240141267638
PM2616_S22_R1	1.7129680668485587	38.817429124178126
PM2616_S22_R2	11.429351385619194	25.32937631124654
PM2622_S32_R1	1.7958832414930272	37.200494254689325
PM2622_S32_R2	1.706861642759277	27.10591267788574
PM3050_S3_R1	1.2051889763246832	17.114582269558607
PM3050_S3_R2	1.0162303700341384	9.022978822654672
PM3051_S4_R1	1.2228933450285286	23.117732116338246
PM3051_S4_R2	0.3758456581587015	10.173582464154515
PM3153_S5_R1	0.7487600357381373	16.361126930107275
PM3153_S5_R2	0.4602709868854775	6.806542155662305
PM3183_S6_R1	2.9738565439161513	38.37287890096523
PM3183_S6_R2	0.6496496727809651	20.029435538529086
Undetermined_S0_R1	1.5259924064965065	17.495288240196956
Undetermined_S0_R2	0.5136096688045549	6.391586989567794
