Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
PM2469_S1_R1	(1, 1.307839063111987)	(2, 0.014908795615114163)	(3, 0.014977711465415154)	(4, 0.014885823665013835)	(5, 0.014885823665013835)	(6, 0.014885823665013835)	(7, 0.014885823665013835)	(8, 0.014885823665013835)	(9, 0.014885823665013835)	(10, 0.014897309640064)	(12, 0.014885823665013835)	(14, 0.014885823665013835)	(16, 0.014885823665013835)	(18, 0.014920281590164331)	(20, 0.014885823665013835)	(22, 0.014954739515314825)	(24, 0.01551755229277291)	(26, 0.014885823665013835)	(28, 0.016654663822739245)	(30, 0.016218196770832975)	(32, 0.017389766225949805)	(34, 0.01866470945651812)	(36, 0.008202527527291784)	(38, 0.00191864552357596)	(40, 0.0002527787276129967)	(42, 0.0)	(44, 0.0001149301374173681)	(46, 0.0)	(48, 0.0)	(50, 0.002495916243952004)	(52, 0.00400480945392812)	(54, 0.00263666775856183)	(56, 0.0016127887698292379)	(58, 0.0011643947902440779)	(60, 0.00020771926326131708)	(62, 0.0005892316188618818)	(64, 0.0)	(66, 0.0002317619026539751)	(68, 0.00019735525385225847)	(70, 0.00024432559620099297)	(72, 0.0)	(74, 0.0007465628430287981)	(76, 0.003723460946701902)												
PM2469_S1_R2	(1, 0.014380440762806574)	(2, 0.018676195431568284)	(3, 0.014518272463408555)	(4, 0.016080365070230994)	(5, 0.015529038267823075)	(6, 0.018791055182069933)	(7, 0.02065178314019666)	(8, 0.022926006200129332)	(9, 0.023730024453640884)	(10, 0.020904474591300293)	(12, 0.01455273038855905)	(14, 0.01537972059217093)	(16, 0.016470888221936604)	(18, 0.017068158924545183)	(20, 0.01813635460421053)	(22, 0.01763097170200327)	(24, 0.01735530830079931)	(26, 0.014805421839662679)	(28, 0.014380440762806574)	(30, 0.015666869968425055)	(32, 0.014667590139060698)	(34, 0.015138515116117465)	(36, 0.002021900862524527)	(38, 0.0016084313049903993)	(40, 0.0027805311802676963)	(42, 5.745620687911673e-05)	(44, 0.0044018637238158066)	(46, 0.023761127898323065)	(48, 0.03555316388088311)	(50, 0.02622656345977144)	(52, 0.026666504005212224)	(54, 0.026956021498492258)	(56, 0.026831568486628106)	(58, 0.028511072914446142)	(60, 0.02894175644611848)	(62, 0.046119967138368106)	(64, 0.0333033163761826)	(66, 0.033847859503166836)	(68, 0.02808602634639207)	(70, 0.03487523879041008)	(72, 0.03621350469468405)	(74, 0.03126945880824106)	(76, 0.04901141040325031)												
PM2486_S27_R1	(1, 0.020319465881989168)	(2, 0.30404352222872744)	(3, 0.01960664111902716)	(4, 0.019974933913224198)	(5, 0.019507637679726884)	(6, 0.019507637679726884)	(7, 0.019507637679726884)	(8, 0.019507637679726884)	(9, 0.020644197162894083)	(10, 0.019507637679726884)	(12, 0.019507637679726884)	(14, 0.01989771123056998)	(16, 0.019507637679726884)	(18, 0.019507637679726884)	(20, 0.01953931878030297)	(22, 0.020238283061762938)	(24, 0.023018299637314762)	(26, 0.04358725418634063)	(28, 0.035175921983388966)	(30, 0.044953501648684474)	(32, 0.05946344571253329)	(34, 0.07898494387376222)	(36, 3.9643336041435685e-06)	(38, 0.0009439138674629916)	(40, 7.93707250803455e-06)	(42, 0.0007248737364284025)	(44, 0.0005267448956382203)	(46, 5.57098597080489e-05)	(48, 0.001572028743140904)	(50, 0.0005710414726257094)	(52, 0.05388506148426248)	(54, 0.0)	(56, 0.0)	(58, 0.0006520522840957483)	(60, 0.0)	(62, 1.425853954627331e-05)	(64, 2.047970095049159e-06)	(66, 2.0608257671145707e-06)	(68, 0.0)	(70, 7.752340300585052e-05)	(72, 8.468958588465122e-06)	(74, 6.436362461434926e-06)	(76, 2.6188952242874248e-05)	(78, 4.445489924886113e-06)	(80, 0.000600460619005562)	(82, 0.5353398866445691)	(84, 0.0009722100498843105)	(86, 0.00027597880482778923)	(88, 1.7382620811014982e-05)	(90, 0.0006524138378151904)	(92, 0.0003665121971567724)	(94, 2.9834789311735552e-05)	(96, 0.0)	(98, 0.0006291517430897776)	(100, 0.00015205893224941864)
PM2486_S27_R2	(1, 0.22225480095398129)	(2, 0.2479877748969097)	(3, 0.014795073969033627)	(4, 0.01688998674462752)	(5, 0.01519504786380675)	(6, 0.014521824476564854)	(7, 0.014561425852284968)	(8, 0.014521824476564854)	(9, 0.014557465714712956)	(10, 0.016167261637735485)	(12, 0.0151415860065846)	(14, 0.01504258256728432)	(16, 0.014563405921070973)	(18, 0.014773293212387564)	(20, 0.015606902171295909)	(22, 0.017367183322054863)	(24, 0.019246268599974147)	(26, 0.5933375120704993)	(28, 0.023681622680626627)	(30, 0.030277231806811182)	(32, 0.03980136266749798)	(34, 0.05216095202974475)	(36, 0.00010303516225501805)	(38, 4.9549677664481885e-05)	(40, 0.0)	(42, 0.0010713198452180894)	(44, 0.0004744395117513208)	(46, 0.0)	(48, 0.0019185359038188846)	(50, 3.3845105842405877e-05)	(52, 0.0)	(54, 3.9956308575698646e-05)	(56, 0.0010426902609527507)	(58, 0.00031891574743381137)	(60, 4.022694837464523e-06)	(62, 4.03629012304469e-06)	(64, 0.001150576119594123)	(66, 0.00033361952735307853)	(68, 0.0)	(70, 0.05408031467903368)	(72, 0.0005847687158856403)	(74, 0.001538575285147193)	(76, 3.818101163687236e-05)	(78, 9.048272923831767e-05)	(80, 6.791716480803311e-05)	(82, 0.00013827010538769018)	(84, 2.2755618470289504e-06)	(86, 5.109058662908258e-05)	(88, 0.00018519670941536984)	(90, 0.0002632615443477966)	(92, 0.0)	(94, 0.00047634312669053534)	(96, 0.0002358339826275679)	(98, 0.00037945855142390437)	(100, 0.00036279558726443783)
PM2494_S26_R1	(1, 0.015707589225281815)	(2, 0.22413759710556538)	(3, 0.014902601078388268)	(4, 0.015133089137541548)	(5, 0.014833798672670867)	(6, 0.016233927629019904)	(7, 0.014623951335232806)	(8, 0.014623951335232806)	(9, 0.015146849618685027)	(10, 0.062231775971385905)	(12, 0.014623951335232806)	(14, 0.01484067891324261)	(16, 0.014623951335232806)	(18, 0.08804127841612458)	(20, 0.014641151936662156)	(22, 0.06098645242790102)	(24, 0.01797462849367006)	(26, 0.09390840356367565)	(28, 0.03423607708497692)	(30, 0.04621801604066167)	(32, 0.14819178161455923)	(34, 0.09335282413750766)	(36, 0.0)	(38, 0.0005601090506470423)	(40, 8.626152686905093e-06)	(42, 0.0003386256491030411)	(44, 0.0002162921078557034)	(46, 0.000878863534802658)	(48, 0.027463847698622396)	(50, 0.05758703208789673)	(52, 0.07516554456581785)	(54, 0.028083861282565674)	(56, 0.00036859639223905515)	(58, 0.0002730132181504935)	(60, 0.00023060944119410222)	(62, 0.05660817063726794)	(64, 0.00019577098501350737)	(66, 0.0)	(68, 0.0)	(70, 8.606373802198147e-05)	(72, 0.029237603023956785)	(74, 0.11269484998329615)	(76, 6.290787368367371e-06)	(78, 4.312813355540872e-06)	(80, 0.00029261519062992957)	(82, 0.2722798112772362)	(84, 0.02874167736005363)	(86, 0.00011656216787370838)	(88, 1.0038238914452798e-05)	(90, 0.08205861038588964)	(92, 0.00018045479564275465)	(94, 0.000477558604909158)	(96, 0.05615365733065493)	(98, 0.00034129902300160815)	(100, 7.354516178556621e-05)
PM2494_S26_R2	(1, 0.13256159509570947)	(2, 0.2196654407339345)	(3, 0.013550633806041408)	(4, 0.015291334670691561)	(5, 0.012019780278829318)	(6, 0.012786927102578297)	(7, 0.11063426839357493)	(8, 0.011744570655959729)	(9, 0.011761771257389078)	(10, 0.012749085779433728)	(12, 0.012061061722259757)	(14, 0.0120731021432603)	(16, 0.011902816189109742)	(18, 0.011880455407251588)	(20, 0.012248548277839664)	(22, 0.013509352362610971)	(24, 0.016003439569866624)	(26, 0.3068862504618792)	(28, 0.024249407895096695)	(30, 0.09181509036972384)	(32, 0.13022231330131795)	(34, 0.067992257390075)	(36, 0.00011535484562319268)	(38, 1.7225005754443795e-05)	(40, 0.0)	(42, 0.0005642769222645555)	(44, 0.00023494888505611242)	(46, 0.05508453335278979)	(48, 0.05786451345874262)	(50, 0.00023828800124424605)	(52, 0.00018525264187307057)	(54, 0.08807830234291059)	(56, 0.0010320512058292228)	(58, 0.00022015510779557518)	(60, 0.0002344296522515277)	(62, 0.055586140669193616)	(64, 0.03095127652713066)	(66, 0.053145126327010524)	(68, 0.11153559039213104)	(70, 0.027543303543298106)	(72, 0.0007910157465761756)	(74, 0.0008870454942290687)	(76, 6.35649639294653e-05)	(78, 0.0002845172924326448)	(80, 2.495985363541828e-05)	(82, 0.029725578707077094)	(84, 0.0)	(86, 2.4708223397649813e-05)	(88, 0.00021468406204683342)	(90, 0.00010710518416938727)	(92, 0.0)	(94, 0.00022700227355388199)	(96, 0.08299730389057414)	(98, 0.00024828398657614843)	(100, 0.0002157030542777303)
PM2497_S12_R1	(1, 0.017694419278162413)	(2, 0.2261143744566768)	(3, 0.016934780766684393)	(4, 0.0172536413764406)	(5, 0.016859754740859403)	(6, 0.018048448337524083)	(7, 0.016655777733147713)	(8, 0.016655777733147713)	(9, 0.01720909467360701)	(10, 0.06296910901858314)	(12, 0.016655777733147713)	(14, 0.016862099304166437)	(16, 0.016655777733147713)	(18, 0.08959514221487988)	(20, 0.016675706521257477)	(22, 0.06441101545240717)	(24, 0.019973334812596475)	(26, 0.09335933860431804)	(28, 0.03239952033986039)	(30, 0.03821169277799007)	(32, 0.1287059750211163)	(34, 0.06070074401903073)	(36, 0.0)	(38, 0.0005644109336371843)	(40, 5.868943027775501e-06)	(42, 0.0003616765464643276)	(44, 0.00023142923695125602)	(46, 0.0009567105967251985)	(48, 0.02785350528754375)	(50, 0.05563111787013395)	(52, 0.07304956384957262)	(54, 0.027854979485964538)	(56, 0.0004176417605983015)	(58, 0.00029289483379759735)	(60, 0.0002747740964392846)	(62, 0.05521620319524561)	(64, 0.0001811152431374385)	(66, 0.0)	(68, 0.0)	(70, 0.00012460745901715645)	(72, 0.02981006413692415)	(74, 0.1100635354147787)	(76, 1.135175142388802e-05)	(78, 2.5586820290276845e-06)	(80, 0.0002819922442776399)	(82, 0.27308908134503945)	(84, 0.02818725863952346)	(86, 0.00011693456398203297)	(88, 9.851166327430027e-06)	(90, 0.08099721437624881)	(92, 0.00019843290133602205)	(94, 0.000513916399972437)	(96, 0.05505718015564195)	(98, 0.0003609546443503273)	(100, 8.47471153141286e-05)
PM2497_S12_R2	(1, 0.12892284712701665)	(2, 0.2204405312536619)	(3, 0.013178790348820846)	(4, 0.014890321562953423)	(5, 0.01187286858680462)	(6, 0.012653608168045918)	(7, 0.11334087938848912)	(8, 0.011572764483504661)	(9, 0.011605588369803094)	(10, 0.012587960395449052)	(12, 0.01195023917593664)	(14, 0.011820115912396423)	(16, 0.011716955126887063)	(18, 0.011706404592005424)	(20, 0.01207450103120928)	(22, 0.013435520030940734)	(24, 0.015386196702390465)	(26, 0.30560913794486744)	(28, 0.019879552280315238)	(30, 0.08370208234265765)	(32, 0.11025543407643641)	(34, 0.03733248153785347)	(36, 8.444308058444228e-05)	(38, 1.6421613381522323e-05)	(40, 0.0)	(42, 0.0005937870372464184)	(44, 0.0002288896163274781)	(46, 0.05306557549490993)	(48, 0.05712522645325193)	(50, 0.00024331997052184435)	(52, 0.00015766686549164376)	(54, 0.08955740199582982)	(56, 0.0010811408976890901)	(58, 0.0002078116272612724)	(60, 0.0002508306250231826)	(62, 0.05714630546756676)	(64, 0.031095323119918836)	(66, 0.05352223864773096)	(68, 0.11016665410473825)	(70, 0.026883008248736143)	(72, 0.0008160192657177345)	(74, 0.0008820873088552231)	(76, 0.00010612685644254683)	(78, 0.00022994079886707168)	(80, 1.901876462321114e-05)	(82, 0.030047330827658168)	(84, 1.3122101786988818e-06)	(86, 1.7395979269987632e-05)	(88, 0.00024609461854096815)	(90, 0.00012880011617770479)	(92, 0.0)	(94, 0.00023727878432617115)	(96, 0.08225191157922535)	(98, 0.0002461140795554296)	(100, 0.0002541006827271693)
PM2524_S24_R1	(1, 0.016475379812852204)	(2, 0.22546576835381246)	(3, 0.015750453895678234)	(4, 0.015959876938417383)	(5, 0.015653797106721705)	(6, 0.016960965109752865)	(7, 0.015439771359746534)	(8, 0.015439771359746534)	(9, 0.016033520206193783)	(10, 0.06275902293426261)	(12, 0.015439771359746534)	(14, 0.01564344102219065)	(16, 0.015439771359746534)	(18, 0.08809115637328631)	(20, 0.015451278120336597)	(22, 0.0637060293308248)	(24, 0.018767526522392754)	(26, 0.09313456953991092)	(28, 0.02981286601279423)	(30, 0.03442132362911446)	(32, 0.1256204560377768)	(34, 0.05412204843536132)	(36, 3.4543865527640278e-06)	(38, 0.000538995178238968)	(40, 3.456146779512317e-06)	(42, 0.00035266644239693274)	(44, 0.00022367830392628523)	(46, 0.0009055077410299538)	(48, 0.02792991658238751)	(50, 0.05657589066588388)	(52, 0.07437117264190318)	(54, 0.027874981564732466)	(56, 0.000374558328472579)	(58, 0.0003077908150481973)	(60, 0.00023392490458918884)	(62, 0.055451124322143976)	(64, 0.00020585787291738504)	(66, 1.1732750287604908e-06)	(68, 0.0)	(70, 0.00010292617701584645)	(72, 0.02951645961015959)	(74, 0.11080354176530749)	(76, 7.254590795737928e-06)	(78, 8.55179462830993e-06)	(80, 0.0002791150531268333)	(82, 0.27215354112950674)	(84, 0.02860745301273332)	(86, 0.00012848146878370552)	(88, 1.0450166935538575e-05)	(90, 0.08231528337569533)	(92, 0.00018893148818220629)	(94, 0.000455989330459501)	(96, 0.055389894777906026)	(98, 0.00033609570590564374)	(100, 9.064222207884638e-05)
PM2524_S24_R2	(1, 0.1298238756813268)	(2, 0.2217697968522842)	(3, 0.012995735410417153)	(4, 0.014473203470181242)	(5, 0.011428514618050572)	(6, 0.012194864873348768)	(7, 0.11495253829472939)	(8, 0.011099421265174771)	(9, 0.011138544251180984)	(10, 0.012106262816805283)	(12, 0.01145382949134871)	(14, 0.011402049068693427)	(16, 0.011262817265553665)	(18, 0.0112328996880195)	(20, 0.011645992393202763)	(22, 0.012886421184811554)	(24, 0.014955336738904881)	(26, 0.3051915097781229)	(28, 0.018733006240622564)	(30, 0.0816795893725032)	(32, 0.10945230673267926)	(34, 0.03497249746137848)	(36, 0.00012432744464450034)	(38, 1.957258539346308e-05)	(40, 0.0)	(42, 0.0005563387299802717)	(44, 0.000254622551447005)	(46, 0.05377051674184574)	(48, 0.05730749938716048)	(50, 0.000245727567660134)	(52, 0.00018473270978038698)	(54, 0.08945448352194084)	(56, 0.0009933478190967684)	(58, 0.00023731571248347097)	(60, 0.00025617894931901725)	(62, 0.05696473501512256)	(64, 0.030767080672883605)	(66, 0.054670358240610714)	(68, 0.1110730997552195)	(70, 0.02708848040540335)	(72, 0.0007448440728356308)	(74, 0.0009163279110762289)	(76, 8.813166690007664e-05)	(78, 0.0002643400639760629)	(80, 1.9410727908969024e-05)	(82, 0.02970562381368727)	(84, 0.0)	(86, 1.6341527876289607e-05)	(88, 0.0002245315719647991)	(90, 0.0001285802070928401)	(92, 0.0)	(94, 0.00025111681842335547)	(96, 0.08296964784696297)	(98, 0.00023194826144898767)	(100, 0.00026805617327209)
