Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
PM2469_S1_R1	(1, 33.00844494829588)	(2, 33.276573779586435)	(3, 33.43417238381075)	(4, 33.49944947721585)	(5, 33.509201529472435)	(6, 36.91866918898679)	(7, 36.88832140514825)	(8, 36.66233645407276)	(9, 36.61664846139621)	(10, 36.5936562959798)	(12, 36.43115490330532)	(14, 36.46800145182725)	(16, 36.42712596783697)	(18, 36.38645321130633)	(20, 36.36080284668405)	(22, 36.356580717115364)	(24, 36.30240504831575)	(26, 36.10980282026631)	(28, 35.95261989347907)	(30, 35.93733217554704)	(32, 35.86301504547872)	(34, 35.885005863590266)	(36, 35.79296693838425)	(38, 35.71341512703431)	(40, 35.68142518477944)	(42, 35.55590587518961)	(44, 35.425134563747605)	(46, 35.45950655699585)	(48, 35.46598630672778)	(50, 35.369482785415265)	(52, 35.18215017672509)	(54, 35.20312197025782)	(56, 35.150204507128535)	(58, 35.07435653682983)	(60, 34.946806031546714)	(62, 34.824887705433525)	(64, 34.68441962915968)	(66, 34.699200499761)	(68, 34.5545893696342)	(70, 34.516444978033505)	(72, 34.3843686276326)	(74, 34.50637257139137)	(76, 32.494077989085135)												
PM2469_S1_R2	(1, 32.78727583683943)	(2, 32.62617952349284)	(3, 32.649091746522906)	(4, 32.67145195359207)	(5, 32.67280546089198)	(6, 35.72218251903513)	(7, 35.5773558596276)	(8, 35.50258445924604)	(9, 35.65210819329058)	(10, 35.44733565579749)	(12, 35.364923440233305)	(14, 35.42646437567409)	(16, 35.42325680228157)	(18, 35.418700430838925)	(20, 35.26668159843423)	(22, 35.142349364308714)	(24, 35.139991293630914)	(26, 35.14661640403985)	(28, 34.97553004903362)	(30, 35.11172936286148)	(32, 35.01792903275455)	(34, 35.10876552185953)	(36, 34.81643572528539)	(38, 34.92709261386345)	(40, 34.73456524332863)	(42, 34.62590958830917)	(44, 34.442021235617446)	(46, 34.561654143134376)	(48, 34.26576554556881)	(50, 34.32823574192097)	(52, 34.23265144900408)	(54, 34.117968028328754)	(56, 34.08641445988003)	(58, 34.00274601619399)	(60, 33.73296305745464)	(62, 33.66248700267661)	(64, 33.400041781222185)	(66, 33.36953672362489)	(68, 33.30848568830654)	(70, 33.216669757391074)	(72, 32.78083610021446)	(74, 32.784467365380365)	(76, 30.210618648105434)												
PM2486_S27_R1	(1, 36.70549240984192)	(2, 37.87924590109921)	(3, 38.2940138402056)	(4, 38.2756654931987)	(5, 38.159703319165544)	(6, 38.38862319005872)	(7, 38.32099053495439)	(8, 38.665131242127245)	(9, 38.6513943961202)	(10, 38.675719382750785)	(12, 38.77846039989153)	(14, 38.78913522792651)	(16, 38.962126353099805)	(18, 38.95425597568919)	(20, 39.02562985196056)	(22, 39.00063247357163)	(24, 39.02775426776106)	(26, 38.37243870182255)	(28, 38.37359292351928)	(30, 38.34891192052099)	(32, 38.367430395037985)	(34, 38.36494552751567)	(36, 38.384922662211174)	(38, 38.35493641258287)	(40, 38.3730482220047)	(42, 38.38890539271865)	(44, 38.324214731981996)	(46, 38.34040994187274)	(48, 38.2801114613803)	(50, 38.298241433804414)	(52, 38.26303722375945)	(54, 38.26368811623304)	(56, 38.256052407726045)	(58, 38.23494791699993)	(60, 38.25140571388755)	(62, 38.212341279687664)	(64, 38.17212339515082)	(66, 38.19277374602025)	(68, 38.128457389711365)	(70, 38.0888220998499)	(72, 38.094960089965696)	(74, 38.02064253829673)	(76, 38.06610595221178)	(78, 37.98215822650445)	(80, 37.96863494583721)	(82, 37.74297227165752)	(84, 37.881242399219545)	(86, 37.88412798369187)	(88, 37.82085089856423)	(90, 37.795192328416285)	(92, 37.78123151519476)	(94, 37.74855520909719)	(96, 37.77853718085109)	(98, 37.64508792754265)	(100, 37.331780663256)
PM2486_S27_R2	(1, 37.13875569626188)	(2, 37.60399867763086)	(3, 38.09180533484389)	(4, 38.099093017612155)	(5, 38.125665065503846)	(6, 38.1070475083448)	(7, 38.12583962836802)	(8, 38.16954449864025)	(9, 38.18835412247153)	(10, 38.21199824264935)	(12, 38.210714841265016)	(14, 38.194765228788235)	(16, 38.124678872444285)	(18, 38.151043092316186)	(20, 38.138743499038156)	(22, 38.12442249313787)	(24, 38.13796889612908)	(26, 37.079141092098226)	(28, 37.317181516232125)	(30, 37.335876810891705)	(32, 37.34394970973776)	(34, 37.339380344601665)	(36, 37.34341101994953)	(38, 37.37032009262845)	(40, 37.36533756199052)	(42, 37.35987386107661)	(44, 37.40373725200435)	(46, 37.38728902428388)	(48, 37.372219929581625)	(50, 37.3966271058582)	(52, 37.36846523017283)	(54, 37.37143993564409)	(56, 37.3700283263251)	(58, 37.36351044645204)	(60, 37.40519892485257)	(62, 37.38088864963832)	(64, 37.37429255899574)	(66, 37.32098910720784)	(68, 37.35531228723011)	(70, 37.32139354710688)	(72, 37.27483382888865)	(74, 37.25124882740809)	(76, 37.20144032177926)	(78, 37.13868798944837)	(80, 37.10351722043685)	(82, 37.04411740991978)	(84, 36.999282969745906)	(86, 36.89892336070441)	(88, 36.87558225514111)	(90, 36.78102532421555)	(92, 36.6751848812285)	(94, 36.58346079862923)	(96, 36.456611881070614)	(98, 36.363877241348575)	(100, 35.956342259761094)
PM2494_S26_R1	(1, 36.63740048549042)	(2, 37.85561533070341)	(3, 38.16889538872861)	(4, 38.22318771109223)	(5, 38.11221417803606)	(6, 38.34391419156606)	(7, 38.2882868961243)	(8, 38.64764254921032)	(9, 38.61662890159952)	(10, 38.633679238574786)	(12, 38.75029443129496)	(14, 38.77243869198233)	(16, 38.928795186280965)	(18, 38.893255200404035)	(20, 38.984743444945394)	(22, 38.92794616459442)	(24, 38.95597110450325)	(26, 38.25568625222322)	(28, 38.273025559302496)	(30, 38.24242211163458)	(32, 38.218813563747545)	(34, 38.24516997651533)	(36, 38.26504299495697)	(38, 38.20506385237174)	(40, 38.20566713425583)	(42, 38.24271688503596)	(44, 38.165936739109014)	(46, 38.18343256781222)	(48, 38.15133815498375)	(50, 38.13809402663884)	(52, 38.10508835890851)	(54, 38.09224243583989)	(56, 38.083569036454676)	(58, 38.0709283445727)	(60, 38.07415489287055)	(62, 38.026397292281686)	(64, 38.00886022682565)	(66, 38.01811433151518)	(68, 37.96704973718825)	(70, 37.967926381774134)	(72, 37.93080182755161)	(74, 37.85867279234509)	(76, 37.91235068612911)	(78, 37.850026148776905)	(80, 37.82279737690786)	(82, 37.67280897349705)	(84, 37.761665448343166)	(86, 37.76136458947617)	(88, 37.67996358594222)	(90, 37.62160133349989)	(92, 37.59574967267308)	(94, 37.57410354849141)	(96, 37.54274037020619)	(98, 37.4963586795878)	(100, 37.22561004566357)
PM2494_S26_R2	(1, 37.01502042519818)	(2, 37.616884880949996)	(3, 37.977764713729876)	(4, 37.99809609982899)	(5, 38.00394753802804)	(6, 37.94387319909273)	(7, 37.94073188765489)	(8, 38.05252410053669)	(9, 38.08133600236212)	(10, 38.08398709665923)	(12, 38.08107703010701)	(14, 38.0763656821719)	(16, 38.01113835265918)	(18, 38.01249276241693)	(20, 37.99998957643554)	(22, 37.974411834894454)	(24, 37.98106028016133)	(26, 36.984529400661216)	(28, 37.10299592851444)	(30, 37.09242667495415)	(32, 37.08198126572414)	(34, 37.116378443642105)	(36, 37.122024225902386)	(38, 37.169771044242026)	(40, 37.164205393727045)	(42, 37.161142166146774)	(44, 37.197915794395286)	(46, 37.17634039878985)	(48, 37.15872792888251)	(50, 37.1975145838594)	(52, 37.16868516314557)	(54, 37.1151662861309)	(56, 37.15486624539693)	(58, 37.13790694982427)	(60, 37.15203310991387)	(62, 37.07957984136272)	(64, 37.08247455779926)	(66, 37.01818866801733)	(68, 36.98871888689503)	(70, 36.99208300894895)	(72, 36.91504886557695)	(74, 36.87522444118922)	(76, 36.795572965438495)	(78, 36.69205732758883)	(80, 36.60632147009282)	(82, 36.517669988990264)	(84, 36.43686139181756)	(86, 36.32669453950413)	(88, 36.23318456595739)	(90, 36.075256408268245)	(92, 35.91438558425454)	(94, 35.79944460779885)	(96, 35.61566240129288)	(98, 35.529714865377514)	(100, 35.14094505149104)
PM2497_S12_R1	(1, 36.72493620794926)	(2, 37.880188125884104)	(3, 38.21331892020856)	(4, 38.20441464389858)	(5, 38.16962667002658)	(6, 38.351465326276696)	(7, 38.312430879343005)	(8, 38.67537968913248)	(9, 38.640105359048064)	(10, 38.655962179943074)	(12, 38.7607698570562)	(14, 38.76381661707369)	(16, 38.94301796784225)	(18, 38.90959532696647)	(20, 38.990817025449715)	(22, 38.9610789127022)	(24, 38.97018733013932)	(26, 38.29034957110669)	(28, 38.323062254767464)	(30, 38.297045808031)	(32, 38.27806377803025)	(34, 38.304745869735214)	(36, 38.303906455835495)	(38, 38.27220895168035)	(40, 38.272691329551506)	(42, 38.268405254931324)	(44, 38.21672858145683)	(46, 38.20395113150841)	(48, 38.17052952261699)	(50, 38.16004835003493)	(52, 38.119373718547706)	(54, 38.078361856078615)	(56, 38.10809936648578)	(58, 38.085468444562515)	(60, 38.09023228178565)	(62, 38.03787629789072)	(64, 38.004517635262616)	(66, 37.97899552417854)	(68, 37.944009430291786)	(70, 37.92515556082473)	(72, 37.88072957965919)	(74, 37.80425006198398)	(76, 37.86005287505392)	(78, 37.75759243403185)	(80, 37.715912835384984)	(82, 37.573320386719914)	(84, 37.60981835649265)	(86, 37.634715611844676)	(88, 37.56824339099113)	(90, 37.5026505514393)	(92, 37.49171908441867)	(94, 37.457969481567346)	(96, 37.41109580381243)	(98, 37.340299422324065)	(100, 36.995369207014875)
PM2497_S12_R2	(1, 37.61950044577182)	(2, 38.10356208096499)	(3, 38.435118079007374)	(4, 38.503443905596065)	(5, 38.52363692599053)	(6, 38.52810261572143)	(7, 38.49041380745218)	(8, 38.5678523889201)	(9, 38.62358406546621)	(10, 38.634809131211284)	(12, 38.66302937367382)	(14, 38.66468278316358)	(16, 38.59811664511935)	(18, 38.5951701620745)	(20, 38.592523759687325)	(22, 38.5985098752772)	(24, 38.60940712418069)	(26, 37.82179274407361)	(28, 37.96826736724719)	(30, 37.93207291329294)	(32, 37.90838928360134)	(34, 37.9360398909628)	(36, 37.92999220706433)	(38, 37.93718071356655)	(40, 37.92309624258182)	(42, 37.91998338641723)	(44, 37.91978620849896)	(46, 37.89876359911784)	(48, 37.881580912507104)	(50, 37.902954481800336)	(52, 37.87839265860021)	(54, 37.81558986185857)	(56, 37.85262735134391)	(58, 37.83577018379282)	(60, 37.84760232609071)	(62, 37.79467881707217)	(64, 37.789766451261706)	(66, 37.73941034384288)	(68, 37.70318975144464)	(70, 37.73224841297114)	(72, 37.69431074965944)	(74, 37.6457147162669)	(76, 37.6191792446121)	(78, 37.561940953265534)	(80, 37.5218198045055)	(82, 37.45952356968861)	(84, 37.43019748319817)	(86, 37.356344052239024)	(88, 37.293439306545146)	(90, 37.223113088287135)	(92, 37.12949152549704)	(94, 37.05127042261931)	(96, 36.90529850090179)	(98, 36.8510157382414)	(100, 36.50524205441075)
PM2524_S24_R1	(1, 36.705571407780354)	(2, 37.89285516698197)	(3, 38.2696183133869)	(4, 38.25706383923159)	(5, 38.16299225116331)	(6, 38.381775169128666)	(7, 38.31213648417282)	(8, 38.67187013120193)	(9, 38.64631932328465)	(10, 38.64757979685321)	(12, 38.78105865695484)	(14, 38.79101768920498)	(16, 38.95956179125834)	(18, 38.91916160085367)	(20, 39.0074088349276)	(22, 38.958673193178534)	(24, 39.00553594854692)	(26, 38.33663104050849)	(28, 38.328601899131)	(30, 38.30369112025126)	(32, 38.28012695454986)	(34, 38.31049587326141)	(36, 38.32353435865153)	(38, 38.25165384184783)	(40, 38.26950828457116)	(42, 38.27996511792699)	(44, 38.195240656613535)	(46, 38.20597285352008)	(48, 38.12529518389439)	(50, 38.12093152163952)	(52, 38.06117539181717)	(54, 38.0555116876129)	(56, 38.02386376679183)	(58, 38.01420960104859)	(60, 38.030333118759586)	(62, 37.968404919610826)	(64, 37.91988269600587)	(66, 37.97830007945082)	(68, 37.89585840838023)	(70, 37.855688153711604)	(72, 37.80983982922055)	(74, 37.72453910887672)	(76, 37.82902224346455)	(78, 37.711628401673934)	(80, 37.71459687751107)	(82, 37.599264701297855)	(84, 37.61235545655361)	(86, 37.64974313972378)	(88, 37.57024885313537)	(90, 37.52671965019779)	(92, 37.48879725656748)	(94, 37.48234857323922)	(96, 37.520501303798056)	(98, 37.40490524224242)	(100, 37.006904197338244)
PM2524_S24_R2	(1, 36.752176779927865)	(2, 37.672917522577876)	(3, 38.050688062858946)	(4, 38.070288770902145)	(5, 38.12713976267904)	(6, 38.09565188054068)	(7, 38.05608017689849)	(8, 38.158448875784885)	(9, 38.218060937778894)	(10, 38.245034970886515)	(12, 38.2437643253416)	(14, 38.24920281162632)	(16, 38.17352807129478)	(18, 38.20044095747663)	(20, 38.1842581025315)	(22, 38.16656470909666)	(24, 38.1830564745366)	(26, 37.248207960119224)	(28, 37.376874209658155)	(30, 37.37973046379886)	(32, 37.374702193529174)	(34, 37.40434763617537)	(36, 37.400377951188446)	(38, 37.44434086936897)	(40, 37.43408284454072)	(42, 37.41310599208808)	(44, 37.4479051314334)	(46, 37.40364602875147)	(48, 37.39586490162787)	(50, 37.41872406525145)	(52, 37.380192266777634)	(54, 37.32952040026399)	(56, 37.38851488596488)	(58, 37.35949878220201)	(60, 37.42054851633727)	(62, 37.368841914350675)	(64, 37.38249710014353)	(66, 37.31010694720361)	(68, 37.353756714204394)	(70, 37.396765134562685)	(72, 37.337813022845594)	(74, 37.32974571239292)	(76, 37.286524880411235)	(78, 37.20483916284405)	(80, 37.23299409357769)	(82, 37.18693825567718)	(84, 37.19193442039673)	(86, 37.089849143256984)	(88, 37.105407778945775)	(90, 37.0308342582641)	(92, 36.96899330329587)	(94, 36.93110818093822)	(96, 36.779558496725414)	(98, 36.7360532290005)	(100, 36.33984311361441)
