Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
PM2469_S1_R1	(2.0, 648.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 6.0)	(19.0, 20.0)	(20.0, 76.0)	(21.0, 294.0)	(22.0, 919.0)	(23.0, 2317.0)	(24.0, 5313.0)	(25.0, 10862.0)	(26.0, 20686.0)	(27.0, 35467.0)	(28.0, 56319.0)	(29.0, 85178.0)	(30.0, 122156.0)	(31.0, 164888.0)	(32.0, 216470.0)	(33.0, 279048.0)	(34.0, 361751.0)	(35.0, 494939.0)	(36.0, 800081.0)	(37.0, 1695695.0)			
PM2469_S1_R2	(2.0, 626.0)	(3.0, 0.0)	(4.0, 1.0)	(5.0, 4.0)	(6.0, 13.0)	(7.0, 12.0)	(8.0, 15.0)	(9.0, 18.0)	(10.0, 23.0)	(11.0, 27.0)	(12.0, 31.0)	(13.0, 131.0)	(14.0, 585.0)	(15.0, 1639.0)	(16.0, 3349.0)	(17.0, 4934.0)	(18.0, 6334.0)	(19.0, 8148.0)	(20.0, 10847.0)	(21.0, 14406.0)	(22.0, 20063.0)	(23.0, 27241.0)	(24.0, 37130.0)	(25.0, 49334.0)	(26.0, 64382.0)	(27.0, 81584.0)	(28.0, 102768.0)	(29.0, 126400.0)	(30.0, 155652.0)	(31.0, 189176.0)	(32.0, 231717.0)	(33.0, 286814.0)	(34.0, 363214.0)	(35.0, 493720.0)	(36.0, 800131.0)	(37.0, 1272666.0)			
PM2486_S27_R1	(2.0, 4926.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 17.0)	(16.0, 217.0)	(17.0, 1434.0)	(18.0, 8296.0)	(19.0, 36567.0)	(20.0, 88956.0)	(21.0, 121228.0)	(22.0, 126950.0)	(23.0, 114354.0)	(24.0, 110509.0)	(25.0, 107732.0)	(26.0, 113217.0)	(27.0, 120531.0)	(28.0, 139760.0)	(29.0, 155084.0)	(30.0, 180168.0)	(31.0, 207037.0)	(32.0, 253705.0)	(33.0, 300524.0)	(34.0, 390573.0)	(35.0, 540883.0)	(36.0, 839987.0)	(37.0, 1243890.0)	(38.0, 2264761.0)	(39.0, 9146427.0)	(40.0, 8633914.0)
PM2486_S27_R2	(2.0, 3667.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 7.0)	(14.0, 333.0)	(15.0, 6554.0)	(16.0, 54167.0)	(17.0, 170409.0)	(18.0, 288477.0)	(19.0, 324896.0)	(20.0, 298401.0)	(21.0, 234317.0)	(22.0, 171958.0)	(23.0, 126487.0)	(24.0, 110345.0)	(25.0, 102148.0)	(26.0, 103822.0)	(27.0, 108469.0)	(28.0, 121084.0)	(29.0, 130531.0)	(30.0, 147485.0)	(31.0, 169349.0)	(32.0, 207954.0)	(33.0, 251302.0)	(34.0, 333455.0)	(35.0, 473516.0)	(36.0, 734981.0)	(37.0, 1060800.0)	(38.0, 1938677.0)	(39.0, 7423816.0)	(40.0, 10154241.0)
PM2494_S26_R1	(2.0, 4251.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 14.0)	(16.0, 231.0)	(17.0, 1704.0)	(18.0, 10963.0)	(19.0, 48044.0)	(20.0, 113984.0)	(21.0, 151286.0)	(22.0, 155997.0)	(23.0, 144201.0)	(24.0, 139824.0)	(25.0, 136737.0)	(26.0, 142904.0)	(27.0, 149839.0)	(28.0, 171366.0)	(29.0, 190988.0)	(30.0, 222459.0)	(31.0, 253911.0)	(32.0, 307902.0)	(33.0, 359559.0)	(34.0, 463199.0)	(35.0, 634173.0)	(36.0, 980992.0)	(37.0, 1434413.0)	(38.0, 2591978.0)	(39.0, 10547874.0)	(40.0, 9709958.0)
PM2494_S26_R2	(2.0, 3414.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 14.0)	(14.0, 411.0)	(15.0, 8099.0)	(16.0, 68626.0)	(17.0, 222469.0)	(18.0, 381679.0)	(19.0, 428635.0)	(20.0, 383376.0)	(21.0, 287052.0)	(22.0, 206890.0)	(23.0, 151824.0)	(24.0, 131003.0)	(25.0, 120850.0)	(26.0, 122372.0)	(27.0, 127648.0)	(28.0, 143452.0)	(29.0, 156223.0)	(30.0, 178368.0)	(31.0, 206285.0)	(32.0, 256751.0)	(33.0, 316101.0)	(34.0, 421711.0)	(35.0, 591927.0)	(36.0, 904304.0)	(37.0, 1282483.0)	(38.0, 2304079.0)	(39.0, 8241695.0)	(40.0, 11421010.0)
PM2497_S12_R1	(2.0, 7104.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 113.0)	(17.0, 1196.0)	(18.0, 11501.0)	(19.0, 58497.0)	(20.0, 148936.0)	(21.0, 211919.0)	(22.0, 224805.0)	(23.0, 208124.0)	(24.0, 208494.0)	(25.0, 212575.0)	(26.0, 230575.0)	(27.0, 244182.0)	(28.0, 271701.0)	(29.0, 297183.0)	(30.0, 341297.0)	(31.0, 391668.0)	(32.0, 474830.0)	(33.0, 561320.0)	(34.0, 717537.0)	(35.0, 981055.0)	(36.0, 1500129.0)	(37.0, 2187492.0)	(38.0, 3978472.0)	(39.0, 16125374.0)	(40.0, 13055786.0)
PM2497_S12_R2	(2.0, 4936.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 6.0)	(14.0, 279.0)	(15.0, 4746.0)	(16.0, 36412.0)	(17.0, 117305.0)	(18.0, 225225.0)	(19.0, 313220.0)	(20.0, 363557.0)	(21.0, 332427.0)	(22.0, 268204.0)	(23.0, 212562.0)	(24.0, 192953.0)	(25.0, 180637.0)	(26.0, 184987.0)	(27.0, 194628.0)	(28.0, 219702.0)	(29.0, 233448.0)	(30.0, 262403.0)	(31.0, 298632.0)	(32.0, 363581.0)	(33.0, 437138.0)	(34.0, 568905.0)	(35.0, 792205.0)	(36.0, 1221994.0)	(37.0, 1778500.0)	(38.0, 3324545.0)	(39.0, 13558399.0)	(40.0, 16960330.0)
PM2524_S24_R1	(2.0, 6709.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 21.0)	(16.0, 362.0)	(17.0, 2179.0)	(18.0, 13186.0)	(19.0, 59060.0)	(20.0, 150217.0)	(21.0, 217768.0)	(22.0, 235548.0)	(23.0, 219150.0)	(24.0, 216177.0)	(25.0, 216506.0)	(26.0, 230498.0)	(27.0, 246048.0)	(28.0, 283029.0)	(29.0, 311871.0)	(30.0, 352687.0)	(31.0, 397089.0)	(32.0, 478850.0)	(33.0, 566904.0)	(34.0, 730394.0)	(35.0, 1006190.0)	(36.0, 1566660.0)	(37.0, 2346337.0)	(38.0, 4185494.0)	(39.0, 15775452.0)	(40.0, 13638330.0)
PM2524_S24_R2	(2.0, 4823.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 7.0)	(14.0, 489.0)	(15.0, 10728.0)	(16.0, 88338.0)	(17.0, 279849.0)	(18.0, 461534.0)	(19.0, 509524.0)	(20.0, 474325.0)	(21.0, 382502.0)	(22.0, 288097.0)	(23.0, 218021.0)	(24.0, 193668.0)	(25.0, 180335.0)	(26.0, 185256.0)	(27.0, 193306.0)	(28.0, 215513.0)	(29.0, 231277.0)	(30.0, 259984.0)	(31.0, 298181.0)	(32.0, 364677.0)	(33.0, 440643.0)	(34.0, 585322.0)	(35.0, 839758.0)	(36.0, 1333157.0)	(37.0, 1979401.0)	(38.0, 3707070.0)	(39.0, 13924821.0)	(40.0, 15802110.0)
