Sample	Unique Reads	Duplicate Reads
PM2469_S1_R1	514343.0	3838792.0
PM2469_S1_R2	711856.0	3641279.0
PM2486_S27_R1	7029195.0	18222453.0
PM2486_S27_R2	7841125.0	17410523.0
PM2494_S26_R1	6465262.0	22603489.0
PM2494_S26_R2	7380419.0	21688332.0
PM2497_S12_R1	9414640.0	33237226.0
PM2497_S12_R2	10447419.0	32204447.0
PM2524_S24_R1	9111677.0	34341039.0
PM2524_S24_R2	10507859.0	32944857.0
PM2528_S2_R1	273480.0	4191959.0
PM2528_S2_R2	493334.0	3972105.0
PM2539_S23_R1	5810721.0	26115886.0
PM2539_S23_R2	7000374.0	24926233.0
PM2577_S13_R1	12869912.0	88663817.0
PM2577_S13_R2	14891088.0	86642641.0
PM2601_S14_R1	2994688.0	41331954.0
PM2601_S14_R2	4093537.0	40233105.0
PM2616_S22_R1	3686313.0	20124522.0
PM2616_S22_R2	4843026.0	18967809.0
PM2622_S32_R1	3346818.0	35394342.0
PM2622_S32_R2	3900018.0	34841142.0
PM3050_S3_R1	1436927.0	4771311.0
PM3050_S3_R2	1606066.0	4602172.0
PM3051_S4_R1	529447.0	4076433.0
PM3051_S4_R2	759576.0	3846304.0
PM3153_S5_R1	793842.0	4330096.0
PM3153_S5_R2	1009861.0	4114077.0
PM3183_S6_R1	284638.0	3913009.0
PM3183_S6_R2	479365.0	3718282.0
Undetermined_S0_R1	417573.0	1557273.0
Undetermined_S0_R2	651262.0	1323584.0
