Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PM2469_S1_R1	(1.0, 9.979248978499918)	(2.0, 1.4190055711971077)	(3.0, 0.833884763571627)	(4.0, 0.6162777212661059)	(5.0, 0.49022261361305697)	(6.0, 0.423991955743177)	(7.0, 0.3662205826395023)	(8.0, 0.3299013524151691)	(9.0, 0.29055645930519347)	('>10', 5.601833608086877)	('>50', 3.4854448795990907)	('>100', 12.935520182912425)	('>500', 7.748037491901282)	('>1k', 21.828790918136526)	('>5k', 10.037407481114991)	('>10k+', 23.613655439997956)
PM2469_S1_R2	(1.0, 14.378720085733951)	(2.0, 1.6470586491013202)	(3.0, 0.9000889809606547)	(4.0, 0.629552838462147)	(5.0, 0.5117781233190841)	(6.0, 0.41675383062772964)	(7.0, 0.34823423530609166)	(8.0, 0.32843912209897175)	(9.0, 0.261682031539819)	('>10', 5.392968190077511)	('>50', 3.5186181960725094)	('>100', 15.630209946223719)	('>500', 8.90687994196123)	('>1k', 23.569508033985535)	('>5k', 8.052821932851545)	('>10k+', 15.506685861678198)
PM2486_S27_R1	(1.0, 24.963954004411434)	(2.0, 3.2680608319565945)	(3.0, 1.3484661275363328)	(4.0, 0.8521848203347199)	(5.0, 0.5973983408227755)	(6.0, 0.48485268019586547)	(7.0, 0.385067358361691)	(8.0, 0.32083774955815336)	(9.0, 0.2819681944306224)	('>10', 3.7914206497021112)	('>50', 1.5782021789112481)	('>100', 4.6019734353001756)	('>500', 2.517544744939807)	('>1k', 8.145388994304248)	('>5k', 6.57616829974694)	('>10k+', 40.286511589487326)
PM2486_S27_R2	(1.0, 28.64048314952361)	(2.0, 2.805219775881616)	(3.0, 1.0989119598530375)	(4.0, 0.6584125709235971)	(5.0, 0.5222602836276282)	(6.0, 0.3822318558139917)	(7.0, 0.29284662091013364)	(8.0, 0.259557810014978)	(9.0, 0.24100391972346172)	('>10', 3.0909938722201153)	('>50', 1.3123427130944556)	('>100', 4.192853607743444)	('>500', 2.9260220496032727)	('>1k', 11.658926499919696)	('>5k', 7.571532652928785)	('>10k+', 34.346400658218215)
PM2494_S26_R1	(1.0, 19.829631582706828)	(2.0, 2.631904928747809)	(3.0, 1.1105998939462127)	(4.0, 0.6872508191442713)	(5.0, 0.5432835256709906)	(6.0, 0.407322075856875)	(7.0, 0.3313795008525237)	(8.0, 0.2997043977297615)	(9.0, 0.2448870249046533)	('>10', 3.956632064958926)	('>50', 1.890469687672806)	('>100', 5.677475831976811)	('>500', 3.2895433972863897)	('>1k', 10.586043683137024)	('>5k', 7.690008761838042)	('>10k+', 40.82386282357003)
PM2494_S26_R2	(1.0, 23.242674046331008)	(2.0, 2.4295816626161892)	(3.0, 0.9563644361809136)	(4.0, 0.6031175561209917)	(5.0, 0.4543280445946523)	(6.0, 0.327342135095188)	(7.0, 0.2896038927883506)	(8.0, 0.23919939976725646)	(9.0, 0.2238693114030469)	('>10', 3.2365239917668576)	('>50', 1.4826030823207408)	('>100', 5.001966498705234)	('>500', 3.582736156525875)	('>1k', 14.3012043628637)	('>5k', 8.220821916108315)	('>10k+', 35.40806350681165)
PM2497_S12_R1	(1.0, 19.598449862184665)	(2.0, 2.6921655942875473)	(3.0, 1.1726800672028679)	(4.0, 0.7508743225487731)	(5.0, 0.5554439204759309)	(6.0, 0.43713937556944693)	(7.0, 0.3470146259768703)	(8.0, 0.2954070389120757)	(9.0, 0.2643384829505545)	('>10', 3.7447342832736132)	('>50', 1.6075510263987112)	('>100', 4.85805884265267)	('>500', 3.1095118711774714)	('>1k', 12.296041563226868)	('>5k', 7.711523888202257)	('>10k+', 40.55906523495971)
PM2497_S12_R2	(1.0, 22.196389201620814)	(2.0, 2.571359174642913)	(3.0, 1.0838517147735096)	(4.0, 0.6970224984983274)	(5.0, 0.4954081105912229)	(6.0, 0.3980568844691056)	(7.0, 0.3052333331686437)	(8.0, 0.28400686644054396)	(9.0, 0.2392350597899778)	('>10', 2.964744070505768)	('>50', 1.1486758726372182)	('>100', 3.995463603915588)	('>500', 3.502566895360947)	('>1k', 17.797119168455993)	('>5k', 10.710466055208107)	('>10k+', 31.61040148992127)
PM2524_S24_R1	(1.0, 18.728852883163803)	(2.0, 2.523897406629898)	(3.0, 1.0360452161837639)	(4.0, 0.6509266717530293)	(5.0, 0.4730782536846982)	(6.0, 0.3718146599475319)	(7.0, 0.2858365873267073)	(8.0, 0.26947169395833326)	(9.0, 0.21279636864184243)	('>10', 3.235341283087749)	('>50', 1.518399804484758)	('>100', 4.345252707084301)	('>500', 2.504056596505421)	('>1k', 8.01923394503598)	('>5k', 5.201221817847134)	('>10k+', 50.62377410466515)
PM2524_S24_R2	(1.0, 22.230095940981553)	(2.0, 2.277665768127882)	(3.0, 0.8630861049559356)	(4.0, 0.5350879972963917)	(5.0, 0.3744964740712359)	(6.0, 0.30034281205199376)	(7.0, 0.253106299279919)	(8.0, 0.22435590251581303)	(9.0, 0.17443221008394438)	('>10', 2.701627029967239)	('>50', 1.197444872810765)	('>100', 3.8436827603037487)	('>500', 2.3859450176241555)	('>1k', 10.571717757659764)	('>5k', 7.195469382130967)	('>10k+', 44.871443670138724)
