Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
PM2469_S1_R1	88.18454312946267	50.0	75.37947640034136	76	45.45454545454545	4.353135
PM2469_S1_R2	83.64729209923252	51.0	75.33427242665344	76	36.36363636363637	4.353135
PM2486_S27_R1	72.16342245659189	47.0	94.26050085919145	100	36.36363636363637	25.251648
PM2486_S27_R2	68.94806837759918	51.0	95.40849238829878	100	45.45454545454545	25.251648
PM2494_S26_R1	77.75872166575493	49.0	90.55801480772256	100	27.27272727272727	29.068751
PM2494_S26_R2	74.61047232838922	53.0	92.51524895238877	100	45.45454545454545	29.068751
PM2497_S12_R1	77.92678177631169	51.0	95.40532479868524	100	27.27272727272727	42.651866
PM2497_S12_R2	75.50536476670106	53.0	96.21724786906158	100	36.36363636363637	42.651866
PM2524_S24_R1	79.03082392465012	48.0	96.75180281020869	100	27.27272727272727	43.452715999999995
PM2524_S24_R2	75.81771796903848	52.0	97.38474676703753	100	45.45454545454545	43.452715999999995
PM2528_S2_R1	93.87564987578746	56.0	75.21308207322953	76	45.45454545454545	4.465439
PM2528_S2_R2	88.95219016896858	57.0	75.27889732678018	76	27.27272727272727	4.465439
PM2539_S23_R1	81.79975447331873	52.0	87.66932826591939	96	36.36363636363637	31.926606999999997
PM2539_S23_R2	78.07354348940291	57.0	91.14476917324788	100	54.54545454545454	31.926606999999997
PM2577_S13_R1	87.32449665720537	51.0	96.62908603012109	100	27.27272727272727	101.533729
PM2577_S13_R2	85.33385164835856	52.0	97.07788455696333	100	36.36363636363637	101.533729
PM2601_S14_R1	93.24404687875077	54.0	97.33151685616068	100	27.27272727272727	44.326642
PM2601_S14_R2	90.76506563031433	56.0	97.66955026730876	100	36.36363636363637	44.326642
PM2616_S22_R1	84.5183415720359	50.0	92.8606626983052	100	36.36363636363637	23.810834999999997
PM2616_S22_R2	79.66041283108997	58.0	95.5745533283482	100	54.54545454545454	23.810834999999997
PM2622_S32_R1	91.36108103340113	48.0	95.3671881791872	100	36.36363636363637	38.74116
PM2622_S32_R2	89.93314110828982	48.0	95.86838070930246	100	27.27272727272727	38.74116
PM3050_S3_R1	76.85452382520896	51.0	75.33579414964439	76	45.45454545454545	6.208238
PM3050_S3_R2	74.13008397458893	52.0	75.31004835832647	76	27.27272727272727	6.208238
PM3051_S4_R1	88.50498443067767	56.0	75.42824129156644	76	45.45454545454545	4.60588
PM3051_S4_R2	83.50857623330259	57.0	75.4715504963221	76	27.27272727272727	4.60588
PM3153_S5_R1	84.50719587161166	54.0	75.42912267868971	76	36.36363636363637	5.123938
PM3153_S5_R2	80.29131773908985	55.0	75.44206975181979	76	18.181818181818183	5.123938
PM3183_S6_R1	93.219125327277	56.0	75.30754682325598	76	45.45454545454545	4.197647
PM3183_S6_R2	88.58016944944143	58.0	75.37034629162481	76	27.27272727272727	4.197647
Undetermined_S0_R1	78.85545165736276	53.0	75.3154939676309	76	45.45454545454545	1.9748459999999999
Undetermined_S0_R2	67.02215981240363	54.0	75.2969811316933	76	27.27272727272727	1.9748459999999999
