Order	Family	Subfamily	Genus	Virus name (s)	Virus GENBANK accession	Baltimore Group	Virus sequence complete	Genetic code table	Taxonomic grouping
Ligamenvirales	Chiyouviridae		Wargodvirus	Bathyarchaeia bifangarchaeales chiyouvirus 1	PP467602	I	Complete genome	1	Chiyouviridae
Ligamenvirales	Lipothrixviridae		Alphalipothrixvirus	Sulfolobus filamentous virus 1	MH447526	I	Complete genome	1	Lipothrixviridae
Ligamenvirales	Lipothrixviridae		Alphalipothrixvirus	Sulfolobales Beppu filamentous virus 2	MK064563	I	Coding-complete genome	1	Lipothrixviridae
Ligamenvirales	Lipothrixviridae		Betalipothrixvirus	Acidianus filamentous virus 3	AM087120	I	Complete genome	1	Lipothrixviridae
Ligamenvirales	Lipothrixviridae		Betalipothrixvirus	Sulfolobus islandicus filamentous virus	AF440571	I	Complete genome	1	Lipothrixviridae
Ligamenvirales	Lipothrixviridae		Betalipothrixvirus	Acidianus filamentous virus 7	AM087122	I	Complete genome	1	Lipothrixviridae
Ligamenvirales	Lipothrixviridae		Betalipothrixvirus	Acidianus filamentous virus 6	AM087121	I	Complete genome	1	Lipothrixviridae
Ligamenvirales	Lipothrixviridae		Betalipothrixvirus	Acidianus filamentous virus 8	AM087123	I	Complete genome	1	Lipothrixviridae
Ligamenvirales	Lipothrixviridae		Betalipothrixvirus	Acidianus filamentous virus 9	EU545650	I	Complete genome	1	Lipothrixviridae
Ligamenvirales	Lipothrixviridae		Deltalipothrixvirus	Sulfolobales Beppu filamentous virus 3	MK064564	I	Coding-complete genome	1	Lipothrixviridae
Ligamenvirales	Lipothrixviridae		Deltalipothrixvirus	Acidianus filamentous virus 2	AJ854042	I	Complete genome	1	Lipothrixviridae
Ligamenvirales	Rudiviridae		Azorudivirus	Stygiolobus rod-shaped virus	FM164764	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Hoswirudivirus	Acidianus rod-shaped virus 3	MN876842	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Hoswirudivirus	Metallosphaera rod-shaped virus 1	MN876843	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Hoswirudivirus	Acidianus rod-shaped virus 2	KP282675	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Hoswirudivirus	Saccharolobus solfataricus rod-shaped virus 1	MN876841	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Icerudivirus	Sulfolobus islandicus rod-shaped virus 3	KX712143	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Icerudivirus	Sulfolobus islandicus rod-shaped virus 2	AJ344259	I	Complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Icerudivirus	Sulfolobus islandicus rod-shaped virus 1	AJ414696	I	Complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Itarudivirus	Acidianus rod-shaped virus 1	AJ875026	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Japarudivirus	Sulfolobales Beppu rod-shaped virus 1	MK064565	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Mexirudivirus	Sulfolobales Mexican rod-shaped virus 1	JX944686	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Usarudivirus	Sulfolobus islandicus rod-shaped virus 10	KY744230	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Usarudivirus	Sulfolobus islandicus rod-shaped virus 9	KY744228	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Usarudivirus	Sulfolobus islandicus rod-shaped virus 8	KY744229	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Usarudivirus	Sulfolobus islandicus rod-shaped virus 11	KY744234	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Usarudivirus	Sulfolobus islandicus rod-shaped virus 5	KY744233	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Rudiviridae		Usarudivirus	Sulfolobus islandicus rod-shaped virus 4	KY744231	I	Coding-complete genome	1	Rudiviridae
Ligamenvirales	Ungulaviridae		Captovirus	Acidianus filamentous virus 1	AJ567472	I	Complete genome	1	Ungulaviridae
Maximonvirales	Ahmunviridae		Yumkaaxvirus	archaeal virus JdFR077	PQ111746	I	Complete genome	1	Ahmunviridae
Maximonvirales	Ahmunviridae		Yumkaaxvirus	Methanophagales virus PBV300	OP413840	I	Complete genome	1	Ahmunviridae
Primavirales	Tristromaviridae		Alphatristromavirus	Pyrobaculum filamentous virus 1	KU307456	I	Complete genome	1	Tristromaviridae
Primavirales	Tristromaviridae		Alphatristromavirus	Pyrobaculum filamentous virus 2	MN876844	I	Complete genome	1	Tristromaviridae
Primavirales	Tristromaviridae		Betatristromavirus	Thermoproteus tenax virus 1	X14855	I	Partial genome (non-compliant)	1	Tristromaviridae
Herpesvirales	Alloherpesviridae		Batravirus	Lucké tumor herpesvirus; ranid herpesvirus 1	DQ665917	I	Complete genome	1	Alloherpesviridae
Herpesvirales	Alloherpesviridae		Batravirus	frog virus 4; ranid herpesvirus 2	DQ665652	I	Complete genome	1	Alloherpesviridae
Herpesvirales	Alloherpesviridae		Batravirus	ranid herpesvirus 3	KX832224	I	Complete genome	1	Alloherpesviridae
Herpesvirales	Alloherpesviridae		Cyvirus	Japanese eel herpesvirus; anguillid herpesvirus 1	FJ940765	I	Complete genome	1	Alloherpesviridae
Herpesvirales	Alloherpesviridae		Cyvirus	carp pox herpesvirus; cyprinid herpesvirus 1	JQ815363	I	Complete genome	1	Alloherpesviridae
Herpesvirales	Alloherpesviridae		Cyvirus	goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2	JQ815364	I	Complete genome	1	Alloherpesviridae
Herpesvirales	Alloherpesviridae		Cyvirus	koi herpesvirus; cyprinid herpesvirus 3	DQ657948	I	Complete genome	1	Alloherpesviridae
