Order	Family	Subfamily	Genus	Virus name (s)	Virus GENBANK accession	Baltimore Group	Virus sequence complete	Genetic code table	Taxonomic grouping
Pantevenvirales	Ackermannviridae	Aglimvirinae	Agtrevirus	Shigella phage phiSboM-AG3	FJ373894	I	Complete genome	1	Ackermannviridae
Pantevenvirales	Ackermannviridae	Aglimvirinae	Agtrevirus	Enterobacter phage phiEM4	LC373201	I	Complete genome	1	Ackermannviridae
Rohanvirales	Adamaviridae		Andorivirus	Circovirus-like genome DHCV-6	KT149412		Complete genome	1	Adamaviridae
Rohanvirales	Adamaviridae		Andorivirus	McMurdo Ice Shelf pond-associated circular DNA virus-3	KJ547648		Complete genome	1	Adamaviridae
Rowavirales	Adenoviridae		Aviadenovirus	duck adenovirus 2	KJ469653	I	Complete genome	1	Adenoviridae
Rowavirales	Adenoviridae		Aviadenovirus	duck adenovirus 3	MH777395	I	Complete genome	1	Adenoviridae
	Aggregaviridae		Harrekavirus	Olleya phage Harreka_1	MT732457	I	Complete genome	1	Aggregaviridae
Maximonvirales	Ahmunviridae		Yumkaaxvirus	archaeal virus JdFR077	PQ111746	I	Complete genome	1	Ahmunviridae
Maximonvirales	Ahmunviridae		Yumkaaxvirus	Methanophagales virus PBV300	OP413840	I	Complete genome	1	Ahmunviridae
Nakonvirales	Ahpuchviridae		Kisinvirus	Methanophagales virus PBV299	OP413838	I	Complete genome	1	Ahpuchviridae
	Aliceevansviridae		Brussowvirus	Streptococcus phage 20617	HG424323	I	Complete genome	1	Aliceevansviridae
	Aliceevansviridae		Brussowvirus	Streptococcus phage ALQ13.2	FJ226752	I	Complete genome	1	Aliceevansviridae
	Alisviridae		Honmavirus	Porphyromonas phage phage006a_EM3	BK068089	I	Complete genome	1	Alisviridae
	Alisviridae		Honmavirus	Porphyromonas phage phage007a_Bg4	PP754929	I	Complete genome	1	Alisviridae
Jingchuvirales	Aliusviridae		Ollusvirus	Húběi coleoptera virus 3	KX884416	V	Complete genome	1	Aliusviridae
Jingchuvirales	Aliusviridae		Ollusvirus	Hánchéng leafhopper mivirus	MN190034	V	Complete genome	1	Aliusviridae
Herpesvirales	Alloherpesviridae		Batravirus	Lucké tumor herpesvirus; ranid herpesvirus 1	DQ665917	I	Complete genome	1	Alloherpesviridae
Herpesvirales	Alloherpesviridae		Batravirus	frog virus 4; ranid herpesvirus 2	DQ665652	I	Complete genome	1	Alloherpesviridae
Imitervirales	Allomimiviridae		Oceanusvirus	Tetraselmis virus 1	KY322437	I	Complete genome	1	Allomimiviridae
Tymovirales	Alphaflexiviridae		Allexivirus	garlic virus A	AB010300	IV	Complete genome	1	Alphaflexiviridae
Tymovirales	Alphaflexiviridae		Allexivirus	garlic virus B	KM379144	IV	Complete genome	1	Alphaflexiviridae
Gokushovirales	Alphagokushoviridae		Gokucipiengivirus	chimpanzee faeces associated microphage 2 CPNG_29299	KR704914		Complete genome	1	Alphagokushoviridae
Gokushovirales	Alphagokushoviridae		Gokugallopavovirus	microvirus CA82	HQ264138		Complete genome	1	Alphagokushoviridae
	Alphasatellitidae	Geminialphasatellitinae	Ageyesisatellite	Ageratum yellow vein Singapore alphasatellite	AJ416153		Complete genome	1	Alphasatellitidae
	Alphasatellitidae	Geminialphasatellitinae	Ageyesisatellite	cotton leaf curl Saudi Arabia alphasatellite	HG530543		Complete genome	1	Alphasatellitidae
Hepelivirales	Alphatetraviridae		Betatetravirus	Nudaurelia capensis beta virus	AF102884	IV	Complete genome	1	Alphatetraviridae
	Altumviridae		Calorvirus	uncultured archaeal virus isolate JdFR1000234	KY229235	I	Complete genome	1	Altumviridae
	Altumviridae		Calorvirus	Archaeoglobus virus JdFR416	PQ111739	I	Complete genome	1	Altumviridae
Sobelivirales	Alvernaviridae		Dinornavirus	Heterocapsa circularisquama RNA virus 01	AB218608	IV	Complete genome	1	Alvernaviridae
Durnavirales	Amalgaviridae		Amalgavirus	southern tomato virus	EF442780	III	Complete genome	1	Amalgaviridae
Durnavirales	Amalgaviridae		Amalgavirus	rhododendron virus A	HQ128706	III	Complete genome	1	Amalgaviridae
Tolivirales	Ambiguiviridae		Alphambiguivirus	Alternaria dianthicola umbra-like virus 1	ON843758	IV	Complete genome	1	Ambiguiviridae
Tolivirales	Ambiguiviridae		Alphambiguivirus	Botrytis cinerea umbra-like virus 2	OP289104	IV	Complete genome	1	Ambiguiviridae
Mulpavirales	Amesuviridae		Temfrudevirus	temperate fruit decay-associated virus	KR134312		Complete genome	1	Amesuviridae
Mulpavirales	Amesuviridae		Yermavirus	yerba mate-associated circular DNA virus	MG748715		Complete genome	1	Amesuviridae
	Ampullaviridae		Bottigliavirus	Acidianus bottle-shaped virus 3 strain ABV3	KP282674	I	Complete genome	1	Ampullaviridae
	Ampullaviridae		Bottigliavirus	Acidianus bottle-shaped virus	EF432053	I	Complete genome	1	Ampullaviridae
Methanobavirales	Anaerodiviridae		Metforvirus	Methanobacterium virus Drs3	MH674343	I	Complete genome	1	Anaerodiviridae
	Anamaviridae	Kantovirinae	Beograduvirus	Xanthomonas phage BsXeu269p/3	ON996340	I	Complete genome	1	Anamaviridae
	Anamaviridae	Kantovirinae	Beograduvirus	Xanthomonas phage KPhi1	KY210139	I	Complete genome	1	Anamaviridae
	Andersonviridae	Ounavirinae	Felixounavirus	Escherichia phage adrianh	MN850614	I	Complete genome	1	Andersonviridae
	Andersonviridae	Ounavirinae	Felixounavirus	Escherichia phage vB_EcoM_Alf5	KX377933	I	Complete genome	1	Andersonviridae
Sanitavirales	Anelloviridae		Aleptorquevirus	mosquito VEM Anellovirus SDBVL	HQ335082		Complete genome	1	Anelloviridae
Sanitavirales	Anelloviridae		Aleptorquevirus	Lepus torque teno virus 1	MN994854		Complete genome	1	Anelloviridae
Mulpavirales	Anicreviridae		Baranavirus	Delphin virus 1	MW562321		Complete genome	1	Anicreviridae
Mulpavirales	Anicreviridae		Ketkevirus	tentweb spider associated circular virus 1	MH545533		Complete genome	1	Anicreviridae
Magrovirales	Aoguangviridae		Aobingvirus	Poseidoniales virus YSH_150918	ON649702	I	Complete genome	1	Aoguangviridae
Magrovirales	Apasviridae		Agnivirus	magrovirus_A_01	OR863078	I	Complete genome	1	Apasviridae
Hareavirales	Arenaviridae		Mammarenavirus	Mafiga virus	L1: ON381478		Complete genome	1	Arenaviridae
	Arenbergviridae		Wroclawvirus	Pseudomonas phage vB_PaeM_PA5oct	MK797984	I	Complete genome	1	Arenbergviridae
Methanobavirales	Armatusviridae		Ariesvirus	Methanobrevibacter tailed virus 3	BK063678	I	Complete genome	1	Armatusviridae
Nidovirales	Arteriviridae	Crocarterivirinae	Muarterivirus	Olivier's shrew virus 1	MF324848	IV	Complete genome	1	Arteriviridae
Nidovirales	Arteriviridae	Equarterivirinae	Alphaarterivirus	equine arteritis virus	X53459	IV	Complete genome	1	Arteriviridae
Ghabrivirales	Artiviridae		Artivirus	Penaeid shrimp infectious myonecrosis virus	AY570982	III	Complete genome	1	Artiviridae
Ghabrivirales	Artiviridae		Artivirus	Drosophila totivirus (Drosophila melanogaster totivirus)	GQ342961	III	Complete genome	1	Artiviridae
Mononegavirales	Artoviridae		Hexartovirus	Lepeophtheirus salmonis negative-stranded RNA virus 1	MG489864	V	Complete genome	1	Artoviridae
Mononegavirales	Artoviridae		Peropuvirus	Solanum melongena rhabdo-like virus	MN831436	V	Complete genome	1	Artoviridae
Pimascovirales	Ascoviridae		Ascovirus	Heliothis virescens ascovirus 3a	EF133465	I	Complete genome	1	Ascoviridae
Pimascovirales	Ascoviridae		Ascovirus	Heliothis virescens ascovirus 3f	KJ755191	I	Complete genome	1	Ascoviridae
Vinavirales	Asemoviridae		Elsinorevirus	Vibrio phage fNo16	MH730557	I	Complete genome	1	Asemoviridae
Vinavirales	Asemoviridae		Rumoivirus	Vibrio phage vB_VruC_PG21	OM867525	I	Complete genome	1	Asemoviridae
Asfuvirales	Asfarviridae		Asfivirus	African swine fever virus	U18466	I	Complete genome	1	Asfarviridae
Asfuvirales	Asfarviridae		Asfivirus	African swine fever virus	FN557520	I	Complete genome	1	Asfarviridae
Naedrevirales	Aspiviridae		Miraophiovirus	Caladenia ophiovirus	BK062666	V	Coding-complete genome	1	Aspiviridae
Naedrevirales	Aspiviridae		Miraophiovirus	carrot ophiovirus 1	OM419178	V	Coding-complete genome	1	Aspiviridae
	Assalcaviridae		Karumvirus	Danakil Halobacteriales tailed virus 6	PQ827558	I	Complete genome	1	Assalcaviridae
	Assiduviridae		Cebadecemvirus	Cellulophaga phage phi10:1	KC821618	I	Complete genome	1	Assiduviridae
	Assiduviridae		Cellubavirus	Cellulophaga phage phi19:1	KC821607	I	Complete genome	1	Assiduviridae
Stellavirales	Astroviridae		Avastrovirus	avastrovirus 2	AB033998	IV	Complete genome	1	Astroviridae
Stellavirales	Astroviridae		Avastrovirus	avastrovirus 3	AF206663	IV	Complete genome	1	Astroviridae
Norzivirales	Atkinsviridae		Aastrivirus	Leviviridae sp. 179-k141_18680	MZ679574	IV	Coding-complete genome	1	Atkinsviridae
Norzivirales	Atkinsviridae		Aldormivirus	ssRNA phage ESE018	BK013373	IV	Coding-complete genome	1	Atkinsviridae
Vinavirales	Autolykiviridae		Ameliavirus	Vibrio phage 1.008.O._10N.286.54.E5	MG592394	I	Complete genome	1	Autolykiviridae
Vinavirales	Autolykiviridae		Livvievirus	Vibrio phage 1.249.A._10N.261.55.B9	MG592615	I	Complete genome	1	Autolykiviridae
Autographivirales	Autonotataviridae	Gujervirinae	Ceskevirus	Xanthomonas phage SB4	PP079415	I	Complete genome	1	Autonotataviridae
Autographivirales	Autonotataviridae	Gujervirinae	Maltophvirus	Stenotrophomonas phage BUCT609	MW960043	I	Complete genome	1	Autonotataviridae
Autographivirales	Autoscriptoviridae	Beijerinckvirinae	Aristophanesvirus	Acinetobacter phage Aristophanes	MT783706	I	Complete genome	1	Autoscriptoviridae
Autographivirales	Autoscriptoviridae	Beijerinckvirinae	Daemvirus	Acinetobacter phage vB_AbaP_Acibel007	KJ473423	I	Complete genome	1	Autoscriptoviridae
Autographivirales	Autosignataviridae	Colwellvirinae	Daolivirus	Aeromonas phage MJG	MK455769	I	Complete genome	1	Autosignataviridae
Autographivirales	Autosignataviridae	Colwellvirinae	Gutovirus	Vibrio phage Vc1	KJ502657	I	Complete genome	1	Autosignataviridae
Autographivirales	Autotranscriptaviridae	Studiervirinae	Aarhusvirus	Dickeya phage Dagda	MH059632	I	Complete genome	1	Autotranscriptaviridae
Autographivirales	Autotranscriptaviridae	Studiervirinae	Aarhusvirus	Dickeya phage_Katbat	MH807813	I	Complete genome	1	Autotranscriptaviridae
	Avsunviroidae		Avsunviroid	avocado sunblotch viroid	J02020		Complete genome	1	Avsunviroidae
